"gene set";"p-value";"fdr"
"protein binding involved in protein folding";"0.277777777777778      .";"1      ."
"protein kinase C-activating G-protein coupled receptor signaling pathway";"0.277777777777778      .";"1      ."
"receptor clustering";"0.277777777777778      .";"1      ."
"regulation of Notch signaling pathway";"0.277777777777778      .";"1      ."
"regulation of transcription, DNA-templated";"0.277777777777778      .";"1      ."
"response to light stimulus";"0.277777777777778      .";"1      ."
"RNA binding";"0.277777777777778      .";"1      ."
"RNA export from nucleus";"0.277777777777778      .";"1      ."
"RNA polymerase II transcription factor activity, sequence-specific DNA binding";"0.277777777777778      .";"1      ."
"signal transducer activity";"0.277777777777778      .";"1      ."
"spliceosomal complex";"0.277777777777778      .";"1      ."
"spliceosomal complex assembly";"0.277777777777778      .";"1      ."
"structural molecule activity";"0.277777777777778      .";"1      ."
"synaptic transmission, cholinergic";"0.277777777777778      .";"1      ."
"transcription factor activity, sequence-specific DNA binding";"0.277777777777778      .";"1      ."
"transcription factor binding";"0.277777777777778      .";"1      ."
"transcription from RNA polymerase II promoter";"0.277777777777778      .";"1      ."
"transcription, DNA-templated";"0.277777777777778      .";"1      ."
"transmembrane signaling receptor activity";"0.277777777777778      .";"1      ."
"U2 snRNP";"0.277777777777778      .";"1      ."
"vascular endothelial growth factor receptor signaling pathway";"0.277777777777778      .";"1      ."
"vasculogenesis";"0.277777777777778      .";"1      ."
"viral nucleocapsid";"0.277777777777778      .";"1      ."
"Wnt signaling pathway";"0.277777777777778      .";"1      ."
"actin filament bundle assembly";"0.333333333333333      .";"1      ."
"anterior/posterior axis specification";"0.333333333333333      .";"1      ."
"base-excision repair";"0.333333333333333      .";"1      ."
"basement membrane";"0.333333333333333      .";"1      ."
"blood vessel development";"0.333333333333333      .";"1      ."
"cAMP biosynthetic process";"0.333333333333333      .";"1      ."
"cation:chloride symporter activity";"0.333333333333333      .";"1      ."
"cell differentiation";"0.333333333333333      .";"1      ."
"cell proliferation";"0.333333333333333      .";"1      ."
"centriole";"0.333333333333333      .";"1      ."
"cytokine activity";"0.333333333333333      .";"1      ."
"cytoplasmic translation";"0.333333333333333      .";"1      ."
"dephosphorylation";"0.333333333333333      .";"1      ."
"determination of left/right symmetry";"0.333333333333333      .";"1      ."
"DNA-dependent DNA replication";"0.333333333333333      .";"1      ."
"DNA-directed DNA polymerase activity";"0.333333333333333      .";"1      ."
"DNA helicase activity";"0.333333333333333      .";"1      ."
"DNA replication initiation";"0.333333333333333      .";"1      ."
"dopamine neurotransmitter receptor activity";"0.333333333333333      .";"1      ."
"embryonic hemopoiesis";"0.333333333333333      .";"1      ."
"ephrin receptor binding";"0.333333333333333      .";"1      ."
"erythrocyte differentiation";"0.333333333333333      .";"1      ."
"eye development";"0.333333333333333      .";"1      ."
"G1/S transition of mitotic cell cycle";"0.333333333333333      .";"1      ."
"generation of neurons";"0.333333333333333      .";"1      ."
"germ cell migration";"0.333333333333333      .";"1      ."
"glomerular visceral epithelial cell development";"0.333333333333333      .";"1      ."
"Golgi membrane";"0.333333333333333      .";"1      ."
"head development";"0.333333333333333      .";"1      ."
"heart jogging";"0.333333333333333      .";"1      ."
"heterotrimeric G-protein complex";"0.333333333333333      .";"1      ."
"hindbrain development";"0.333333333333333      .";"1      ."
"histone acetylation";"0.333333333333333      .";"1      ."
"integral component of membrane";"0.333333333333333      .";"1      ."
"intracellular ribonucleoprotein complex";"0.333333333333333      .";"1      ."
"kidney development";"0.333333333333333      .";"1      ."
"MAP kinase activity";"0.333333333333333      .";"1      ."
"membrane";"0.333333333333333      .";"1      ."
"midbrain development";"0.333333333333333      .";"1      ."
"mitotic cell cycle";"0.333333333333333      .";"1      ."
"mRNA export from nucleus";"0.333333333333333      .";"1      ."
"mRNA polyadenylation";"0.333333333333333      .";"1      ."
"mRNA processing";"0.333333333333333      .";"1      ."
"mRNA splicing, via spliceosome";"0.333333333333333      .";"1      ."
"multicellular organismal response to stress";"0.333333333333333      .";"1      ."
"negative regulation of peptidase activity";"0.333333333333333      .";"1      ."
"negative regulation of Wnt signaling pathway";"0.333333333333333      .";"1      ."
"neural crest cell development";"0.333333333333333      .";"1      ."
"neural crest cell migration";"0.333333333333333      .";"1      ."
"neural tube formation";"0.333333333333333      .";"1      ."
"neuron migration";"0.333333333333333      .";"1      ."
"nuclear-transcribed mRNA catabolic process";"0.333333333333333      .";"1      ."
"nucleocytoplasmic transporter activity";"0.333333333333333      .";"1      ."
"odontogenesis";"0.333333333333333      .";"1      ."
"oligodendrocyte development";"0.333333333333333      .";"1      ."
"oligodendrocyte differentiation";"0.333333333333333      .";"1      ."
"P-body";"0.333333333333333      .";"1      ."
"peptidase inhibitor activity";"0.333333333333333      .";"1      ."
"phospholipid binding";"0.333333333333333      .";"1      ."
"photoreceptor cell maintenance";"0.333333333333333      .";"1      ."
"positive regulation of canonical Wnt signaling pathway";"0.333333333333333      .";"1      ."
"positive regulation of pathway-restricted SMAD protein phosphorylation";"0.333333333333333      .";"1      ."
"positive regulation of sequence-specific DNA binding transcription factor activity";"0.333333333333333      .";"1      ."
"positive regulation of vasoconstriction";"0.333333333333333      .";"1      ."
"protein sumoylation";"0.333333333333333      .";"1      ."
"Rac GTPase binding";"0.333333333333333      .";"1      ."
"Ran GTPase binding";"0.333333333333333      .";"1      ."
"receptor tyrosine kinase binding";"0.333333333333333      .";"1      ."
"regulation of cell morphogenesis";"0.333333333333333      .";"1      ."
"regulation of MAPK cascade";"0.333333333333333      .";"1      ."
"regulation of membrane potential";"0.333333333333333      .";"1      ."
"regulation of neurogenesis";"0.333333333333333      .";"1      ."
"regulation of RNA splicing";"0.333333333333333      .";"1      ."
"regulation of transcription from RNA polymerase II promoter";"0.333333333333333      .";"1      ."
"retina development in camera-type eye";"0.333333333333333      .";"1      ."
"RNA methylation";"0.333333333333333      .";"1      ."
"RNA polymerase II regulatory region sequence-specific DNA binding";"0.333333333333333      .";"1      ."
"RNA processing";"0.333333333333333      .";"1      ."
"RNA secondary structure unwinding";"0.333333333333333      .";"1      ."
"RNA splicing";"0.333333333333333      .";"1      ."
"SH3 domain binding";"0.333333333333333      .";"1      ."
"single-stranded DNA binding";"0.333333333333333      .";"1      ."
"SMAD protein signal transduction";"0.333333333333333      .";"1      ."
"smoothened signaling pathway";"0.333333333333333      .";"1      ."
"sodium channel regulator activity";"0.333333333333333      .";"1      ."
"sodium:bicarbonate symporter activity";"0.333333333333333      .";"1      ."
"structural constituent of nuclear pore";"0.333333333333333      .";"1      ."
"sulfuric ester hydrolase activity";"0.333333333333333      .";"1      ."
"transcription coactivator activity";"0.333333333333333      .";"1      ."
"transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding";"0.333333333333333      .";"1      ."
"transcription regulatory region DNA binding";"0.333333333333333      .";"1      ."
"transforming growth factor beta receptor binding";"0.333333333333333      .";"1      ."
"transmembrane receptor protein serine/threonine kinase activity";"0.333333333333333      .";"1      ."
"tRNA aminoacylation";"0.333333333333333      .";"1      ."
"U2-type prespliceosome";"0.333333333333333      .";"1      ."
"ventral spinal cord interneuron differentiation";"0.333333333333333      .";"1      ."
"activation of protein kinase activity";"0.388888888888889      .";"1      ."
"adenosine deaminase activity";"0.388888888888889      .";"1      ."
"adherens junction";"0.388888888888889      .";"1      ."
"adrenergic receptor activity";"0.388888888888889      .";"1      ."
"aminoacyl-tRNA editing activity";"0.388888888888889      .";"1      ."
"aminoacyl-tRNA ligase activity";"0.388888888888889      .";"1      ."
"angiogenesis";"0.388888888888889      .";"1      ."
"anion transmembrane transport";"0.388888888888889      .";"1      ."
"anion transport";"0.388888888888889      .";"1      ."
"artery morphogenesis";"0.388888888888889      .";"1      ."
"ATP-dependent RNA helicase activity";"0.388888888888889      .";"1      ."
"axoneme";"0.388888888888889      .";"1      ."
"bicellular tight junction";"0.388888888888889      .";"1      ."
"cadherin binding";"0.388888888888889      .";"1      ."
"calcium channel regulator activity";"0.388888888888889      .";"1      ."
"calcium ion homeostasis";"0.388888888888889      .";"1      ."
"cAMP binding";"0.388888888888889      .";"1      ."
"carboxy-lyase activity";"0.388888888888889      .";"1      ."
"cell cycle";"0.388888888888889      .";"1      ."
"cell development";"0.388888888888889      .";"1      ."
"cell migration";"0.388888888888889      .";"1      ."
"cellular response to DNA damage stimulus";"0.388888888888889      .";"1      ."
"cellular response to hormone stimulus";"0.388888888888889      .";"1      ."
"chaperone binding";"0.388888888888889      .";"1      ."
"chloride transport";"0.388888888888889      .";"1      ."
"chromosome segregation";"0.388888888888889      .";"1      ."
"chromosome, telomeric region";"0.388888888888889      .";"1      ."
"ciliary basal body";"0.388888888888889      .";"1      ."
"cytokinesis";"0.388888888888889      .";"1      ."
"cytoplasmic microtubule organization";"0.388888888888889      .";"1      ."
"cytosolic large ribosomal subunit";"0.388888888888889      .";"1      ."
"definitive hemopoiesis";"0.388888888888889      .";"1      ."
"determination of liver left/right asymmetry";"0.388888888888889      .";"1      ."
"DNA replication";"0.388888888888889      .";"1      ."
"epidermal growth factor receptor signaling pathway";"0.388888888888889      .";"1      ."
"establishment or maintenance of epithelial cell apical/basal polarity";"0.388888888888889      .";"1      ."
"fibroblast growth factor receptor signaling pathway";"0.388888888888889      .";"1      ."
"galanin receptor activity";"0.388888888888889      .";"1      ."
"heat shock protein binding";"0.388888888888889      .";"1      ."
"helicase activity";"0.388888888888889      .";"1      ."
"histone binding";"0.388888888888889      .";"1      ."
"histone deacetylase activity";"0.388888888888889      .";"1      ."
"integral component of nuclear inner membrane";"0.388888888888889      .";"1      ."
"inward rectifier potassium channel activity";"0.388888888888889      .";"1      ."
"L-ascorbic acid binding";"0.388888888888889      .";"1      ."
"locomotory behavior";"0.388888888888889      .";"1      ."
"MAP kinase kinase kinase kinase activity";"0.388888888888889      .";"1      ."
"mesoderm formation";"0.388888888888889      .";"1      ."
"negative regulation of translation";"0.388888888888889      .";"1      ."
"neural retina development";"0.388888888888889      .";"1      ."
"nuclear envelope organization";"0.388888888888889      .";"1      ."
"nuclear speck";"0.388888888888889      .";"1      ."
"nucleic acid binding";"0.388888888888889      .";"1      ."
"otolith development";"0.388888888888889      .";"1      ."
"outer dynein arm assembly";"0.388888888888889      .";"1      ."
"phosphatidylinositol 3-kinase signaling";"0.388888888888889      .";"1      ."
"phosphatidylinositol phosphate kinase activity";"0.388888888888889      .";"1      ."
"positive regulation of GTPase activity";"0.388888888888889      .";"1      ."
"posterior lateral line development";"0.388888888888889      .";"1      ."
"potassium ion binding";"0.388888888888889      .";"1      ."
"precatalytic spliceosome";"0.388888888888889      .";"1      ."
"primitive hemopoiesis";"0.388888888888889      .";"1      ."
"protease binding";"0.388888888888889      .";"1      ."
"protein glycosylation";"0.388888888888889      .";"1      ."
"protein K63-linked deubiquitination";"0.388888888888889      .";"1      ."
"regulation of axon extension";"0.388888888888889      .";"1      ."
"regulation of blood pressure";"0.388888888888889      .";"1      ."
"regulation of cell cycle";"0.388888888888889      .";"1      ."
"regulation of GTPase activity";"0.388888888888889      .";"1      ."
"release of sequestered calcium ion into cytosol";"0.388888888888889      .";"1      ."
"response to cadmium ion";"0.388888888888889      .";"1      ."
"Rho guanyl-nucleotide exchange factor activity";"0.388888888888889      .";"1      ."
"RNA modification";"0.388888888888889      .";"1      ."
"SCF ubiquitin ligase complex";"0.388888888888889      .";"1      ."
"secretory granule";"0.388888888888889      .";"1      ."
"semicircular canal morphogenesis";"0.388888888888889      .";"1      ."
"sensory perception of sound";"0.388888888888889      .";"1      ."
"small ribosomal subunit";"0.388888888888889      .";"1      ."
"somite development";"0.388888888888889      .";"1      ."
"somitogenesis";"0.388888888888889      .";"1      ."
"spindle organization";"0.388888888888889      .";"1      ."
"spliceosomal snRNP assembly";"0.388888888888889      .";"1      ."
"striated muscle cell development";"0.388888888888889      .";"1      ."
"tissue regeneration";"0.388888888888889      .";"1      ."
"transcription cofactor activity";"0.388888888888889      .";"1      ."
"transcription factor activity, RNA polymerase II transcription factor recruiting";"0.388888888888889      .";"1      ."
"transcription factor complex";"0.388888888888889      .";"1      ."
"transcription regulatory region sequence-specific DNA binding";"0.388888888888889      .";"1      ."
"transcriptional repressor complex";"0.388888888888889      .";"1      ."
"transport";"0.388888888888889      .";"1      ."
"tRNA modification";"0.388888888888889      .";"1      ."
"U12-type spliceosomal complex";"0.388888888888889      .";"1      ."
"visual perception";"0.388888888888889      .";"1      ."
"amyloid-beta binding";"0.444444444444445      .";"1      ."
"blood vessel morphogenesis";"0.444444444444445      .";"1      ."
"calcium-dependent phospholipid binding";"0.444444444444445      .";"1      ."
"cell-cell adherens junction";"0.444444444444445      .";"1      ."
"cellular component organization";"0.444444444444445      .";"1      ."
"centrosome";"0.444444444444445      .";"1      ."
"chordate embryonic development";"0.444444444444445      .";"1      ."
"chromatin";"0.444444444444445      .";"1      ."
"chromatin binding";"0.444444444444445      .";"1      ."
"cytosolic small ribosomal subunit";"0.444444444444445      .";"1      ."
"determination of heart left/right asymmetry";"0.444444444444445      .";"1      ."
"DNA recombination";"0.444444444444445      .";"1      ."
"embryonic viscerocranium morphogenesis";"0.444444444444445      .";"1      ."
"exocytic vesicle";"0.444444444444445      .";"1      ."
"fibroblast growth factor receptor binding";"0.444444444444445      .";"1      ."
"galactosyltransferase activity";"0.444444444444445      .";"1      ."
"gene silencing by RNA";"0.444444444444445      .";"1      ."
"hematopoietic progenitor cell differentiation";"0.444444444444445      .";"1      ."
"histone-lysine N-methyltransferase activity";"0.444444444444445      .";"1      ."
"histone acetyltransferase activity";"0.444444444444445      .";"1      ."
"histone lysine methylation";"0.444444444444445      .";"1      ."
"inner ear development";"0.444444444444445      .";"1      ."
"lipid glycosylation";"0.444444444444445      .";"1      ."
"mitotic sister chromatid cohesion";"0.444444444444445      .";"1      ."
"mitotic sister chromatid segregation";"0.444444444444445      .";"1      ."
"mitotic spindle assembly checkpoint";"0.444444444444445      .";"1      ."
"myoblast fusion";"0.444444444444445      .";"1      ."
"N-acetyltransferase activity";"0.444444444444445      .";"1      ."
"neural crest formation";"0.444444444444445      .";"1      ."
"nucleotide binding";"0.444444444444445      .";"1      ."
"peripheral nervous system neuron axonogenesis";"0.444444444444445      .";"1      ."
"positive regulation of cyclin-dependent protein serine/threonine kinase activity";"0.444444444444445      .";"1      ."
"post-anal tail morphogenesis";"0.444444444444445      .";"1      ."
"primitive erythrocyte differentiation";"0.444444444444445      .";"1      ."
"pronephros development";"0.444444444444445      .";"1      ."
"protein dimerization activity";"0.444444444444445      .";"1      ."
"protein import into nucleus";"0.444444444444445      .";"1      ."
"protein kinase binding";"0.444444444444445      .";"1      ."
"pseudouridine synthase activity";"0.444444444444445      .";"1      ."
"regulation of mitotic nuclear division";"0.444444444444445      .";"1      ."
"regulation of translational fidelity";"0.444444444444445      .";"1      ."
"response to heat";"0.444444444444445      .";"1      ."
"ribosomal small subunit assembly";"0.444444444444445      .";"1      ."
"RNA polymerase II transcriptional preinitiation complex assembly";"0.444444444444445      .";"1      ."
"rRNA binding";"0.444444444444445      .";"1      ."
"sarcoplasmic reticulum";"0.444444444444445      .";"1      ."
"somite specification";"0.444444444444445      .";"1      ."
"spindle";"0.444444444444445      .";"1      ."
"structural constituent of eye lens";"0.444444444444445      .";"1      ."
"thrombocyte differentiation";"0.444444444444445      .";"1      ."
"transcription elongation from RNA polymerase II promoter";"0.444444444444445      .";"1      ."
"tRNA aminoacylation for protein translation";"0.444444444444445      .";"1      ."
"adenylate cyclase-activating adrenergic receptor signaling pathway";"0.5      .";"1      ."
"B cell receptor signaling pathway";"0.5      .";"1      ."
"branching involved in blood vessel morphogenesis";"0.5      .";"1      ."
"cell cortex";"0.5      .";"1      ."
"cell division";"0.5      .";"1      ."
"cell migration involved in gastrulation";"0.5      .";"1      ."
"cell surface";"0.5      .";"1      ."
"chemokine activity";"0.5      .";"1      ."
"circadian rhythm";"0.5      .";"1      ."
"convergent extension involved in gastrulation";"0.5      .";"1      ."
"copper ion binding";"0.5      .";"1      ."
"cytoskeletal protein binding";"0.5      .";"1      ."
"determination of pancreatic left/right asymmetry";"0.5      .";"1      ."
"DNA biosynthetic process";"0.5      .";"1      ."
"double-stranded DNA binding";"0.5      .";"1      ."
"epithelial cilium movement involved in determination of left/right asymmetry";"0.5      .";"1      ."
"external side of plasma membrane";"0.5      .";"1      ."
"focal adhesion";"0.5      .";"1      ."
"gastrulation with mouth forming second";"0.5      .";"1      ."
"glycolytic process";"0.5      .";"1      ."
"histone deacetylation";"0.5      .";"1      ."
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds";"0.5      .";"1      ."
"intraciliary transport particle B";"0.5      .";"1      ."
"mesoderm development";"0.5      .";"1      ."
"metalloaminopeptidase activity";"0.5      .";"1      ."
"methyltransferase activity";"0.5      .";"1      ."
"mismatch repair";"0.5      .";"1      ."
"mitotic spindle";"0.5      .";"1      ."
"mitotic spindle assembly";"0.5      .";"1      ."
"muscle organ development";"0.5      .";"1      ."
"nuclear localization sequence binding";"0.5      .";"1      ."
"nuclear membrane";"0.5      .";"1      ."
"peroxisomal membrane";"0.5      .";"1      ."
"phosphatidylinositol metabolic process";"0.5      .";"1      ."
"phospholipase A2 activity";"0.5      .";"1      ."
"phospholipase activity";"0.5      .";"1      ."
"phospholipase C-activating G-protein coupled receptor signaling pathway";"0.5      .";"1      ."
"phototransduction";"0.5      .";"1      ."
"protein methylation";"0.5      .";"1      ."
"Ras protein signal transduction";"0.5      .";"1      ."
"regulation of anion transmembrane transport";"0.5      .";"1      ."
"regulation of blood vessel diameter";"0.5      .";"1      ."
"regulation of neuron apoptotic process";"0.5      .";"1      ."
"regulation of Rho protein signal transduction";"0.5      .";"1      ."
"response to cytokine";"0.5      .";"1      ."
"response to hypoxia";"0.5      .";"1      ."
"response to virus";"0.5      .";"1      ."
"response to xenobiotic stimulus";"0.5      .";"1      ."
"Rho GTPase binding";"0.5      .";"1      ."
"ribosome";"0.5      .";"1      ."
"skeletal muscle fiber development";"0.5      .";"1      ."
"SNARE complex";"0.5      .";"1      ."
"spindle pole";"0.5      .";"1      ."
"steroid hormone mediated signaling pathway";"0.5      .";"1      ."
"steroid hormone receptor activity";"0.5      .";"1      ."
"structural constituent of ribosome";"0.5      .";"1      ."
"sugar:proton symporter activity";"0.5      .";"1      ."
"thigmotaxis";"0.5      .";"1      ."
"transforming growth factor beta receptor signaling pathway";"0.5      .";"1      ."
"U5 snRNP";"0.5      .";"1      ."
"zinc ion binding";"0.5      .";"1      ."
"acetylglucosaminyltransferase activity";"0.555555555555555      .";"1      ."
"adrenal gland development";"0.555555555555555      .";"1      ."
"ATP binding";"0.555555555555555      .";"1      ."
"ATP metabolic process";"0.555555555555555      .";"1      ."
"ATPase activity";"0.555555555555555      .";"1      ."
"atrioventricular canal development";"0.555555555555555      .";"1      ."
"blood circulation";"0.555555555555555      .";"1      ."
"carboxylic acid metabolic process";"0.555555555555555      .";"1      ."
"cation channel activity";"0.555555555555555      .";"1      ."
"cell-matrix adhesion";"0.555555555555555      .";"1      ."
"cellular calcium ion homeostasis";"0.555555555555555      .";"1      ."
"chromosome, centromeric region";"0.555555555555555      .";"1      ."
"convergent extension";"0.555555555555555      .";"1      ."
"cyclin-dependent protein kinase holoenzyme complex";"0.555555555555555      .";"1      ."
"cytokine-mediated signaling pathway";"0.555555555555555      .";"1      ."
"cytoplasmic dynein complex";"0.555555555555555      .";"1      ."
"damaged DNA binding";"0.555555555555555      .";"1      ."
"DNA-dependent ATPase activity";"0.555555555555555      .";"1      ."
"double-strand break repair";"0.555555555555555      .";"1      ."
"endoplasmic reticulum unfolded protein response";"0.555555555555555      .";"1      ."
"epiboly";"0.555555555555555      .";"1      ."
"eukaryotic translation initiation factor 3 complex";"0.555555555555555      .";"1      ."
"exocytosis";"0.555555555555555      .";"1      ."
"extracellular ATP-gated cation channel activity";"0.555555555555555      .";"1      ."
"G-protein coupled photoreceptor activity";"0.555555555555555      .";"1      ."
"gastrulation";"0.555555555555555      .";"1      ."
"glutathione peroxidase activity";"0.555555555555555      .";"1      ."
"GTPase activator activity";"0.555555555555555      .";"1      ."
"histone deacetylase complex";"0.555555555555555      .";"1      ."
"kinetochore";"0.555555555555555      .";"1      ."
"maturation of LSU-rRNA";"0.555555555555555      .";"1      ."
"miRNA mediated inhibition of translation";"0.555555555555555      .";"1      ."
"mitochondrial respiratory chain complex I";"0.555555555555555      .";"1      ."
"mRNA transport";"0.555555555555555      .";"1      ."
"muscle contraction";"0.555555555555555      .";"1      ."
"negative regulation of apoptotic process";"0.555555555555555      .";"1      ."
"negative regulation of insulin receptor signaling pathway";"0.555555555555555      .";"1      ."
"neutrophil differentiation";"0.555555555555555      .";"1      ."
"oligosaccharide metabolic process";"0.555555555555555      .";"1      ."
"otolith morphogenesis";"0.555555555555555      .";"1      ."
"peroxidase activity";"0.555555555555555      .";"1      ."
"phagocytosis";"0.555555555555555      .";"1      ."
"photoreceptor outer segment";"0.555555555555555      .";"1      ."
"potassium ion import";"0.555555555555555      .";"1      ."
"preribosome, large subunit precursor";"0.555555555555555      .";"1      ."
"protein binding, bridging";"0.555555555555555      .";"1      ."
"protein tyrosine/serine/threonine phosphatase activity";"0.555555555555555      .";"1      ."
"pseudouridine synthesis";"0.555555555555555      .";"1      ."
"purinergic nucleotide receptor activity";"0.555555555555555      .";"1      ."
"purinergic nucleotide receptor signaling pathway";"0.555555555555555      .";"1      ."
"response to ATP";"0.555555555555555      .";"1      ."
"response to lipopolysaccharide";"0.555555555555555      .";"1      ."
"retinol metabolic process";"0.555555555555555      .";"1      ."
"single organismal cell-cell adhesion";"0.555555555555555      .";"1      ."
"small molecule binding";"0.555555555555555      .";"1      ."
"SNAP receptor activity";"0.555555555555555      .";"1      ."
"structural constituent of muscle";"0.555555555555555      .";"1      ."
"transcription from RNA polymerase I promoter";"0.555555555555555      .";"1      ."
"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding";"0.555555555555555      .";"1      ."
"transition metal ion binding";"0.555555555555555      .";"1      ."
"tumor necrosis factor receptor binding";"0.555555555555555      .";"1      ."
"U1 snRNP";"0.555555555555555      .";"1      ."
"U4/U6 x U5 tri-snRNP complex";"0.555555555555555      .";"1      ."
"voltage-gated chloride channel activity";"0.555555555555555      .";"1      ."
"actin filament";"0.611111111111111      .";"1      ."
"actin filament organization";"0.611111111111111      .";"1      ."
"actin polymerization or depolymerization";"0.611111111111111      .";"1      ."
"amino acid transmembrane transporter activity";"0.611111111111111      .";"1      ."
"ATP-activated inward rectifier potassium channel activity";"0.611111111111111      .";"1      ."
"axon development";"0.611111111111111      .";"1      ."
"carbohydrate transport";"0.611111111111111      .";"1      ."
"cardiac muscle contraction";"0.611111111111111      .";"1      ."
"cation transmembrane transporter activity";"0.611111111111111      .";"1      ."
"cation transport";"0.611111111111111      .";"1      ."
"cell communication";"0.611111111111111      .";"1      ."
"cell recognition";"0.611111111111111      .";"1      ."
"cellular metabolic process";"0.611111111111111      .";"1      ."
"chemotaxis";"0.611111111111111      .";"1      ."
"coenzyme binding";"0.611111111111111      .";"1      ."
"Cul3-RING ubiquitin ligase complex";"0.611111111111111      .";"1      ."
"cullin family protein binding";"0.611111111111111      .";"1      ."
"cytoplasmic vesicle membrane";"0.611111111111111      .";"1      ."
"detection of visible light";"0.611111111111111      .";"1      ."
"DNA-directed 5'-3' RNA polymerase activity";"0.611111111111111      .";"1      ."
"DNA duplex unwinding";"0.611111111111111      .";"1      ."
"DNA repair";"0.611111111111111      .";"1      ."
"endodeoxyribonuclease activity";"0.611111111111111      .";"1      ."
"establishment or maintenance of cell polarity";"0.611111111111111      .";"1      ."
"extrinsic apoptotic signaling pathway in absence of ligand";"0.611111111111111      .";"1      ."
"G-protein beta/gamma-subunit complex binding";"0.611111111111111      .";"1      ."
"gluconeogenesis";"0.611111111111111      .";"1      ."
"guanyl nucleotide binding";"0.611111111111111      .";"1      ."
"heart looping";"0.611111111111111      .";"1      ."
"inorganic anion exchanger activity";"0.611111111111111      .";"1      ."
"intracellular receptor signaling pathway";"0.611111111111111      .";"1      ."
"lysosome organization";"0.611111111111111      .";"1      ."
"mediator complex";"0.611111111111111      .";"1      ."
"melanosome transport";"0.611111111111111      .";"1      ."
"membrane attack complex";"0.611111111111111      .";"1      ."
"myofibril assembly";"0.611111111111111      .";"1      ."
"NADH dehydrogenase (ubiquinone) activity";"0.611111111111111      .";"1      ."
"negative regulation of cell migration";"0.611111111111111      .";"1      ."
"negative regulation of endopeptidase activity";"0.611111111111111      .";"1      ."
"negative regulation of protein serine/threonine kinase activity";"0.611111111111111      .";"1      ."
"neutral amino acid transmembrane transporter activity";"0.611111111111111      .";"1      ."
"neutral amino acid transport";"0.611111111111111      .";"1      ."
"Notch signaling pathway";"0.611111111111111      .";"1      ."
"nucleolus";"0.611111111111111      .";"1      ."
"nucleoside diphosphate kinase activity";"0.611111111111111      .";"1      ."
"nucleoside diphosphate phosphorylation";"0.611111111111111      .";"1      ."
"nucleotide-excision repair";"0.611111111111111      .";"1      ."
"nucleotide phosphorylation";"0.611111111111111      .";"1      ."
"oxidoreductase activity, acting on NAD(P)H";"0.611111111111111      .";"1      ."
"peptide cross-linking";"0.611111111111111      .";"1      ."
"peptidyl-proline hydroxylation";"0.611111111111111      .";"1      ."
"peptidyl-prolyl cis-trans isomerase activity";"0.611111111111111      .";"1      ."
"perinuclear region of cytoplasm";"0.611111111111111      .";"1      ."
"photoreceptor activity";"0.611111111111111      .";"1      ."
"plasma membrane organization";"0.611111111111111      .";"1      ."
"positive regulation of guanylate cyclase activity";"0.611111111111111      .";"1      ."
"positive regulation of transcription, DNA-templated";"0.611111111111111      .";"1      ."
"protein-glutamine gamma-glutamyltransferase activity";"0.611111111111111      .";"1      ."
"protein peptidyl-prolyl isomerization";"0.611111111111111      .";"1      ."
"protein ubiquitination involved in ubiquitin-dependent protein catabolic process";"0.611111111111111      .";"1      ."
"proton-transporting V-type ATPase, V1 domain";"0.611111111111111      .";"1      ."
"regulation of cell proliferation";"0.611111111111111      .";"1      ."
"regulation of endocytosis";"0.611111111111111      .";"1      ."
"regulation of muscle contraction";"0.611111111111111      .";"1      ."
"respiratory chain";"0.611111111111111      .";"1      ."
"response to activity";"0.611111111111111      .";"1      ."
"response to bacterium";"0.611111111111111      .";"1      ."
"response to methylmercury";"0.611111111111111      .";"1      ."
"response to stimulus";"0.611111111111111      .";"1      ."
"response to stress";"0.611111111111111      .";"1      ."
"RNA methyltransferase activity";"0.611111111111111      .";"1      ."
"RNA polymerase II transcription coactivator activity";"0.611111111111111      .";"1      ."
"RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding";"0.611111111111111      .";"1      ."
"RNA polymerase II transcription factor binding";"0.611111111111111      .";"1      ."
"sarcolemma";"0.611111111111111      .";"1      ."
"skeletal muscle tissue development";"0.611111111111111      .";"1      ."
"spermatid development";"0.611111111111111      .";"1      ."
"stress-activated protein kinase signaling cascade";"0.611111111111111      .";"1      ."
"swim bladder development";"0.611111111111111      .";"1      ."
"translation elongation factor activity";"0.611111111111111      .";"1      ."
"troponin complex";"0.611111111111111      .";"1      ."
"unfolded protein binding";"0.611111111111111      .";"1      ."
"UTP biosynthetic process";"0.611111111111111      .";"1      ."
"vacuolar membrane";"0.611111111111111      .";"1      ."
"vesicle docking";"0.611111111111111      .";"1      ."
"actin cytoskeleton reorganization";"0.666666666666667      .";"1      ."
"actin nucleation";"0.666666666666667      .";"1      ."
"activation of MAPKKK activity";"0.666666666666667      .";"1      ."
"amino acid transmembrane transport";"0.666666666666667      .";"1      ."
"Arp2/3 complex-mediated actin nucleation";"0.666666666666667      .";"1      ."
"ATP hydrolysis coupled proton transport";"0.666666666666667      .";"1      ."
"basolateral plasma membrane";"0.666666666666667      .";"1      ."
