"gene set";"p-value";"fdr"
"dynein light chain binding";"0.222222222222222      .";"0.803026280860102      ."
"dynein light intermediate chain binding";"0.222222222222222      .";"0.803026280860102      ."
"embryonic heart tube morphogenesis";"0.222222222222222      .";"0.803026280860102      ."
"ephrin receptor signaling pathway";"0.222222222222222      .";"0.803026280860102      ."
"fibroblast growth factor receptor signaling pathway";"0.222222222222222      .";"0.803026280860102      ."
"FK506 binding";"0.222222222222222      .";"0.803026280860102      ."
"floor plate formation";"0.222222222222222      .";"0.803026280860102      ."
"forebrain development";"0.222222222222222      .";"0.803026280860102      ."
"G-protein coupled serotonin receptor activity";"0.222222222222222      .";"0.803026280860102      ."
"G-protein coupled serotonin receptor signaling pathway";"0.222222222222222      .";"0.803026280860102      ."
"growth factor activity";"0.222222222222222      .";"0.803026280860102      ."
"histone-lysine N-methyltransferase activity";"0.222222222222222      .";"0.803026280860102      ."
"histone deacetylase activity";"0.222222222222222      .";"0.803026280860102      ."
"hypothalamus development";"0.222222222222222      .";"0.803026280860102      ."
"inactivation of MAPK activity";"0.222222222222222      .";"0.803026280860102      ."
"integral component of Golgi membrane";"0.222222222222222      .";"0.803026280860102      ."
"intermediate filament";"0.222222222222222      .";"0.803026280860102      ."
"kinesin complex";"0.222222222222222      .";"0.803026280860102      ."
"larval locomotory behavior";"0.222222222222222      .";"0.803026280860102      ."
"MAP kinase tyrosine/serine/threonine phosphatase activity";"0.222222222222222      .";"0.803026280860102      ."
"microtubule";"0.222222222222222      .";"0.803026280860102      ."
"microtubule associated complex";"0.222222222222222      .";"0.803026280860102      ."
"microtubule binding";"0.222222222222222      .";"0.803026280860102      ."
"microtubule cytoskeleton organization";"0.222222222222222      .";"0.803026280860102      ."
"mitochondrial fission";"0.222222222222222      .";"0.803026280860102      ."
"modulation of synaptic transmission";"0.222222222222222      .";"0.803026280860102      ."
"motor neuron axon guidance";"0.222222222222222      .";"0.803026280860102      ."
"negative regulation of mitotic cell cycle";"0.222222222222222      .";"0.803026280860102      ."
"negative regulation of transforming growth factor beta receptor signaling pathway";"0.222222222222222      .";"0.803026280860102      ."
"nervous system development";"0.222222222222222      .";"0.803026280860102      ."
"neural crest cell migration";"0.222222222222222      .";"0.803026280860102      ."
"neuron development";"0.222222222222222      .";"0.803026280860102      ."
"neuron migration";"0.222222222222222      .";"0.803026280860102      ."
"neuron projection development";"0.222222222222222      .";"0.803026280860102      ."
"neurotransmitter receptor activity";"0.222222222222222      .";"0.803026280860102      ."
"neutrophil differentiation";"0.222222222222222      .";"0.803026280860102      ."
"Notch signaling pathway";"0.222222222222222      .";"0.803026280860102      ."
"oligodendrocyte differentiation";"0.222222222222222      .";"0.803026280860102      ."
"oligosaccharide metabolic process";"0.222222222222222      .";"0.803026280860102      ."
"otic placode formation";"0.222222222222222      .";"0.803026280860102      ."
"otic vesicle development";"0.222222222222222      .";"0.803026280860102      ."
"peptidyl-tyrosine dephosphorylation";"0.222222222222222      .";"0.803026280860102      ."
"peripheral nervous system neuron axonogenesis";"0.222222222222222      .";"0.803026280860102      ."
"phosphoprotein phosphatase activity";"0.222222222222222      .";"0.803026280860102      ."
"positive regulation of GTPase activity";"0.222222222222222      .";"0.803026280860102      ."
"positive regulation of neuron differentiation";"0.222222222222222      .";"0.803026280860102      ."
"positive regulation of sequence-specific DNA binding transcription factor activity";"0.222222222222222      .";"0.803026280860102      ."
"post-anal tail morphogenesis";"0.222222222222222      .";"0.803026280860102      ."
"postsynapse";"0.222222222222222      .";"0.803026280860102      ."
"postsynaptic density";"0.222222222222222      .";"0.803026280860102      ."
"presynaptic active zone";"0.222222222222222      .";"0.803026280860102      ."
"primitive hemopoiesis";"0.222222222222222      .";"0.803026280860102      ."
"protein dephosphorylation";"0.222222222222222      .";"0.803026280860102      ."
"protein glycosylation";"0.222222222222222      .";"0.803026280860102      ."
"protein phosphatase type 2A complex";"0.222222222222222      .";"0.803026280860102      ."
"protein serine/threonine kinase activity";"0.222222222222222      .";"0.803026280860102      ."
"protein tyrosine phosphatase activity";"0.222222222222222      .";"0.803026280860102      ."
"receptor clustering";"0.222222222222222      .";"0.803026280860102      ."
"regulation of AMPA receptor activity";"0.222222222222222      .";"0.803026280860102      ."
"regulation of cytoskeleton organization";"0.222222222222222      .";"0.803026280860102      ."
"regulation of cytosolic calcium ion concentration";"0.222222222222222      .";"0.803026280860102      ."
"regulation of exocytosis";"0.222222222222222      .";"0.803026280860102      ."
"regulation of microtubule polymerization or depolymerization";"0.222222222222222      .";"0.803026280860102      ."
"regulation of molecular function";"0.222222222222222      .";"0.803026280860102      ."
"regulation of neurogenesis";"0.222222222222222      .";"0.803026280860102      ."
"regulation of Notch signaling pathway";"0.222222222222222      .";"0.803026280860102      ."
"regulation of nucleic acid-templated transcription";"0.222222222222222      .";"0.803026280860102      ."
"regulation of signal transduction";"0.222222222222222      .";"0.803026280860102      ."
"response to nicotine";"0.222222222222222      .";"0.803026280860102      ."
"Rho guanyl-nucleotide exchange factor activity";"0.222222222222222      .";"0.803026280860102      ."
"RNA polymerase II transcription factor binding";"0.222222222222222      .";"0.803026280860102      ."
"signal transduction by protein phosphorylation";"0.222222222222222      .";"0.803026280860102      ."
"signaling";"0.222222222222222      .";"0.803026280860102      ."
"single organismal cell-cell adhesion";"0.222222222222222      .";"0.803026280860102      ."
"SMAD protein signal transduction";"0.222222222222222      .";"0.803026280860102      ."
"sodium:bicarbonate symporter activity";"0.222222222222222      .";"0.803026280860102      ."
"spectrin binding";"0.222222222222222      .";"0.803026280860102      ."
"structural molecule activity";"0.222222222222222      .";"0.803026280860102      ."
"swimming behavior";"0.222222222222222      .";"0.803026280860102      ."
"synapse organization";"0.222222222222222      .";"0.803026280860102      ."
"synaptic vesicle fusion to presynaptic active zone membrane";"0.222222222222222      .";"0.803026280860102      ."
"transmission of nerve impulse";"0.222222222222222      .";"0.803026280860102      ."
"tubulin binding";"0.222222222222222      .";"0.803026280860102      ."
"vasculogenesis";"0.222222222222222      .";"0.803026280860102      ."
"visual perception";"0.222222222222222      .";"0.803026280860102      ."
"3',5'-cyclic-nucleotide phosphodiesterase activity";"0.277777777777778      .";"1      ."
"acetylglucosaminyltransferase activity";"0.277777777777778      .";"1      ."
"actin cytoskeleton organization";"0.277777777777778      .";"1      ."
"actin polymerization or depolymerization";"0.277777777777778      .";"1      ."
"adenylate cyclase-inhibiting serotonin receptor signaling pathway";"0.277777777777778      .";"1      ."
"adherens junction";"0.277777777777778      .";"1      ."
"adrenal gland development";"0.277777777777778      .";"1      ."
"anterior/posterior pattern specification";"0.277777777777778      .";"1      ."
"axon regeneration";"0.277777777777778      .";"1      ."
"axonal fasciculation";"0.277777777777778      .";"1      ."
"bicellular tight junction";"0.277777777777778      .";"1      ."
"calcium-activated potassium channel activity";"0.277777777777778      .";"1      ."
"calcium-dependent phospholipid binding";"0.277777777777778      .";"1      ."
"calmodulin-dependent protein kinase activity";"0.277777777777778      .";"1      ."
"cell development";"0.277777777777778      .";"1      ."
"cell recognition";"0.277777777777778      .";"1      ."
"cilium";"0.277777777777778      .";"1      ."
"convergent extension";"0.277777777777778      .";"1      ."
"cytokine activity";"0.277777777777778      .";"1      ."
"detection of chemical stimulus involved in sensory perception";"0.277777777777778      .";"1      ."
"determination of dorsal identity";"0.277777777777778      .";"1      ."
"determination of liver left/right asymmetry";"0.277777777777778      .";"1      ."
"embryonic hemopoiesis";"0.277777777777778      .";"1      ."
"ephrin receptor binding";"0.277777777777778      .";"1      ."
"epidermal growth factor receptor signaling pathway";"0.277777777777778      .";"1      ."
"epithelial cilium movement involved in determination of left/right asymmetry";"0.277777777777778      .";"1      ."
"erythrocyte differentiation";"0.277777777777778      .";"1      ."
"exocrine pancreas development";"0.277777777777778      .";"1      ."
"exocytosis";"0.277777777777778      .";"1      ."
"extracellular ATP-gated cation channel activity";"0.277777777777778      .";"1      ."
"frizzled binding";"0.277777777777778      .";"1      ."
"galactosyltransferase activity";"0.277777777777778      .";"1      ."
"germ cell migration";"0.277777777777778      .";"1      ."
"glomerular filtration";"0.277777777777778      .";"1      ."
"glycolipid biosynthetic process";"0.277777777777778      .";"1      ."
"guanyl-nucleotide exchange factor activity";"0.277777777777778      .";"1      ."
"hemoglobin complex";"0.277777777777778      .";"1      ."
"hemopoiesis";"0.277777777777778      .";"1      ."
"histone lysine methylation";"0.277777777777778      .";"1      ."
"identical protein binding";"0.277777777777778      .";"1      ."
"integral component of nuclear inner membrane";"0.277777777777778      .";"1      ."
"isoprenoid biosynthetic process";"0.277777777777778      .";"1      ."
"membrane attack complex";"0.277777777777778      .";"1      ."
"microtubule-based movement";"0.277777777777778      .";"1      ."
"microtubule cytoskeleton";"0.277777777777778      .";"1      ."
"microtubule motor activity";"0.277777777777778      .";"1      ."
"midbrain development";"0.277777777777778      .";"1      ."
"myeloid cell differentiation";"0.277777777777778      .";"1      ."
"NAD+ kinase activity";"0.277777777777778      .";"1      ."
"negative regulation of nucleic acid-templated transcription";"0.277777777777778      .";"1      ."
"negative regulation of protein serine/threonine kinase activity";"0.277777777777778      .";"1      ."
"neural retina development";"0.277777777777778      .";"1      ."
"neuropeptide binding";"0.277777777777778      .";"1      ."
"neurotransmitter:sodium symporter activity";"0.277777777777778      .";"1      ."
"oxygen binding";"0.277777777777778      .";"1      ."
"oxygen transport";"0.277777777777778      .";"1      ."
"oxygen transporter activity";"0.277777777777778      .";"1      ."
"p53 binding";"0.277777777777778      .";"1      ."
"peptidyl-proline hydroxylation";"0.277777777777778      .";"1      ."
"peptidyl-serine phosphorylation";"0.277777777777778      .";"1      ."
"peroxisomal membrane";"0.277777777777778      .";"1      ."
"phospholipid metabolic process";"0.277777777777778      .";"1      ."
"phototransduction";"0.277777777777778      .";"1      ."
"positive regulation of cyclin-dependent protein serine/threonine kinase activity";"0.277777777777778      .";"1      ."
"positive regulation of neurogenesis";"0.277777777777778      .";"1      ."
"positive regulation of pathway-restricted SMAD protein phosphorylation";"0.277777777777778      .";"1      ."
"positive regulation of Wnt signaling pathway";"0.277777777777778      .";"1      ."
"potassium ion leak channel activity";"0.277777777777778      .";"1      ."
"protein autophosphorylation";"0.277777777777778      .";"1      ."
"protein complex assembly";"0.277777777777778      .";"1      ."
"purinergic nucleotide receptor activity";"0.277777777777778      .";"1      ."
"purinergic nucleotide receptor signaling pathway";"0.277777777777778      .";"1      ."
"Rac GTPase binding";"0.277777777777778      .";"1      ."
"regeneration";"0.277777777777778      .";"1      ."
"regulation of cell differentiation";"0.277777777777778      .";"1      ."
"regulation of cell morphogenesis";"0.277777777777778      .";"1      ."
"regulation of MAPK cascade";"0.277777777777778      .";"1      ."
"regulation of membrane potential";"0.277777777777778      .";"1      ."
"regulation of protein kinase activity";"0.277777777777778      .";"1      ."
"regulation of small GTPase mediated signal transduction";"0.277777777777778      .";"1      ."
"response to ATP";"0.277777777777778      .";"1      ."
"response to drug";"0.277777777777778      .";"1      ."
"retina layer formation";"0.277777777777778      .";"1      ."
"retinal cone cell development";"0.277777777777778      .";"1      ."
"RNA polymerase II transcription coactivator activity";"0.277777777777778      .";"1      ."
"serine-type endopeptidase activity";"0.277777777777778      .";"1      ."
"serine-type peptidase activity";"0.277777777777778      .";"1      ."
"serotonin binding";"0.277777777777778      .";"1      ."
"solute:proton antiporter activity";"0.277777777777778      .";"1      ."
"somite specification";"0.277777777777778      .";"1      ."
"structural constituent of cytoskeleton";"0.277777777777778      .";"1      ."
"thymus development";"0.277777777777778      .";"1      ."
"transcription cofactor activity";"0.277777777777778      .";"1      ."
"transcription corepressor activity";"0.277777777777778      .";"1      ."
"transcriptional repressor complex";"0.277777777777778      .";"1      ."
"transforming growth factor beta receptor binding";"0.277777777777778      .";"1      ."
"anchored component of membrane";"0.333333333333333      .";"1      ."
"bicarbonate transport";"0.333333333333333      .";"1      ."
"blood vessel morphogenesis";"0.333333333333333      .";"1      ."
"camera-type eye development";"0.333333333333333      .";"1      ."
"carboxy-lyase activity";"0.333333333333333      .";"1      ."
"cardiac muscle cell differentiation";"0.333333333333333      .";"1      ."
"cation transmembrane transport";"0.333333333333333      .";"1      ."
"cell-matrix adhesion";"0.333333333333333      .";"1      ."
"cell cycle";"0.333333333333333      .";"1      ."
"cell fate specification";"0.333333333333333      .";"1      ."
"cell projection organization";"0.333333333333333      .";"1      ."
"cellular response to interleukin-1";"0.333333333333333      .";"1      ."
"chemokine activity";"0.333333333333333      .";"1      ."
"ciliary basal body";"0.333333333333333      .";"1      ."
"cyclin-dependent protein kinase holoenzyme complex";"0.333333333333333      .";"1      ."
"cytoplasmic vesicle membrane";"0.333333333333333      .";"1      ."
"cytoskeleton";"0.333333333333333      .";"1      ."
"DNA binding";"0.333333333333333      .";"1      ."
"dynein complex";"0.333333333333333      .";"1      ."
"embryonic camera-type eye development";"0.333333333333333      .";"1      ."
"embryonic heart tube development";"0.333333333333333      .";"1      ."
"fatty acid elongation, polyunsaturated fatty acid";"0.333333333333333      .";"1      ."
"glucuronosyltransferase activity";"0.333333333333333      .";"1      ."
"hematopoietic progenitor cell differentiation";"0.333333333333333      .";"1      ."
"induction of positive chemotaxis";"0.333333333333333      .";"1      ."
"inward rectifier potassium channel activity";"0.333333333333333      .";"1      ."
"lens development in camera-type eye";"0.333333333333333      .";"1      ."
"lipid glycosylation";"0.333333333333333      .";"1      ."
"midbrain-hindbrain boundary development";"0.333333333333333      .";"1      ."
"mitotic sister chromatid cohesion";"0.333333333333333      .";"1      ."
"mitotic spindle assembly checkpoint";"0.333333333333333      .";"1      ."
"motor activity";"0.333333333333333      .";"1      ."
"myelination";"0.333333333333333      .";"1      ."
"neural crest formation";"0.333333333333333      .";"1      ."
"neuron differentiation";"0.333333333333333      .";"1      ."
"neuropeptide signaling pathway";"0.333333333333333      .";"1      ."
"nuclear envelope organization";"0.333333333333333      .";"1      ."
"nucleic acid binding";"0.333333333333333      .";"1      ."
"nucleus";"0.333333333333333      .";"1      ."
"optic nerve development";"0.333333333333333      .";"1      ."
"peripheral nervous system development";"0.333333333333333      .";"1      ."
"phospholipase C-activating dopamine receptor signaling pathway";"0.333333333333333      .";"1      ."
"phosphoric diester hydrolase activity";"0.333333333333333      .";"1      ."
"photoreceptor outer segment";"0.333333333333333      .";"1      ."
"plasma membrane organization";"0.333333333333333      .";"1      ."
"positive regulation of angiogenesis";"0.333333333333333      .";"1      ."
"positive regulation of DNA repair";"0.333333333333333      .";"1      ."
"positive regulation of gene expression";"0.333333333333333      .";"1      ."
"protein complex scaffold";"0.333333333333333      .";"1      ."
"protein disulfide isomerase activity";"0.333333333333333      .";"1      ."
"protein phosphatase regulator activity";"0.333333333333333      .";"1      ."
"protein serine/threonine phosphatase activity";"0.333333333333333      .";"1      ."
"protein ubiquitination involved in ubiquitin-dependent protein catabolic process";"0.333333333333333      .";"1      ."
"regulation of cell migration";"0.333333333333333      .";"1      ."
"regulation of gene expression";"0.333333333333333      .";"1      ."
"regulation of GTPase activity";"0.333333333333333      .";"1      ."
"regulation of intracellular pH";"0.333333333333333      .";"1      ."
"response to endoplasmic reticulum stress";"0.333333333333333      .";"1      ."
"response to mechanical stimulus";"0.333333333333333      .";"1      ."
"retina morphogenesis in camera-type eye";"0.333333333333333      .";"1      ."
"RNA-dependent DNA biosynthetic process";"0.333333333333333      .";"1      ."
"RNA-directed DNA polymerase activity";"0.333333333333333      .";"1      ."
"serine-type endopeptidase inhibitor activity";"0.333333333333333      .";"1      ."
"spindle";"0.333333333333333      .";"1      ."
"stabilization of membrane potential";"0.333333333333333      .";"1      ."
"steroid biosynthetic process";"0.333333333333333      .";"1      ."
"synaptic transmission, cholinergic";"0.333333333333333      .";"1      ."
"thrombocyte differentiation";"0.333333333333333      .";"1      ."
"transcription factor activity, RNA polymerase II transcription factor recruiting";"0.333333333333333      .";"1      ."
"transcription factor TFIID complex";"0.333333333333333      .";"1      ."
"voltage-gated chloride channel activity";"0.333333333333333      .";"1      ."
"zinc ion binding";"0.333333333333333      .";"1      ."
"anaphase-promoting complex";"0.388888888888889      .";"1      ."
"apoptotic signaling pathway";"0.388888888888889      .";"1      ."
"ATP-activated inward rectifier potassium channel activity";"0.388888888888889      .";"1      ."
"base-excision repair";"0.388888888888889      .";"1      ."
"cation transport";"0.388888888888889      .";"1      ."
"CCR chemokine receptor binding";"0.388888888888889      .";"1      ."
"cellular calcium ion homeostasis";"0.388888888888889      .";"1      ."
"cellular response to interferon-gamma";"0.388888888888889      .";"1      ."
"cellular response to tumor necrosis factor";"0.388888888888889      .";"1      ."
"centrosome";"0.388888888888889      .";"1      ."
"chloride transmembrane transport";"0.388888888888889      .";"1      ."
"chromatin binding";"0.388888888888889      .";"1      ."
"cilium movement";"0.388888888888889      .";"1      ."
"cytokine-mediated signaling pathway";"0.388888888888889      .";"1      ."
"determination of left/right asymmetry in lateral mesoderm";"0.388888888888889      .";"1      ."
"determination of pancreatic left/right asymmetry";"0.388888888888889      .";"1      ."
"digestive tract development";"0.388888888888889      .";"1      ."
"DNA biosynthetic process";"0.388888888888889      .";"1      ."
"DNA helicase activity";"0.388888888888889      .";"1      ."
"embryonic organ development";"0.388888888888889      .";"1      ."
"enteric nervous system development";"0.388888888888889      .";"1      ."
"establishment of mitotic spindle orientation";"0.388888888888889      .";"1      ."
"external side of plasma membrane";"0.388888888888889      .";"1      ."
"fatty acid elongation, monounsaturated fatty acid";"0.388888888888889      .";"1      ."
"ferric iron binding";"0.388888888888889      .";"1      ."
"heterotrimeric G-protein complex";"0.388888888888889      .";"1      ."
"histone acetylation";"0.388888888888889      .";"1      ."
"histone acetyltransferase activity";"0.388888888888889      .";"1      ."
"kinetochore";"0.388888888888889      .";"1      ."
"left/right pattern formation";"0.388888888888889      .";"1      ."
"lymphocyte chemotaxis";"0.388888888888889      .";"1      ."
"microtubule-based process";"0.388888888888889      .";"1      ."
"midbody";"0.388888888888889      .";"1      ."
"mitotic cell cycle";"0.388888888888889      .";"1      ."
"mitotic spindle";"0.388888888888889      .";"1      ."
"mitotic spindle assembly";"0.388888888888889      .";"1      ."
"monocyte chemotaxis";"0.388888888888889      .";"1      ."
"negative regulation of catalytic activity";"0.388888888888889      .";"1      ."
"negative regulation of cell migration";"0.388888888888889      .";"1      ."
"neuronal cell body";"0.388888888888889      .";"1      ."
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay";"0.388888888888889      .";"1      ."
"nucleobase-containing compound kinase activity";"0.388888888888889      .";"1      ."
"nucleosomal DNA binding";"0.388888888888889      .";"1      ."
"peptidyl-threonine phosphorylation";"0.388888888888889      .";"1      ."
"peroxidase activity";"0.388888888888889      .";"1      ."
"photoperiodism";"0.388888888888889      .";"1      ."
"photoreceptor cell outer segment organization";"0.388888888888889      .";"1      ."
"positive regulation of actin filament polymerization";"0.388888888888889      .";"1      ."
"protein domain specific binding";"0.388888888888889      .";"1      ."
"protein N-linked glycosylation via asparagine";"0.388888888888889      .";"1      ."
"regulation of alternative mRNA splicing, via spliceosome";"0.388888888888889      .";"1      ."
"regulation of inflammatory response";"0.388888888888889      .";"1      ."
"regulation of neuron apoptotic process";"0.388888888888889      .";"1      ."
"response to hypoxia";"0.388888888888889      .";"1      ."
"response to light stimulus";"0.388888888888889      .";"1      ."
"response to peptide";"0.388888888888889      .";"1      ."
"response to xenobiotic stimulus";"0.388888888888889      .";"1      ."
"small molecule binding";"0.388888888888889      .";"1      ."
"spindle assembly";"0.388888888888889      .";"1      ."
"sulfotransferase activity";"0.388888888888889      .";"1      ."
"telomere maintenance";"0.388888888888889      .";"1      ."
"transferase activity, transferring hexosyl groups";"0.388888888888889      .";"1      ."
"tumor necrosis factor-activated receptor activity";"0.388888888888889      .";"1      ."
"U2-type prespliceosome";"0.388888888888889      .";"1      ."
"U5 snRNP";"0.388888888888889      .";"1      ."
"vacuolar membrane";"0.388888888888889      .";"1      ."
"very long-chain fatty acid biosynthetic process";"0.388888888888889      .";"1      ."
"3-oxo-arachidoyl-CoA synthase activity";"0.444444444444445      .";"1      ."
"3-oxo-cerotoyl-CoA synthase activity";"0.444444444444445      .";"1      ."
"3-oxo-lignoceronyl-CoA synthase activity";"0.444444444444445      .";"1      ."
"activation of MAPKK activity";"0.444444444444445      .";"1      ."
"adenylate cyclase-activating adrenergic receptor signaling pathway";"0.444444444444445      .";"1      ."
"anion transmembrane transport";"0.444444444444445      .";"1      ."
"artery morphogenesis";"0.444444444444445      .";"1      ."
"ATP-dependent chromatin remodeling";"0.444444444444445      .";"1      ."
"ATP hydrolysis coupled cation transmembrane transport";"0.444444444444445      .";"1      ."
"atrioventricular canal development";"0.444444444444445      .";"1      ."
"bicellular tight junction assembly";"0.444444444444445      .";"1      ."
"branching involved in blood vessel morphogenesis";"0.444444444444445      .";"1      ."
"carbohydrate binding";"0.444444444444445      .";"1      ."
"cell division";"0.444444444444445      .";"1      ."
"centriole";"0.444444444444445      .";"1      ."
"chromosome";"0.444444444444445      .";"1      ."
"chromosome, centromeric region";"0.444444444444445      .";"1      ."
"cilium assembly";"0.444444444444445      .";"1      ."
"clathrin-coated pit";"0.444444444444445      .";"1      ."
"copper ion binding";"0.444444444444445      .";"1      ."
"covalent chromatin modification";"0.444444444444445      .";"1      ."
"cytokinesis";"0.444444444444445      .";"1      ."
"definitive hemopoiesis";"0.444444444444445      .";"1      ."
"dephosphorylation";"0.444444444444445      .";"1      ."
"DNA-templated transcription, initiation";"0.444444444444445      .";"1      ."
"dynein intermediate chain binding";"0.444444444444445      .";"1      ."
"endoplasmic reticulum unfolded protein response";"0.444444444444445      .";"1      ."
"fatty acid elongase activity";"0.444444444444445      .";"1      ."
"fatty acid elongation, saturated fatty acid";"0.444444444444445      .";"1      ."
"G-protein coupled photoreceptor activity";"0.444444444444445      .";"1      ."
"G1/S transition of mitotic cell cycle";"0.444444444444445      .";"1      ."
"GTP-Rho binding";"0.444444444444445      .";"1      ."
"heart development";"0.444444444444445      .";"1      ."
"heme binding";"0.444444444444445      .";"1      ."
"hippo signaling";"0.444444444444445      .";"1      ."
"histone acetyltransferase complex";"0.444444444444445      .";"1      ."
"histone binding";"0.444444444444445      .";"1      ."
"histone deacetylase complex";"0.444444444444445      .";"1      ."
"intraciliary transport particle B";"0.444444444444445      .";"1      ."
"Kupffer's vesicle development";"0.444444444444445      .";"1      ."
"L-alpha-amino acid transmembrane transport";"0.444444444444445      .";"1      ."
"lamellipodium";"0.444444444444445      .";"1      ."
"liver development";"0.444444444444445      .";"1      ."
"locomotory behavior";"0.444444444444445      .";"1      ."
"microtubule organizing center";"0.444444444444445      .";"1      ."
"mRNA 3'-UTR binding";"0.444444444444445      .";"1      ."
"negative regulation of neurogenesis";"0.444444444444445      .";"1      ."
"negative regulation of translation";"0.444444444444445      .";"1      ."
"nuclear speck";"0.444444444444445      .";"1      ."
"nucleosome";"0.444444444444445      .";"1      ."
"nucleosome assembly";"0.444444444444445      .";"1      ."
"peptide binding";"0.444444444444445      .";"1      ."
"phosphate ion transmembrane transport";"0.444444444444445      .";"1      ."
"phospholipase activity";"0.444444444444445      .";"1      ."
"phospholipase C-activating G-protein coupled receptor signaling pathway";"0.444444444444445      .";"1      ."
"protein-cysteine S-palmitoyltransferase activity";"0.444444444444445      .";"1      ."
"protein heterodimerization activity";"0.444444444444445      .";"1      ."
"regulation of anion transmembrane transport";"0.444444444444445      .";"1      ."
"regulation of axon extension";"0.444444444444445      .";"1      ."
"response to stress";"0.444444444444445      .";"1      ."
"retina development in camera-type eye";"0.444444444444445      .";"1      ."
"RNA binding";"0.444444444444445      .";"1      ."
"RNA export from nucleus";"0.444444444444445      .";"1      ."
"RNA methyltransferase activity";"0.444444444444445      .";"1      ."
"RNA processing";"0.444444444444445      .";"1      ."
"skeletal muscle fiber development";"0.444444444444445      .";"1      ."
"spermatid development";"0.444444444444445      .";"1      ."
"spindle pole";"0.444444444444445      .";"1      ."
"store-operated calcium channel activity";"0.444444444444445      .";"1      ."
"sulfuric ester hydrolase activity";"0.444444444444445      .";"1      ."
"superoxide metabolic process";"0.444444444444445      .";"1      ."
"tissue regeneration";"0.444444444444445      .";"1      ."
"transferase activity, transferring glycosyl groups";"0.444444444444445      .";"1      ."
"transport";"0.444444444444445      .";"1      ."
"acrosin binding";"0.5      .";"1      ."
"amyloid-beta binding";"0.5      .";"1      ."
"ATP-dependent DNA helicase activity";"0.5      .";"1      ."
"binding of sperm to zona pellucida";"0.5      .";"1      ."
"cell chemotaxis";"0.5      .";"1      ."
"cerebellum development";"0.5      .";"1      ."
"chromatin remodeling";"0.5      .";"1      ."
"cytoplasmic microtubule organization";"0.5      .";"1      ."
"detection of visible light";"0.5      .";"1      ."
"digestive tract morphogenesis";"0.5      .";"1      ."
"egg coat formation";"0.5      .";"1      ."
"endoderm development";"0.5      .";"1      ."
"erythrocyte development";"0.5      .";"1      ."
"exocyst localization";"0.5      .";"1      ."
"G-protein beta/gamma-subunit complex binding";"0.5      .";"1      ."
"GTPase activator activity";"0.5      .";"1      ."
"guanyl nucleotide binding";"0.5      .";"1      ."
"heart morphogenesis";"0.5      .";"1      ."
"immunoglobulin production";"0.5      .";"1      ."
"inorganic anion exchanger activity";"0.5      .";"1      ."
"ion channel binding";"0.5      .";"1      ."
"MAP kinase kinase kinase activity";"0.5      .";"1      ."
"monocarboxylic acid transmembrane transporter activity";"0.5      .";"1      ."
"monocarboxylic acid transport";"0.5      .";"1      ."
"mRNA polyadenylation";"0.5      .";"1      ."
"mRNA processing";"0.5      .";"1      ."
"mRNA splicing, via spliceosome";"0.5      .";"1      ."
"negative regulation of adenylate cyclase activity";"0.5      .";"1      ."
"neuropeptide hormone activity";"0.5      .";"1      ."
"neutral amino acid transmembrane transporter activity";"0.5      .";"1      ."
"neutral amino acid transport";"0.5      .";"1      ."
"nuclear envelope";"0.5      .";"1      ."
"P-body";"0.5      .";"1      ."
"peptidyl-prolyl cis-trans isomerase activity";"0.5      .";"1      ."
"photoreceptor activity";"0.5      .";"1      ."
"positive regulation of acrosome reaction";"0.5      .";"1      ."
"potassium ion import";"0.5      .";"1      ."
"pronephric glomerulus morphogenesis";"0.5      .";"1      ."
"protein-chromophore linkage";"0.5      .";"1      ."
"protein K48-linked deubiquitination";"0.5      .";"1      ."
"protein peptidyl-prolyl isomerization";"0.5      .";"1      ."
"receptor-mediated endocytosis";"0.5      .";"1      ."
"regulation of cell proliferation";"0.5      .";"1      ."
"regulation of cell shape";"0.5      .";"1      ."
"regulation of heart contraction";"0.5      .";"1      ."
"response to stimulus";"0.5      .";"1      ."
"response to zinc ion";"0.5      .";"1      ."
"RNA splicing";"0.5      .";"1      ."
"scavenger receptor activity";"0.5      .";"1      ."
"SH3 domain binding";"0.5      .";"1      ."
"small ribosomal subunit";"0.5      .";"1      ."
"sodium channel regulator activity";"0.5      .";"1      ."
"sphingolipid biosynthetic process";"0.5      .";"1      ."
"steroid metabolic process";"0.5      .";"1      ."
"actin cytoskeleton reorganization";"0.555555555555555      .";"1      ."
"adaptive immune response";"0.555555555555555      .";"1      ."
"adenosine receptor signaling pathway";"0.555555555555555      .";"1      ."
"calcium channel regulator activity";"0.555555555555555      .";"1      ."
"cAMP biosynthetic process";"0.555555555555555      .";"1      ."
"carbohydrate transport";"0.555555555555555      .";"1      ."
"cation transmembrane transporter activity";"0.555555555555555      .";"1      ."
"cellular response to estrogen stimulus";"0.555555555555555      .";"1      ."
"cellular response to nitrogen starvation";"0.555555555555555      .";"1      ."
"chemokine-mediated signaling pathway";"0.555555555555555      .";"1      ."
"chloride channel activity";"0.555555555555555      .";"1      ."
"chromatin organization";"0.555555555555555      .";"1      ."
"chromatin silencing";"0.555555555555555      .";"1      ."
"condensed chromosome kinetochore";"0.555555555555555      .";"1      ."
"cytoplasmic translation";"0.555555555555555      .";"1      ."
