"gene set";"p-value";"fdr"
"regulation of translational initiation";"0.130718954248366      .";"0.659925276153346      ."
"ribosome biogenesis";"0.130718954248366      .";"0.659925276153346      ."
"RNA modification";"0.130718954248366      .";"0.659925276153346      ."
"rRNA binding";"0.130718954248366      .";"0.659925276153346      ."
"secondary active sulfate transmembrane transporter activity";"0.130718954248366      .";"0.659925276153346      ."
"signal transducer activity, downstream of receptor";"0.130718954248366      .";"0.659925276153346      ."
"skeletal muscle tissue development";"0.130718954248366      .";"0.659925276153346      ."
"steroid binding";"0.130718954248366      .";"0.659925276153346      ."
"sulfate transmembrane transport";"0.130718954248366      .";"0.659925276153346      ."
"sulfate transmembrane transporter activity";"0.130718954248366      .";"0.659925276153346      ."
"transcription from RNA polymerase I promoter";"0.130718954248366      .";"0.659925276153346      ."
"transferase activity";"0.130718954248366      .";"0.659925276153346      ."
"ATP hydrolysis coupled proton transport";"0.163398692810458      .";"0.948024396711748      ."
"ATP synthesis coupled proton transport";"0.163398692810458      .";"0.948024396711748      ."
"autophagosome assembly";"0.163398692810458      .";"0.948024396711748      ."
"carbohydrate biosynthetic process";"0.163398692810458      .";"0.948024396711748      ."
"Cul3-RING ubiquitin ligase complex";"0.163398692810458      .";"0.948024396711748      ."
"cytosol";"0.163398692810458      .";"0.948024396711748      ."
"developmental pigmentation";"0.163398692810458      .";"0.948024396711748      ."
"DNA damage checkpoint";"0.163398692810458      .";"0.948024396711748      ."
"dynein complex";"0.163398692810458      .";"0.948024396711748      ."
"endonuclease activity";"0.163398692810458      .";"0.948024396711748      ."
"eukaryotic 43S preinitiation complex";"0.163398692810458      .";"0.948024396711748      ."
"eukaryotic 48S preinitiation complex";"0.163398692810458      .";"0.948024396711748      ."
"ferric iron binding";"0.163398692810458      .";"0.948024396711748      ."
"FMN binding";"0.163398692810458      .";"0.948024396711748      ."
"formation of translation preinitiation complex";"0.163398692810458      .";"0.948024396711748      ."
"G-protein coupled acetylcholine receptor activity";"0.163398692810458      .";"0.948024396711748      ."
"G-protein coupled peptide receptor activity";"0.163398692810458      .";"0.948024396711748      ."
"glycogen biosynthetic process";"0.163398692810458      .";"0.948024396711748      ."
"glycogen metabolic process";"0.163398692810458      .";"0.948024396711748      ."
"heart morphogenesis";"0.163398692810458      .";"0.948024396711748      ."
"inorganic anion exchanger activity";"0.163398692810458      .";"0.948024396711748      ."
"inorganic anion transport";"0.163398692810458      .";"0.948024396711748      ."
"iron-sulfur cluster binding";"0.163398692810458      .";"0.948024396711748      ."
"late endosome membrane";"0.163398692810458      .";"0.948024396711748      ."
"ligand-dependent nuclear receptor transcription coactivator activity";"0.163398692810458      .";"0.948024396711748      ."
"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity";"0.163398692810458      .";"0.948024396711748      ."
"mitochondrial envelope";"0.163398692810458      .";"0.948024396711748      ."
"mitochondrial transport";"0.163398692810458      .";"0.948024396711748      ."
"NAD biosynthetic process";"0.163398692810458      .";"0.948024396711748      ."
"nucleic acid phosphodiester bond hydrolysis";"0.163398692810458      .";"0.948024396711748      ."
"oxalate transmembrane transporter activity";"0.163398692810458      .";"0.948024396711748      ."
"oxalate transport";"0.163398692810458      .";"0.948024396711748      ."
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen";"0.163398692810458      .";"0.948024396711748      ."
"P granule";"0.163398692810458      .";"0.948024396711748      ."
"peptidase activity";"0.163398692810458      .";"0.948024396711748      ."
"peptide cross-linking";"0.163398692810458      .";"0.948024396711748      ."
"protein-glutamine gamma-glutamyltransferase activity";"0.163398692810458      .";"0.948024396711748      ."
"protein disulfide oxidoreductase activity";"0.163398692810458      .";"0.948024396711748      ."
"proton-transporting ATPase activity, rotational mechanism";"0.163398692810458      .";"0.948024396711748      ."
"proton-transporting V-type ATPase, V1 domain";"0.163398692810458      .";"0.948024396711748      ."
"pseudouridine synthase activity";"0.163398692810458      .";"0.948024396711748      ."
"pseudouridine synthesis";"0.163398692810458      .";"0.948024396711748      ."
"purine nucleotide biosynthetic process";"0.163398692810458      .";"0.948024396711748      ."
"response to drug";"0.163398692810458      .";"0.948024396711748      ."
"response to peptide";"0.163398692810458      .";"0.948024396711748      ."
"retinal pigment epithelium development";"0.163398692810458      .";"0.948024396711748      ."
"small ribosomal subunit";"0.163398692810458      .";"0.948024396711748      ."
"sodium-independent organic anion transmembrane transporter activity";"0.163398692810458      .";"0.948024396711748      ."
"sodium-independent organic anion transport";"0.163398692810458      .";"0.948024396711748      ."
"sphingolipid biosynthetic process";"0.163398692810458      .";"0.948024396711748      ."
"sulfuric ester hydrolase activity";"0.163398692810458      .";"0.948024396711748      ."
"superoxide metabolic process";"0.163398692810458      .";"0.948024396711748      ."
"thrombin-activated receptor activity";"0.163398692810458      .";"0.948024396711748      ."
"thrombin-activated receptor signaling pathway";"0.163398692810458      .";"0.948024396711748      ."
"transcription from RNA polymerase III promoter";"0.163398692810458      .";"0.948024396711748      ."
"tRNA aminoacylation";"0.163398692810458      .";"0.948024396711748      ."
"tRNA binding";"0.163398692810458      .";"0.948024396711748      ."
"tRNA methylation";"0.163398692810458      .";"0.948024396711748      ."
"tRNA processing";"0.163398692810458      .";"0.948024396711748      ."
"ubiquitin-dependent protein catabolic process";"0.163398692810458      .";"0.948024396711748      ."
"ubiquitin conjugating enzyme binding";"0.163398692810458      .";"0.948024396711748      ."
"unfolded protein binding";"0.163398692810458      .";"0.948024396711748      ."
"vacuolar transport";"0.163398692810458      .";"0.948024396711748      ."
"very long-chain fatty acid biosynthetic process";"0.163398692810458      .";"0.948024396711748      ."
"actin filament";"0.196078431372549      .";"0.948024396711748      ."
"acyl-CoA hydrolase activity";"0.196078431372549      .";"0.948024396711748      ."
"adenosine receptor signaling pathway";"0.196078431372549      .";"0.948024396711748      ."
"amino acid transport";"0.196078431372549      .";"0.948024396711748      ."
"cation channel activity";"0.196078431372549      .";"0.948024396711748      ."
"cell redox homeostasis";"0.196078431372549      .";"0.948024396711748      ."
"cell surface";"0.196078431372549      .";"0.948024396711748      ."
"cellular_component";"0.196078431372549      .";"0.948024396711748      ."
"circadian regulation of gene expression";"0.196078431372549      .";"0.948024396711748      ."
"copper ion binding";"0.196078431372549      .";"0.948024396711748      ."
"cytokine activity";"0.196078431372549      .";"0.948024396711748      ."
"cytoplasmic vesicle membrane";"0.196078431372549      .";"0.948024396711748      ."
"defense response";"0.196078431372549      .";"0.948024396711748      ."
"embryonic heart tube development";"0.196078431372549      .";"0.948024396711748      ."
"endoplasmic reticulum lumen";"0.196078431372549      .";"0.948024396711748      ."
"endosomal transport";"0.196078431372549      .";"0.948024396711748      ."
"epiboly";"0.196078431372549      .";"0.948024396711748      ."
"inositol-1,4,5-trisphosphate 3-kinase activity";"0.196078431372549      .";"0.948024396711748      ."
"intracellular signal transduction";"0.196078431372549      .";"0.948024396711748      ."
"isoprenoid biosynthetic process";"0.196078431372549      .";"0.948024396711748      ."
"late endosome";"0.196078431372549      .";"0.948024396711748      ."
"melanocyte differentiation";"0.196078431372549      .";"0.948024396711748      ."
"mitochondrial electron transport, ubiquinol to cytochrome c";"0.196078431372549      .";"0.948024396711748      ."
"molecular_function";"0.196078431372549      .";"0.948024396711748      ."
"negative regulation of endopeptidase activity";"0.196078431372549      .";"0.948024396711748      ."
"neuropeptide Y receptor activity";"0.196078431372549      .";"0.948024396711748      ."
"outer dynein arm assembly";"0.196078431372549      .";"0.948024396711748      ."
"peroxidase activity";"0.196078431372549      .";"0.948024396711748      ."
"pigmentation";"0.196078431372549      .";"0.948024396711748      ."
"polysaccharide binding";"0.196078431372549      .";"0.948024396711748      ."
"Rac GTPase binding";"0.196078431372549      .";"0.948024396711748      ."
"regulation of angiogenesis";"0.196078431372549      .";"0.948024396711748      ."
"regulation of endocytosis";"0.196078431372549      .";"0.948024396711748      ."
"regulation of intracellular pH";"0.196078431372549      .";"0.948024396711748      ."
"response to zinc ion";"0.196078431372549      .";"0.948024396711748      ."
"secretory granule";"0.196078431372549      .";"0.948024396711748      ."
"snoRNA binding";"0.196078431372549      .";"0.948024396711748      ."
"steroid hydroxylase activity";"0.196078431372549      .";"0.948024396711748      ."
"translation initiation factor activity";"0.196078431372549      .";"0.948024396711748      ."
"translational initiation";"0.196078431372549      .";"0.948024396711748      ."
"transporter activity";"0.196078431372549      .";"0.948024396711748      ."
"tricarboxylic acid cycle";"0.196078431372549      .";"0.948024396711748      ."
"ubiquitin-protein transferase activity";"0.196078431372549      .";"0.948024396711748      ."
"3'-5' exonuclease activity";"0.235294117647059      .";"1      ."
"4 iron, 4 sulfur cluster binding";"0.235294117647059      .";"1      ."
"acrosin binding";"0.235294117647059      .";"1      ."
"actin monomer binding";"0.235294117647059      .";"1      ."
"activation of protein kinase activity";"0.235294117647059      .";"1      ."
"artery development";"0.235294117647059      .";"1      ."
"autophagy";"0.235294117647059      .";"1      ."
"binding of sperm to zona pellucida";"0.235294117647059      .";"1      ."
"BLOC-1 complex";"0.235294117647059      .";"1      ."
"camera-type eye morphogenesis";"0.235294117647059      .";"1      ."
"caveola";"0.235294117647059      .";"1      ."
"cellular amino acid biosynthetic process";"0.235294117647059      .";"1      ."
"cellular calcium ion homeostasis";"0.235294117647059      .";"1      ."
"cellular oxidant detoxification";"0.235294117647059      .";"1      ."
"CTP biosynthetic process";"0.235294117647059      .";"1      ."
"digestive tract development";"0.235294117647059      .";"1      ."
"dioxygenase activity";"0.235294117647059      .";"1      ."
"DNA-directed 5'-3' RNA polymerase activity";"0.235294117647059      .";"1      ."
"double-strand break repair via homologous recombination";"0.235294117647059      .";"1      ."
"egg coat formation";"0.235294117647059      .";"1      ."
"electron carrier activity";"0.235294117647059      .";"1      ."
"endocytic recycling";"0.235294117647059      .";"1      ."
"endocytosis";"0.235294117647059      .";"1      ."
"endosome organization";"0.235294117647059      .";"1      ."
"ER to Golgi vesicle-mediated transport";"0.235294117647059      .";"1      ."
"germ cell migration";"0.235294117647059      .";"1      ."
"glutathione peroxidase activity";"0.235294117647059      .";"1      ."
"hippo signaling";"0.235294117647059      .";"1      ."
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides";"0.235294117647059      .";"1      ."
"integral component of Golgi membrane";"0.235294117647059      .";"1      ."
"lysosome organization";"0.235294117647059      .";"1      ."
"maturation of LSU-rRNA";"0.235294117647059      .";"1      ."
"mitochondrial large ribosomal subunit";"0.235294117647059      .";"1      ."
"mitochondrion organization";"0.235294117647059      .";"1      ."
"mitophagy";"0.235294117647059      .";"1      ."
"NAD binding";"0.235294117647059      .";"1      ."
"nuclear envelope";"0.235294117647059      .";"1      ."
"nucleophagy";"0.235294117647059      .";"1      ."
"O-acyltransferase activity";"0.235294117647059      .";"1      ."
"one-carbon metabolic process";"0.235294117647059      .";"1      ."
"oxidoreductase activity, acting on NAD(P)H";"0.235294117647059      .";"1      ."
"oxidoreductase activity, acting on the CH-CH group of donors";"0.235294117647059      .";"1      ."
"positive regulation of acrosome reaction";"0.235294117647059      .";"1      ."
"protein deubiquitination";"0.235294117647059      .";"1      ."
"protein transport";"0.235294117647059      .";"1      ."
"regulation of actin cytoskeleton organization";"0.235294117647059      .";"1      ."
"response to mechanical stimulus";"0.235294117647059      .";"1      ."
"retinol metabolic process";"0.235294117647059      .";"1      ."
"RNA polymerase II transcription coactivator activity";"0.235294117647059      .";"1      ."
"RNA secondary structure unwinding";"0.235294117647059      .";"1      ."
"sarcoplasmic reticulum";"0.235294117647059      .";"1      ."
"thigmotaxis";"0.235294117647059      .";"1      ."
"transaminase activity";"0.235294117647059      .";"1      ."
"transferase activity, transferring phosphorus-containing groups";"0.235294117647059      .";"1      ."
"vacuolar acidification";"0.235294117647059      .";"1      ."
"vesicle-mediated transport";"0.235294117647059      .";"1      ."
"vesicle organization";"0.235294117647059      .";"1      ."
"3-oxo-arachidoyl-CoA synthase activity";"0.274509803921569      .";"1      ."
"3-oxo-cerotoyl-CoA synthase activity";"0.274509803921569      .";"1      ."
"3-oxo-lignoceronyl-CoA synthase activity";"0.274509803921569      .";"1      ."
"acyl-CoA metabolic process";"0.274509803921569      .";"1      ."
"ADP transport";"0.274509803921569      .";"1      ."
"adrenergic receptor activity";"0.274509803921569      .";"1      ."
"ATP-dependent RNA helicase activity";"0.274509803921569      .";"1      ."
"ATP binding";"0.274509803921569      .";"1      ."
"ATP transport";"0.274509803921569      .";"1      ."
"cardiac muscle cell differentiation";"0.274509803921569      .";"1      ."
"cellular lipid metabolic process";"0.274509803921569      .";"1      ."
"chondrocyte differentiation";"0.274509803921569      .";"1      ."
"cytoplasmic vesicle";"0.274509803921569      .";"1      ."
"determination of heart left/right asymmetry";"0.274509803921569      .";"1      ."
"DNA-directed RNA polymerase II, core complex";"0.274509803921569      .";"1      ."
"dorsal convergence";"0.274509803921569      .";"1      ."
"erythrocyte maturation";"0.274509803921569      .";"1      ."
"fatty acid elongase activity";"0.274509803921569      .";"1      ."
"fatty acid elongation, monounsaturated fatty acid";"0.274509803921569      .";"1      ."
"fatty acid elongation, saturated fatty acid";"0.274509803921569      .";"1      ."
"G-protein beta/gamma-subunit complex binding";"0.274509803921569      .";"1      ."
"guanyl nucleotide binding";"0.274509803921569      .";"1      ."
"heart development";"0.274509803921569      .";"1      ."
"hemopoiesis";"0.274509803921569      .";"1      ."
"hormone-mediated signaling pathway";"0.274509803921569      .";"1      ."
"intrinsic component of the cytoplasmic side of the plasma membrane";"0.274509803921569      .";"1      ."
"lamellipodium";"0.274509803921569      .";"1      ."
"lyase activity";"0.274509803921569      .";"1      ."
"muscle structure development";"0.274509803921569      .";"1      ."
"myoblast fusion";"0.274509803921569      .";"1      ."
"NAD+ binding";"0.274509803921569      .";"1      ."
"nucleobase-containing compound kinase activity";"0.274509803921569      .";"1      ."
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";"0.274509803921569      .";"1      ."
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor";"0.274509803921569      .";"1      ."
"phosphorylation";"0.274509803921569      .";"1      ."
"protein kinase C-activating G-protein coupled receptor signaling pathway";"0.274509803921569      .";"1      ."
"protein transporter activity";"0.274509803921569      .";"1      ."
"proton-transporting V-type ATPase, V0 domain";"0.274509803921569      .";"1      ."
"regulation of cell adhesion";"0.274509803921569      .";"1      ."
"regulation of heart contraction";"0.274509803921569      .";"1      ."
"retina morphogenesis in camera-type eye";"0.274509803921569      .";"1      ."
"sensory perception of smell";"0.274509803921569      .";"1      ."
"SNAP receptor activity";"0.274509803921569      .";"1      ."
"spermatogenesis";"0.274509803921569      .";"1      ."
"stress-activated protein kinase signaling cascade";"0.274509803921569      .";"1      ."
"ubiquitin binding";"0.274509803921569      .";"1      ."
"urea transmembrane transport";"0.274509803921569      .";"1      ."
"urea transmembrane transporter activity";"0.274509803921569      .";"1      ."
"UTP biosynthetic process";"0.274509803921569      .";"1      ."
"vacuolar proton-transporting V-type ATPase, V0 domain";"0.274509803921569      .";"1      ."
"vasoconstriction";"0.274509803921569      .";"1      ."
"vesicle";"0.274509803921569      .";"1      ."
"2 iron, 2 sulfur cluster binding";"0.320261437908497      .";"1      ."
"actin cytoskeleton organization";"0.320261437908497      .";"1      ."
"ammonium transmembrane transporter activity";"0.320261437908497      .";"1      ."
"anion transmembrane transport";"0.320261437908497      .";"1      ."
"antioxidant activity";"0.320261437908497      .";"1      ."
"bicarbonate transmembrane transporter activity";"0.320261437908497      .";"1      ."
"biological_process";"0.320261437908497      .";"1      ."
"carbohydrate transport";"0.320261437908497      .";"1      ."
"cellular response to oxidative stress";"0.320261437908497      .";"1      ."
"clathrin adaptor complex";"0.320261437908497      .";"1      ."
"connexin complex";"0.320261437908497      .";"1      ."
"dendrite";"0.320261437908497      .";"1      ."
"diacylglycerol kinase activity";"0.320261437908497      .";"1      ."
"DNA metabolic process";"0.320261437908497      .";"1      ."
"endosome";"0.320261437908497      .";"1      ."
"eukaryotic translation initiation factor 3 complex";"0.320261437908497      .";"1      ."
"extracellular ATP-gated cation channel activity";"0.320261437908497      .";"1      ."
"extrinsic component of membrane";"0.320261437908497      .";"1      ."
"feeding behavior";"0.320261437908497      .";"1      ."
"gap junction";"0.320261437908497      .";"1      ."
"glomerulus development";"0.320261437908497      .";"1      ."
"glutathione transferase activity";"0.320261437908497      .";"1      ."
"Golgi apparatus";"0.320261437908497      .";"1      ."
"GPI anchor biosynthetic process";"0.320261437908497      .";"1      ."
"GTP biosynthetic process";"0.320261437908497      .";"1      ."
"heterotrimeric G-protein complex";"0.320261437908497      .";"1      ."
"integrin binding";"0.320261437908497      .";"1      ."
"membrane";"0.320261437908497      .";"1      ."
"mitochondrial matrix";"0.320261437908497      .";"1      ."
"motor activity";"0.320261437908497      .";"1      ."
"nucleoside diphosphate kinase activity";"0.320261437908497      .";"1      ."
"nucleoside diphosphate phosphorylation";"0.320261437908497      .";"1      ."
"nucleotide-excision repair";"0.320261437908497      .";"1      ."
"pancreas regeneration";"0.320261437908497      .";"1      ."
"phosphatidylinositol-mediated signaling";"0.320261437908497      .";"1      ."
"phosphatidylinositol phosphate kinase activity";"0.320261437908497      .";"1      ."
"phospholipid-translocating ATPase activity";"0.320261437908497      .";"1      ."
"phospholipid translocation";"0.320261437908497      .";"1      ."
"phosphoric diester hydrolase activity";"0.320261437908497      .";"1      ."
"pre-autophagosomal structure";"0.320261437908497      .";"1      ."
"protease binding";"0.320261437908497      .";"1      ."
"protein homodimerization activity";"0.320261437908497      .";"1      ."
"protein import into mitochondrial matrix";"0.320261437908497      .";"1      ."
"purinergic nucleotide receptor activity";"0.320261437908497      .";"1      ."
"purinergic nucleotide receptor signaling pathway";"0.320261437908497      .";"1      ."
"regulation of cell migration";"0.320261437908497      .";"1      ."
"response to ATP";"0.320261437908497      .";"1      ."
"response to stress";"0.320261437908497      .";"1      ."
"ribonuclease activity";"0.320261437908497      .";"1      ."
"semaphorin-plexin signaling pathway";"0.320261437908497      .";"1      ."
"semaphorin receptor activity";"0.320261437908497      .";"1      ."
"SH3 domain binding";"0.320261437908497      .";"1      ."
"SMAD binding";"0.320261437908497      .";"1      ."
"synaptic transmission, cholinergic";"0.320261437908497      .";"1      ."
"thiol-dependent ubiquitinyl hydrolase activity";"0.320261437908497      .";"1      ."
"tRNA modification";"0.320261437908497      .";"1      ."
"vesicle docking";"0.320261437908497      .";"1      ."
"vesicle docking involved in exocytosis";"0.320261437908497      .";"1      ."
"ATP-dependent microtubule motor activity, minus-end-directed";"0.366013071895425      .";"1      ."
"atrioventricular canal development";"0.366013071895425      .";"1      ."
"cell-matrix adhesion";"0.366013071895425      .";"1      ."
"cellular component organization";"0.366013071895425      .";"1      ."
"cellular metabolic process";"0.366013071895425      .";"1      ."
"cilium organization";"0.366013071895425      .";"1      ."
"endoderm formation";"0.366013071895425      .";"1      ."
"ER membrane protein complex";"0.366013071895425      .";"1      ."
"extracellular region";"0.366013071895425      .";"1      ."
"glutathione metabolic process";"0.366013071895425      .";"1      ."
"integral component of membrane";"0.366013071895425      .";"1      ."
"integral component of peroxisomal membrane";"0.366013071895425      .";"1      ."
"intra-Golgi vesicle-mediated transport";"0.366013071895425      .";"1      ."
"iron-sulfur cluster assembly";"0.366013071895425      .";"1      ."
"methyltransferase activity";"0.366013071895425      .";"1      ."
"negative regulation of apoptotic process";"0.366013071895425      .";"1      ."
"negative regulation of TOR signaling";"0.366013071895425      .";"1      ."
"nuclease activity";"0.366013071895425      .";"1      ."
"peptidyl-threonine phosphorylation";"0.366013071895425      .";"1      ."
"protein dephosphorylation";"0.366013071895425      .";"1      ."
"protein methylation";"0.366013071895425      .";"1      ."
"Ras protein signal transduction";"0.366013071895425      .";"1      ."
"reciprocal meiotic recombination";"0.366013071895425      .";"1      ."
"ribosome binding";"0.366013071895425      .";"1      ."
"RNA phosphodiester bond hydrolysis, endonucleolytic";"0.366013071895425      .";"1      ."
"serine-type peptidase activity";"0.366013071895425      .";"1      ."
"signal transducer activity";"0.366013071895425      .";"1      ."
"signal transduction";"0.366013071895425      .";"1      ."
"sodium ion transmembrane transport";"0.366013071895425      .";"1      ."
"adenylate cyclase-activating adrenergic receptor signaling pathway";"0.418300653594771      .";"1      ."
"aerobic respiration";"0.418300653594771      .";"1      ."
"alpha-(1->3)-fucosyltransferase activity";"0.418300653594771      .";"1      ."
"apical plasma membrane";"0.418300653594771      .";"1      ."
"bicarbonate transport";"0.418300653594771      .";"1      ."
"cyclin-dependent protein serine/threonine kinase activity";"0.418300653594771      .";"1      ."
"dynein light chain binding";"0.418300653594771      .";"1      ."
"exocytosis";"0.418300653594771      .";"1      ."
"extracellular space";"0.418300653594771      .";"1      ."
"G-protein coupled receptor signaling pathway";"0.418300653594771      .";"1      ."
"glomerular filtration";"0.418300653594771      .";"1      ."
"heart looping";"0.418300653594771      .";"1      ."
"induction of positive chemotaxis";"0.418300653594771      .";"1      ."
"intracellular receptor signaling pathway";"0.418300653594771      .";"1      ."
"iron ion homeostasis";"0.418300653594771      .";"1      ."
"isomerase activity";"0.418300653594771      .";"1      ."
"NAD+ kinase activity";"0.418300653594771      .";"1      ."
"negative regulation of adenylate cyclase activity";"0.418300653594771      .";"1      ."
"negative regulation of Ras protein signal transduction";"0.418300653594771      .";"1      ."
"neuropeptide hormone activity";"0.418300653594771      .";"1      ."
"nitrogen compound metabolic process";"0.418300653594771      .";"1      ."
"peptidyl-tyrosine dephosphorylation";"0.418300653594771      .";"1      ."
"phosphatidylinositol metabolic process";"0.418300653594771      .";"1      ."
"positive regulation of vasoconstriction";"0.418300653594771      .";"1      ."
"protein folding";"0.418300653594771      .";"1      ."
"protein polyubiquitination";"0.418300653594771      .";"1      ."
"protein tyrosine phosphatase activity";"0.418300653594771      .";"1      ."
"proton-transporting ATP synthase activity, rotational mechanism";"0.418300653594771      .";"1      ."
"regulation of cell differentiation";"0.418300653594771      .";"1      ."
"regulation of cell growth";"0.418300653594771      .";"1      ."
"regulation of nucleic acid-templated transcription";"0.418300653594771      .";"1      ."
"Rho GTPase binding";"0.418300653594771      .";"1      ."
"SNARE complex";"0.418300653594771      .";"1      ."
"thiol-dependent ubiquitin-specific protease activity";"0.418300653594771      .";"1      ."
"transcription regulatory region DNA binding";"0.418300653594771      .";"1      ."
"transferase activity, transferring acyl groups";"0.418300653594771      .";"1      ."
"amyloid-beta binding";"0.470588235294118      .";"1      ."
"developmental growth";"0.470588235294118      .";"1      ."
"embryonic organ development";"0.470588235294118      .";"1      ."
"endoderm development";"0.470588235294118      .";"1      ."
"intracellular membrane-bounded organelle";"0.470588235294118      .";"1      ."
"kinase activity";"0.470588235294118      .";"1      ."
"left/right pattern formation";"0.470588235294118      .";"1      ."
"metallopeptidase activity";"0.470588235294118      .";"1      ."
"mRNA 3'-UTR binding";"0.470588235294118      .";"1      ."
"negative regulation of catalytic activity";"0.470588235294118      .";"1      ."
"negative regulation of cell death";"0.470588235294118      .";"1      ."
"nucleobase-containing compound metabolic process";"0.470588235294118      .";"1      ."
"nucleocytoplasmic transporter activity";"0.470588235294118      .";"1      ."
"peroxisomal membrane";"0.470588235294118      .";"1      ."
"phosphatidylinositol 3-kinase signaling";"0.470588235294118      .";"1      ."
"phosphatidylinositol phospholipase C activity";"0.470588235294118      .";"1      ."
"positive regulation of cysteine-type endopeptidase activity involved in apoptotic process";"0.470588235294118      .";"1      ."
"protein catabolic process";"0.470588235294118      .";"1      ."
"protein K63-linked deubiquitination";"0.470588235294118      .";"1      ."
"Rho protein signal transduction";"0.470588235294118      .";"1      ."
"RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding";"0.470588235294118      .";"1      ."
"smooth muscle contraction";"0.470588235294118      .";"1      ."
"solute:proton antiporter activity";"0.470588235294118      .";"1      ."
"swim bladder development";"0.470588235294118      .";"1      ."
"transferase activity, transferring acyl groups other than amino-acyl groups";"0.470588235294118      .";"1      ."
"translation elongation factor activity";"0.470588235294118      .";"1      ."
"ubiquitin-dependent ERAD pathway";"0.470588235294118      .";"1      ."
"actin nucleation";"0.529411764705882      .";"1      ."
"adenylate cyclase-modulating G-protein coupled receptor signaling pathway";"0.529411764705882      .";"1      ."
"aspartic-type endopeptidase activity";"0.529411764705882      .";"1      ."
"ATP-activated inward rectifier potassium channel activity";"0.529411764705882      .";"1      ."
"blood circulation";"0.529411764705882      .";"1      ."
"calcium ion transport";"0.529411764705882      .";"1      ."
"cation transmembrane transport";"0.529411764705882      .";"1      ."
"chloride channel complex";"0.529411764705882      .";"1      ."
"cullin family protein binding";"0.529411764705882      .";"1      ."
"cytoplasmic microtubule organization";"0.529411764705882      .";"1      ."
"definitive hemopoiesis";"0.529411764705882      .";"1      ."
"DNA-dependent DNA replication";"0.529411764705882      .";"1      ."
"enzyme regulator activity";"0.529411764705882      .";"1      ."
"helicase activity";"0.529411764705882      .";"1      ."
"ion channel binding";"0.529411764705882      .";"1      ."
"iron ion binding";"0.529411764705882      .";"1      ."
"membrane coat";"0.529411764705882      .";"1      ."
"membrane depolarization during action potential";"0.529411764705882      .";"1      ."
"methylation";"0.529411764705882      .";"1      ."
"multicellular organismal response to stress";"0.529411764705882      .";"1      ."
"neuromuscular synaptic transmission";"0.529411764705882      .";"1      ."
"NLS-bearing protein import into nucleus";"0.529411764705882      .";"1      ."
"nuclear-transcribed mRNA catabolic process";"0.529411764705882      .";"1      ."
"nuclear localization sequence binding";"0.529411764705882      .";"1      ."
"oligodendrocyte development";"0.529411764705882      .";"1      ."
"positive regulation of transcription, DNA-templated";"0.529411764705882      .";"1      ."
"protein import into nucleus";"0.529411764705882      .";"1      ."
"regulation of translation";"0.529411764705882      .";"1      ."
"response to hypoxia";"0.529411764705882      .";"1      ."
"RNA-dependent DNA biosynthetic process";"0.529411764705882      .";"1      ."
"RNA-directed DNA polymerase activity";"0.529411764705882      .";"1      ."
"RNA methylation";"0.529411764705882      .";"1      ."
"serine-type endopeptidase activity";"0.529411764705882      .";"1      ."
"serine-type endopeptidase inhibitor activity";"0.529411764705882      .";"1      ."
"skeletal muscle fiber development";"0.529411764705882      .";"1      ."
"small protein activating enzyme activity";"0.529411764705882      .";"1      ."
"TBP-class protein binding";"0.529411764705882      .";"1      ."
"transcription factor binding";"0.529411764705882      .";"1      ."
"U1 snRNP";"0.529411764705882      .";"1      ."
"ubiquitin ligase complex";"0.529411764705882      .";"1      ."
"ATP hydrolysis coupled cation transmembrane transport";"0.581699346405229      .";"1      ."
"calcium-dependent cysteine-type endopeptidase activity";"0.581699346405229      .";"1      ."
"cartilage morphogenesis";"0.581699346405229      .";"1      ."
"cation:chloride symporter activity";"0.581699346405229      .";"1      ."
"cyclin-dependent protein kinase holoenzyme complex";"0.581699346405229      .";"1      ."
"DNA-directed DNA polymerase activity";"0.581699346405229      .";"1      ."
"Golgi organization";"0.581699346405229      .";"1      ."
"heart jogging";"0.581699346405229      .";"1      ."
"hydrolase activity, acting on ester bonds";"0.581699346405229      .";"1      ."
"lymphangiogenesis";"0.581699346405229      .";"1      ."
"MAP kinase activity";"0.581699346405229      .";"1      ."
"mRNA transport";"0.581699346405229      .";"1      ."
"negative regulation of transcription from RNA polymerase II promoter";"0.581699346405229      .";"1      ."
"negative regulation of transforming growth factor beta receptor signaling pathway";"0.581699346405229      .";"1      ."
"negative regulation of translation";"0.581699346405229      .";"1      ."
"nuclear pore";"0.581699346405229      .";"1      ."
"phospholipase C-activating dopamine receptor signaling pathway";"0.581699346405229      .";"1      ."
"photoperiodism";"0.581699346405229      .";"1      ."
"potassium ion import";"0.581699346405229      .";"1      ."
"proteasome core complex";"0.581699346405229      .";"1      ."
"protein phosphorylation";"0.581699346405229      .";"1      ."
"receptor clustering";"0.581699346405229      .";"1      ."
"regulation of Rho protein signal transduction";"0.581699346405229      .";"1      ."
