"gene set";"p-value";"fdr"
"mitochondrial membrane";"0.320261437908497      .";"1      ."
"monocyte chemotaxis";"0.320261437908497      .";"1      ."
"myeloid cell development";"0.320261437908497      .";"1      ."
"negative regulation of cell death";"0.320261437908497      .";"1      ."
"negative regulation of mitotic cell cycle";"0.320261437908497      .";"1      ."
"neutrophil chemotaxis";"0.320261437908497      .";"1      ."
"NLS-bearing protein import into nucleus";"0.320261437908497      .";"1      ."
"optokinetic behavior";"0.320261437908497      .";"1      ."
"oxidation-reduction process";"0.320261437908497      .";"1      ."
"PDZ domain binding";"0.320261437908497      .";"1      ."
"peptidyl-serine phosphorylation";"0.320261437908497      .";"1      ."
"phosphate ion transmembrane transport";"0.320261437908497      .";"1      ."
"phosphatidylinositol-4,5-bisphosphate binding";"0.320261437908497      .";"1      ."
"positive regulation of neurogenesis";"0.320261437908497      .";"1      ."
"postsynaptic membrane";"0.320261437908497      .";"1      ."
"pre-autophagosomal structure";"0.320261437908497      .";"1      ."
"presynaptic membrane";"0.320261437908497      .";"1      ."
"protease binding";"0.320261437908497      .";"1      ."
"protein catabolic process";"0.320261437908497      .";"1      ."
"protein sumoylation";"0.320261437908497      .";"1      ."
"proton-transporting ATPase activity, rotational mechanism";"0.320261437908497      .";"1      ."
"proton-transporting V-type ATPase, V0 domain";"0.320261437908497      .";"1      ."
"proton transport";"0.320261437908497      .";"1      ."
"pseudouridine synthase activity";"0.320261437908497      .";"1      ."
"Rab GTPase binding";"0.320261437908497      .";"1      ."
"receptor activity";"0.320261437908497      .";"1      ."
"regulation of cytoskeleton organization";"0.320261437908497      .";"1      ."
"regulation of membrane potential";"0.320261437908497      .";"1      ."
"regulation of molecular function";"0.320261437908497      .";"1      ."
"response to light stimulus";"0.320261437908497      .";"1      ."
"response to peptide";"0.320261437908497      .";"1      ."
"ribonuclease activity";"0.320261437908497      .";"1      ."
"RNA modification";"0.320261437908497      .";"1      ."
"secondary active sulfate transmembrane transporter activity";"0.320261437908497      .";"1      ."
"SNARE complex";"0.320261437908497      .";"1      ."
"somite specification";"0.320261437908497      .";"1      ."
"sphingolipid biosynthetic process";"0.320261437908497      .";"1      ."
"sulfate transmembrane transport";"0.320261437908497      .";"1      ."
"sulfate transmembrane transporter activity";"0.320261437908497      .";"1      ."
"synaptic vesicle endocytosis";"0.320261437908497      .";"1      ."
"transcription elongation from RNA polymerase II promoter";"0.320261437908497      .";"1      ."
"tRNA binding";"0.320261437908497      .";"1      ."
"ubiquitin binding";"0.320261437908497      .";"1      ."
"vesicle";"0.320261437908497      .";"1      ."
"voltage-gated potassium channel complex";"0.320261437908497      .";"1      ."
"activation of protein kinase activity";"0.366013071895425      .";"1      ."
"amino acid transport";"0.366013071895425      .";"1      ."
"autophagosome";"0.366013071895425      .";"1      ."
"axon extension";"0.366013071895425      .";"1      ."
"basement membrane";"0.366013071895425      .";"1      ."
"bicarbonate transmembrane transporter activity";"0.366013071895425      .";"1      ."
"biological_process";"0.366013071895425      .";"1      ."
"calcium ion binding";"0.366013071895425      .";"1      ."
"cell-cell adherens junction";"0.366013071895425      .";"1      ."
"cellular response to DNA damage stimulus";"0.366013071895425      .";"1      ."
"cellular response to interleukin-1";"0.366013071895425      .";"1      ."
"collagen fibril organization";"0.366013071895425      .";"1      ."
"copper ion binding";"0.366013071895425      .";"1      ."
"DNA-dependent ATPase activity";"0.366013071895425      .";"1      ."
"dorsal convergence";"0.366013071895425      .";"1      ."
"endonuclease activity";"0.366013071895425      .";"1      ."
"endoplasmic reticulum unfolded protein response";"0.366013071895425      .";"1      ."
"endosomal transport";"0.366013071895425      .";"1      ."
"epidermal growth factor receptor signaling pathway";"0.366013071895425      .";"1      ."
"establishment or maintenance of cell polarity";"0.366013071895425      .";"1      ."
"eukaryotic 48S preinitiation complex";"0.366013071895425      .";"1      ."
"extracellular-glutamate-gated ion channel activity";"0.366013071895425      .";"1      ."
"extracellular matrix organization";"0.366013071895425      .";"1      ."
"extrinsic component of membrane";"0.366013071895425      .";"1      ."
"eye development";"0.366013071895425      .";"1      ."
"forebrain development";"0.366013071895425      .";"1      ."
"fructose 6-phosphate metabolic process";"0.366013071895425      .";"1      ."
"fucosylation";"0.366013071895425      .";"1      ."
"fucosyltransferase activity";"0.366013071895425      .";"1      ."
"G-protein coupled serotonin receptor activity";"0.366013071895425      .";"1      ."
"GABA-A receptor complex";"0.366013071895425      .";"1      ."
"galanin receptor activity";"0.366013071895425      .";"1      ."
"glutathione transferase activity";"0.366013071895425      .";"1      ."
"GTP binding";"0.366013071895425      .";"1      ."
"immune system process";"0.366013071895425      .";"1      ."
"integral component of peroxisomal membrane";"0.366013071895425      .";"1      ."
"ionotropic glutamate receptor activity";"0.366013071895425      .";"1      ."
"ionotropic glutamate receptor signaling pathway";"0.366013071895425      .";"1      ."
"Kupffer's vesicle development";"0.366013071895425      .";"1      ."
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)";"0.366013071895425      .";"1      ."
"melanosome";"0.366013071895425      .";"1      ."
"melanosome organization";"0.366013071895425      .";"1      ."
"melanosome transport";"0.366013071895425      .";"1      ."
"microtubule-based process";"0.366013071895425      .";"1      ."
"mismatch repair";"0.366013071895425      .";"1      ."
"mitochondrial intermembrane space";"0.366013071895425      .";"1      ."
"molecular_function";"0.366013071895425      .";"1      ."
"myelination";"0.366013071895425      .";"1      ."
"NADH dehydrogenase (ubiquinone) activity";"0.366013071895425      .";"1      ."
"neural crest cell development";"0.366013071895425      .";"1      ."
"neuropeptide binding";"0.366013071895425      .";"1      ."
"neurotransmitter transport";"0.366013071895425      .";"1      ."
"oligodendrocyte differentiation";"0.366013071895425      .";"1      ."
"phosphatidylinositol-3-phosphate biosynthetic process";"0.366013071895425      .";"1      ."
"phosphotransferase activity, alcohol group as acceptor";"0.366013071895425      .";"1      ."
"positive regulation of gene expression";"0.366013071895425      .";"1      ."
"positive regulation of sequence-specific DNA binding transcription factor activity";"0.366013071895425      .";"1      ."
"protein binding involved in protein folding";"0.366013071895425      .";"1      ."
"protein kinase inhibitor activity";"0.366013071895425      .";"1      ."
"protein localization";"0.366013071895425      .";"1      ."
"regulation of cell migration";"0.366013071895425      .";"1      ."
"regulation of intracellular pH";"0.366013071895425      .";"1      ."
"regulation of vesicle fusion";"0.366013071895425      .";"1      ."
"respiratory chain";"0.366013071895425      .";"1      ."
"response to copper ion";"0.366013071895425      .";"1      ."
"response to oxidative stress";"0.366013071895425      .";"1      ."
"retrograde transport, endosome to Golgi";"0.366013071895425      .";"1      ."
"ribosomal large subunit assembly";"0.366013071895425      .";"1      ."
"RNA methylation";"0.366013071895425      .";"1      ."
"RNA phosphodiester bond hydrolysis, endonucleolytic";"0.366013071895425      .";"1      ."
"single-stranded RNA binding";"0.366013071895425      .";"1      ."
"single organismal cell-cell adhesion";"0.366013071895425      .";"1      ."
"small-subunit processome";"0.366013071895425      .";"1      ."
"spectrin binding";"0.366013071895425      .";"1      ."
"sulfate transport";"0.366013071895425      .";"1      ."
"sulfuric ester hydrolase activity";"0.366013071895425      .";"1      ."
"syntaxin binding";"0.366013071895425      .";"1      ."
"vacuolar proton-transporting V-type ATPase, V0 domain";"0.366013071895425      .";"1      ."
"vacuolar transport";"0.366013071895425      .";"1      ."
"voltage-gated potassium channel activity";"0.366013071895425      .";"1      ."
"actin filament polymerization";"0.418300653594771      .";"1      ."
"activation of GTPase activity";"0.418300653594771      .";"1      ."
"adrenal gland development";"0.418300653594771      .";"1      ."
"BLOC-1 complex";"0.418300653594771      .";"1      ."
"calcium channel regulator activity";"0.418300653594771      .";"1      ."
"catalytic activity";"0.418300653594771      .";"1      ."
"cation transmembrane transport";"0.418300653594771      .";"1      ."
"cation:chloride symporter activity";"0.418300653594771      .";"1      ."
"cell cycle arrest";"0.418300653594771      .";"1      ."
"cellular amino acid metabolic process";"0.418300653594771      .";"1      ."
"cellular metabolic process";"0.418300653594771      .";"1      ."
"chloride channel activity";"0.418300653594771      .";"1      ."
"cilium movement";"0.418300653594771      .";"1      ."
"cytoskeleton-dependent intracellular transport";"0.418300653594771      .";"1      ."
"cytoskeleton organization";"0.418300653594771      .";"1      ."
"defense response to virus";"0.418300653594771      .";"1      ."
"detection of chemical stimulus involved in sensory perception of smell";"0.418300653594771      .";"1      ."
"dynamin family protein polymerization involved in mitochondrial fission";"0.418300653594771      .";"1      ."
"electron carrier activity";"0.418300653594771      .";"1      ."
"embryonic heart tube development";"0.418300653594771      .";"1      ."
"endoplasmic reticulum membrane";"0.418300653594771      .";"1      ."
"eukaryotic 43S preinitiation complex";"0.418300653594771      .";"1      ."
"eukaryotic translation initiation factor 3 complex";"0.418300653594771      .";"1      ."
"fatty acid beta-oxidation";"0.418300653594771      .";"1      ."
"fin regeneration";"0.418300653594771      .";"1      ."
"formation of translation preinitiation complex";"0.418300653594771      .";"1      ."
"glomerular filtration";"0.418300653594771      .";"1      ."
"glutamate receptor activity";"0.418300653594771      .";"1      ."
"GTPase regulator activity";"0.418300653594771      .";"1      ."
"habenula development";"0.418300653594771      .";"1      ."
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides";"0.418300653594771      .";"1      ."
"integral component of endoplasmic reticulum membrane";"0.418300653594771      .";"1      ."
"intracellular protein transport";"0.418300653594771      .";"1      ."
"late endosome";"0.418300653594771      .";"1      ."
"lipid metabolic process";"0.418300653594771      .";"1      ."
"melanocyte differentiation";"0.418300653594771      .";"1      ."
"membrane attack complex";"0.418300653594771      .";"1      ."
"microtubule";"0.418300653594771      .";"1      ."
"mitochondrial envelope";"0.418300653594771      .";"1      ."
"mitochondrial matrix";"0.418300653594771      .";"1      ."
"mitochondrial outer membrane";"0.418300653594771      .";"1      ."
"muscle fiber development";"0.418300653594771      .";"1      ."
"negative regulation of angiogenesis";"0.418300653594771      .";"1      ."
"negative regulation of apoptotic process";"0.418300653594771      .";"1      ."
"negative regulation of JAK-STAT cascade";"0.418300653594771      .";"1      ."
"negative regulation of TOR signaling";"0.418300653594771      .";"1      ."
"neuron projection development";"0.418300653594771      .";"1      ."
"neuron projection morphogenesis";"0.418300653594771      .";"1      ."
"neurotransmitter receptor activity";"0.418300653594771      .";"1      ."
"nucleoside metabolic process";"0.418300653594771      .";"1      ."
"olfactory receptor activity";"0.418300653594771      .";"1      ."
"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor";"0.418300653594771      .";"1      ."
"peptidyl-threonine phosphorylation";"0.418300653594771      .";"1      ."
"plasma membrane";"0.418300653594771      .";"1      ."
"positive regulation of cytosolic calcium ion concentration";"0.418300653594771      .";"1      ."
"positive regulation of ERK1 and ERK2 cascade";"0.418300653594771      .";"1      ."
"positive regulation of I-kappaB kinase/NF-kappaB signaling";"0.418300653594771      .";"1      ."
"potassium channel activity";"0.418300653594771      .";"1      ."
"protein phosphatase regulator activity";"0.418300653594771      .";"1      ."
"protein transport";"0.418300653594771      .";"1      ."
"proteolysis involved in cellular protein catabolic process";"0.418300653594771      .";"1      ."
"proton-transporting V-type ATPase, V1 domain";"0.418300653594771      .";"1      ."
"pseudouridine synthesis";"0.418300653594771      .";"1      ."
"Ras protein signal transduction";"0.418300653594771      .";"1      ."
"receptor binding";"0.418300653594771      .";"1      ."
"regulation of endocytosis";"0.418300653594771      .";"1      ."
"regulation of Rho protein signal transduction";"0.418300653594771      .";"1      ."
"response to heat";"0.418300653594771      .";"1      ."
"response to lipopolysaccharide";"0.418300653594771      .";"1      ."
"response to yeast";"0.418300653594771      .";"1      ."
"ribosome binding";"0.418300653594771      .";"1      ."
"single-stranded DNA binding";"0.418300653594771      .";"1      ."
"skeletal system development";"0.418300653594771      .";"1      ."
"sodium:bicarbonate symporter activity";"0.418300653594771      .";"1      ."
"sphingolipid metabolic process";"0.418300653594771      .";"1      ."
"stress-activated protein kinase signaling cascade";"0.418300653594771      .";"1      ."
"swim bladder development";"0.418300653594771      .";"1      ."
"synapse";"0.418300653594771      .";"1      ."
"vesicle fusion";"0.418300653594771      .";"1      ."
"zinc II ion transport";"0.418300653594771      .";"1      ."
"activation of MAPK activity";"0.470588235294118      .";"1      ."
"axon";"0.470588235294118      .";"1      ."
"axon guidance";"0.470588235294118      .";"1      ."
"axoneme";"0.470588235294118      .";"1      ."
"B cell receptor signaling pathway";"0.470588235294118      .";"1      ."
"bicellular tight junction";"0.470588235294118      .";"1      ."
"carbohydrate binding";"0.470588235294118      .";"1      ."
"carbonate dehydratase activity";"0.470588235294118      .";"1      ."
"carboxylic ester hydrolase activity";"0.470588235294118      .";"1      ."
"cartilage morphogenesis";"0.470588235294118      .";"1      ."
"cell adhesion";"0.470588235294118      .";"1      ."
"cell cycle";"0.470588235294118      .";"1      ."
"chromosome, centromeric region";"0.470588235294118      .";"1      ."
"cysteine-type endopeptidase activity";"0.470588235294118      .";"1      ."
"cytokine activity";"0.470588235294118      .";"1      ."
"digestive tract development";"0.470588235294118      .";"1      ."
"DNA recombination";"0.470588235294118      .";"1      ."
"DNA replication initiation";"0.470588235294118      .";"1      ."
"drug transmembrane transport";"0.470588235294118      .";"1      ."
"embryonic retina morphogenesis in camera-type eye";"0.470588235294118      .";"1      ."
"enzyme activator activity";"0.470588235294118      .";"1      ."
"GABA-A receptor activity";"0.470588235294118      .";"1      ."
"histone deacetylation";"0.470588235294118      .";"1      ."
"immunoglobulin production";"0.470588235294118      .";"1      ."
"integral component of membrane";"0.470588235294118      .";"1      ."
"ion transport";"0.470588235294118      .";"1      ."
"iron-sulfur cluster binding";"0.470588235294118      .";"1      ."
"kinesin complex";"0.470588235294118      .";"1      ."
"left/right pattern formation";"0.470588235294118      .";"1      ."
"lysosome";"0.470588235294118      .";"1      ."
"macrophage differentiation";"0.470588235294118      .";"1      ."
"membrane";"0.470588235294118      .";"1      ."
"membrane raft";"0.470588235294118      .";"1      ."
"microtubule binding";"0.470588235294118      .";"1      ."
"microtubule cytoskeleton organization";"0.470588235294118      .";"1      ."
"mitochondrial electron transport, NADH to ubiquinone";"0.470588235294118      .";"1      ."
"neuropeptide Y receptor activity";"0.470588235294118      .";"1      ."
"non-membrane spanning protein tyrosine kinase activity";"0.470588235294118      .";"1      ."
"nuclear envelope";"0.470588235294118      .";"1      ."
"nuclear envelope organization";"0.470588235294118      .";"1      ."
"odontogenesis";"0.470588235294118      .";"1      ."
"otic placode formation";"0.470588235294118      .";"1      ."
"peptidyl-prolyl cis-trans isomerase activity";"0.470588235294118      .";"1      ."
"phosphatidylinositol binding";"0.470588235294118      .";"1      ."
"phosphatidylinositol dephosphorylation";"0.470588235294118      .";"1      ."
"phospholipid metabolic process";"0.470588235294118      .";"1      ."
"pigmentation";"0.470588235294118      .";"1      ."
"positive regulation of neuron differentiation";"0.470588235294118      .";"1      ."
"posterior lateral line development";"0.470588235294118      .";"1      ."
"precatalytic spliceosome";"0.470588235294118      .";"1      ."
"protein disulfide oxidoreductase activity";"0.470588235294118      .";"1      ."
"protein peptidyl-prolyl isomerization";"0.470588235294118      .";"1      ."
"proton-transporting ATP synthase activity, rotational mechanism";"0.470588235294118      .";"1      ."
"recycling endosome";"0.470588235294118      .";"1      ."
"regulation of apoptotic process";"0.470588235294118      .";"1      ."
"regulation of ARF protein signal transduction";"0.470588235294118      .";"1      ."
"regulation of cell proliferation";"0.470588235294118      .";"1      ."
"regulation of exocytosis";"0.470588235294118      .";"1      ."
"regulation of neurogenesis";"0.470588235294118      .";"1      ."
"regulation of translational initiation";"0.470588235294118      .";"1      ."
"retinal cone cell development";"0.470588235294118      .";"1      ."
"RNA phosphodiester bond hydrolysis";"0.470588235294118      .";"1      ."
"RNA polymerase II transcription cofactor activity";"0.470588235294118      .";"1      ."
"RNA secondary structure unwinding";"0.470588235294118      .";"1      ."
"signaling";"0.470588235294118      .";"1      ."
"SNARE binding";"0.470588235294118      .";"1      ."
"snoRNA binding";"0.470588235294118      .";"1      ."
"somitogenesis";"0.470588235294118      .";"1      ."
"swimming behavior";"0.470588235294118      .";"1      ."
"symporter activity";"0.470588235294118      .";"1      ."
"synapse organization";"0.470588235294118      .";"1      ."
"synaptic vesicle membrane";"0.470588235294118      .";"1      ."
"tubulin binding";"0.470588235294118      .";"1      ."
"tumor necrosis factor-mediated signaling pathway";"0.470588235294118      .";"1      ."
"vesicle-mediated transport";"0.470588235294118      .";"1      ."
"viral nucleocapsid";"0.470588235294118      .";"1      ."
"zinc II ion transmembrane transport";"0.470588235294118      .";"1      ."
"'de novo' protein folding";"0.529411764705882      .";"1      ."
"3'-5' exonuclease activity";"0.529411764705882      .";"1      ."
"actin polymerization or depolymerization";"0.529411764705882      .";"1      ."
"alpha-(1->3)-fucosyltransferase activity";"0.529411764705882      .";"1      ."
"amino acid transmembrane transport";"0.529411764705882      .";"1      ."
"amino acid transmembrane transporter activity";"0.529411764705882      .";"1      ."
"anchored component of membrane";"0.529411764705882      .";"1      ."
"anion transmembrane transporter activity";"0.529411764705882      .";"1      ."
"anterior/posterior axis specification";"0.529411764705882      .";"1      ."
"ATPase activity";"0.529411764705882      .";"1      ."
"autophagy";"0.529411764705882      .";"1      ."
"biosynthetic process";"0.529411764705882      .";"1      ."
"bone mineralization";"0.529411764705882      .";"1      ."
"brain development";"0.529411764705882      .";"1      ."
"calcium ion transmembrane transport";"0.529411764705882      .";"1      ."
"calmodulin-dependent protein kinase activity";"0.529411764705882      .";"1      ."
"carbohydrate metabolic process";"0.529411764705882      .";"1      ."
"carboxylic acid metabolic process";"0.529411764705882      .";"1      ."
"catalytic step 2 spliceosome";"0.529411764705882      .";"1      ."
"cell cortex";"0.529411764705882      .";"1      ."
"chemokine activity";"0.529411764705882      .";"1      ."
"chloride transmembrane transport";"0.529411764705882      .";"1      ."
"cysteine-type peptidase activity";"0.529411764705882      .";"1      ."
"cytoskeletal anchoring at nuclear membrane";"0.529411764705882      .";"1      ."
"deaminase activity";"0.529411764705882      .";"1      ."
"developmental pigmentation";"0.529411764705882      .";"1      ."
"DNA biosynthetic process";"0.529411764705882      .";"1      ."
"early endosome";"0.529411764705882      .";"1      ."
"embryonic cranial skeleton morphogenesis";"0.529411764705882      .";"1      ."
"endosome organization";"0.529411764705882      .";"1      ."
"ER membrane protein complex";"0.529411764705882      .";"1      ."
"extracellular matrix";"0.529411764705882      .";"1      ."
"flavin adenine dinucleotide binding";"0.529411764705882      .";"1      ."
"frizzled binding";"0.529411764705882      .";"1      ."
"galactosyltransferase activity";"0.529411764705882      .";"1      ."
"glycolipid biosynthetic process";"0.529411764705882      .";"1      ."
"heart development";"0.529411764705882      .";"1      ."
"heat shock protein binding";"0.529411764705882      .";"1      ."
"histone deacetylase activity";"0.529411764705882      .";"1      ."
"hyaluronic acid binding";"0.529411764705882      .";"1      ."
"ion channel activity";"0.529411764705882      .";"1      ."
"iron-sulfur cluster assembly";"0.529411764705882      .";"1      ."
"larval locomotory behavior";"0.529411764705882      .";"1      ."
"late endosome membrane";"0.529411764705882      .";"1      ."
"lysosomal membrane";"0.529411764705882      .";"1      ."
"microtubule cytoskeleton";"0.529411764705882      .";"1      ."
"mitochondrial large ribosomal subunit";"0.529411764705882      .";"1      ."
"mitochondrial respiratory chain complex I";"0.529411764705882      .";"1      ."
"mitotic sister chromatid segregation";"0.529411764705882      .";"1      ."
"monocarboxylic acid transmembrane transporter activity";"0.529411764705882      .";"1      ."
"monocarboxylic acid transport";"0.529411764705882      .";"1      ."
"mRNA polyadenylation";"0.529411764705882      .";"1      ."
"NADP binding";"0.529411764705882      .";"1      ."
"negative regulation of nucleic acid-templated transcription";"0.529411764705882      .";"1      ."
"negative regulation of transcription, DNA-templated";"0.529411764705882      .";"1      ."
"nervous system development";"0.529411764705882      .";"1      ."
"neural tube formation";"0.529411764705882      .";"1      ."
"neuron projection";"0.529411764705882      .";"1      ."
"notochord morphogenesis";"0.529411764705882      .";"1      ."
"nucleobase-containing compound kinase activity";"0.529411764705882      .";"1      ."
"nucleoplasm";"0.529411764705882      .";"1      ."
"nucleotide biosynthetic process";"0.529411764705882      .";"1      ."
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen";"0.529411764705882      .";"1      ."
"photoreceptor cell outer segment organization";"0.529411764705882      .";"1      ."
"positive regulation of actin filament polymerization";"0.529411764705882      .";"1      ."
"positive regulation of protein ubiquitination";"0.529411764705882      .";"1      ."
"protein dimerization activity";"0.529411764705882      .";"1      ."
"protein import into mitochondrial matrix";"0.529411764705882      .";"1      ."
"purine nucleotide biosynthetic process";"0.529411764705882      .";"1      ."
"reciprocal meiotic recombination";"0.529411764705882      .";"1      ."
"regulation of actin cytoskeleton organization";"0.529411764705882      .";"1      ."
"regulation of blood pressure";"0.529411764705882      .";"1      ."
"regulation of cytosolic calcium ion concentration";"0.529411764705882      .";"1      ."
"response to toxic substance";"0.529411764705882      .";"1      ."
"retinal pigment epithelium development";"0.529411764705882      .";"1      ."
"Rho guanyl-nucleotide exchange factor activity";"0.529411764705882      .";"1      ."
"ribosome biogenesis";"0.529411764705882      .";"1      ."
"RNA-dependent DNA biosynthetic process";"0.529411764705882      .";"1      ."
"RNA-directed DNA polymerase activity";"0.529411764705882      .";"1      ."
"RNA polymerase III activity";"0.529411764705882      .";"1      ."
"rRNA processing";"0.529411764705882      .";"1      ."
"signal transduction by protein phosphorylation";"0.529411764705882      .";"1      ."
"small GTPase mediated signal transduction";"0.529411764705882      .";"1      ."
"small protein activating enzyme activity";"0.529411764705882      .";"1      ."
"sodium channel activity";"0.529411764705882      .";"1      ."
"sodium ion transmembrane transport";"0.529411764705882      .";"1      ."
"substrate-specific transmembrane transporter activity";"0.529411764705882      .";"1      ."
"synapse assembly";"0.529411764705882      .";"1      ."
"translation elongation factor activity";"0.529411764705882      .";"1      ."
"tRNA aminoacylation";"0.529411764705882      .";"1      ."
"vacuole";"0.529411764705882      .";"1      ."
"vasoconstriction";"0.529411764705882      .";"1      ."
"ARF guanyl-nucleotide exchange factor activity";"0.581699346405229      .";"1      ."
"ATP metabolic process";"0.581699346405229      .";"1      ."
"axon regeneration";"0.581699346405229      .";"1      ."
"calcium ion transport";"0.581699346405229      .";"1      ."
"cartilage development";"0.581699346405229      .";"1      ."
"cell-cell signaling";"0.581699346405229      .";"1      ."
"cellular response to nitrogen starvation";"0.581699346405229      .";"1      ."
"closure of optic fissure";"0.581699346405229      .";"1      ."
"convergent extension involved in axis elongation";"0.581699346405229      .";"1      ."
"covalent chromatin modification";"0.581699346405229      .";"1      ."
"Cul4-RING E3 ubiquitin ligase complex";"0.581699346405229      .";"1      ."
"cytoplasm";"0.581699346405229      .";"1      ."
"determination of left/right symmetry";"0.581699346405229      .";"1      ."
"DNA-directed DNA polymerase activity";"0.581699346405229      .";"1      ."
"DNA-directed RNA polymerase III complex";"0.581699346405229      .";"1      ."
"double-strand break repair via homologous recombination";"0.581699346405229      .";"1      ."
"embryonic organ development";"0.581699346405229      .";"1      ."
"embryonic viscerocranium morphogenesis";"0.581699346405229      .";"1      ."
"endocytosis";"0.581699346405229      .";"1      ."
"endoplasmic reticulum lumen";"0.581699346405229      .";"1      ."
"extracellular ligand-gated ion channel activity";"0.581699346405229      .";"1      ."
"fin morphogenesis";"0.581699346405229      .";"1      ."
"G-protein coupled serotonin receptor signaling pathway";"0.581699346405229      .";"1      ."
"hematopoietic stem cell differentiation";"0.581699346405229      .";"1      ."
"hydrogen ion transmembrane transport";"0.581699346405229      .";"1      ."
"hypothalamus development";"0.581699346405229      .";"1      ."
"integral component of nuclear inner membrane";"0.581699346405229      .";"1      ."
"integral component of plasma membrane";"0.581699346405229      .";"1      ."
"lipid glycosylation";"0.581699346405229      .";"1      ."
"metalloaminopeptidase activity";"0.581699346405229      .";"1      ."
"mitochondrial transport";"0.581699346405229      .";"1      ."
"mitochondrion";"0.581699346405229      .";"1      ."
"mitophagy";"0.581699346405229      .";"1      ."
"mitotic cytokinesis";"0.581699346405229      .";"1      ."
"neuron development";"0.581699346405229      .";"1      ."
"neurotransmitter secretion";"0.581699346405229      .";"1      ."
"neurotransmitter:sodium symporter activity";"0.581699346405229      .";"1      ."
"Notch signaling pathway";"0.581699346405229      .";"1      ."
"nucleic acid phosphodiester bond hydrolysis";"0.581699346405229      .";"1      ."
"pectoral fin development";"0.581699346405229      .";"1      ."
"peptide metabolic process";"0.581699346405229      .";"1      ."
"phosphatidylinositol 3-kinase binding";"0.581699346405229      .";"1      ."
"preribosome, large subunit precursor";"0.581699346405229      .";"1      ."
"presynaptic active zone";"0.581699346405229      .";"1      ."
"proteasome assembly";"0.581699346405229      .";"1      ."
"protein tyrosine/serine/threonine phosphatase activity";"0.581699346405229      .";"1      ."
"receptor tyrosine kinase binding";"0.581699346405229      .";"1      ."
"regulation of microtubule polymerization or depolymerization";"0.581699346405229      .";"1      ."
"regulation of neuron differentiation";"0.581699346405229      .";"1      ."
"regulation of synaptic transmission, glutamatergic";"0.581699346405229      .";"1      ."
"regulation of vascular endothelial growth factor receptor signaling pathway";"0.581699346405229      .";"1      ."
"regulation of Wnt signaling pathway";"0.581699346405229      .";"1      ."
"retina development in camera-type eye";"0.581699346405229      .";"1      ."
"ribosomal small subunit assembly";"0.581699346405229      .";"1      ."
"RNA polymerase II core promoter proximal region sequence-specific DNA binding";"0.581699346405229      .";"1      ."
"SMAD protein signal transduction";"0.581699346405229      .";"1      ."
"structural constituent of cytoskeleton";"0.581699346405229      .";"1      ."
"structural constituent of nuclear pore";"0.581699346405229      .";"1      ."
"sugar:proton symporter activity";"0.581699346405229      .";"1      ."
"sulfotransferase activity";"0.581699346405229      .";"1      ."
"thiol-dependent ubiquitin-specific protease activity";"0.581699346405229      .";"1      ."
"transcription factor binding";"0.581699346405229      .";"1      ."
"transmembrane receptor protein tyrosine kinase activity";"0.581699346405229      .";"1      ."
"tRNA processing";"0.581699346405229      .";"1      ."
"type B pancreatic cell development";"0.581699346405229      .";"1      ."
"adenosine receptor signaling pathway";"0.633986928104575      .";"1      ."
"anaphase-promoting complex";"0.633986928104575      .";"1      ."
"apoptotic signaling pathway";"0.633986928104575      .";"1      ."
"ATP-dependent microtubule motor activity, minus-end-directed";"0.633986928104575      .";"1      ."
"autophagosome assembly";"0.633986928104575      .";"1      ."
"camera-type eye morphogenesis";"0.633986928104575      .";"1      ."
"carbohydrate transport";"0.633986928104575      .";"1      ."
"cation transport";"0.633986928104575      .";"1      ."
"cell-cell junction";"0.633986928104575      .";"1      ."
"cell differentiation";"0.633986928104575      .";"1      ."
"cell projection organization";"0.633986928104575      .";"1      ."
"cell surface receptor signaling pathway";"0.633986928104575      .";"1      ."
"central nervous system projection neuron axonogenesis";"0.633986928104575      .";"1      ."
"chaperonin-containing T-complex";"0.633986928104575      .";"1      ."
"chloride transport";"0.633986928104575      .";"1      ."
"chordate embryonic development";"0.633986928104575      .";"1      ."
"chromatin binding";"0.633986928104575      .";"1      ."
"chromatin remodeling";"0.633986928104575      .";"1      ."
"cilium";"0.633986928104575      .";"1      ."
"cilium assembly";"0.633986928104575      .";"1      ."
"clathrin-coated pit";"0.633986928104575      .";"1      ."
"clathrin coat assembly";"0.633986928104575      .";"1      ."
"convergent extension involved in gastrulation";"0.633986928104575      .";"1      ."
"cyclin binding";"0.633986928104575      .";"1      ."
"cytochrome-c oxidase activity";"0.633986928104575      .";"1      ."
"cytokinesis";"0.633986928104575      .";"1      ."
"cytosolic large ribosomal subunit";"0.633986928104575      .";"1      ."
"damaged DNA binding";"0.633986928104575      .";"1      ."
"dendrite";"0.633986928104575      .";"1      ."
"determination of dorsal identity";"0.633986928104575      .";"1      ."
"embryonic camera-type eye development";"0.633986928104575      .";"1      ."
"fibroblast growth factor receptor signaling pathway";"0.633986928104575      .";"1      ."
