"gene set";"p-value";"fdr"
"negative regulation of insulin receptor signaling pathway";"0.274509803921569      .";"1      ."
"neutrophil chemotaxis";"0.274509803921569      .";"1      ."
"olfactory receptor activity";"0.274509803921569      .";"1      ."
"ossification";"0.274509803921569      .";"1      ."
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor";"0.274509803921569      .";"1      ."
"peroxisome";"0.274509803921569      .";"1      ."
"phosphatidylinositol phosphate kinase activity";"0.274509803921569      .";"1      ."
"phospholipase activity";"0.274509803921569      .";"1      ."
"phototransduction";"0.274509803921569      .";"1      ."
"positive regulation of catalytic activity";"0.274509803921569      .";"1      ."
"positive regulation of protein ubiquitination";"0.274509803921569      .";"1      ."
"potassium ion transport";"0.274509803921569      .";"1      ."
"response to bacterium";"0.274509803921569      .";"1      ."
"response to biotic stimulus";"0.274509803921569      .";"1      ."
"response to cadmium ion";"0.274509803921569      .";"1      ."
"RNA polymerase I activity";"0.274509803921569      .";"1      ."
"secretory granule";"0.274509803921569      .";"1      ."
"single organismal cell-cell adhesion";"0.274509803921569      .";"1      ."
"sodium ion transport";"0.274509803921569      .";"1      ."
"substrate-specific transmembrane transporter activity";"0.274509803921569      .";"1      ."
"translational initiation";"0.274509803921569      .";"1      ."
"transporter activity";"0.274509803921569      .";"1      ."
"triglyceride catabolic process";"0.274509803921569      .";"1      ."
"urea transmembrane transport";"0.274509803921569      .";"1      ."
"urea transmembrane transporter activity";"0.274509803921569      .";"1      ."
"visual perception";"0.274509803921569      .";"1      ."
"acyl-CoA hydrolase activity";"0.320261437908497      .";"1      ."
"adaptive immune response";"0.320261437908497      .";"1      ."
"anaphase-promoting complex";"0.320261437908497      .";"1      ."
"anion transmembrane transport";"0.320261437908497      .";"1      ."
"aspartic-type endopeptidase activity";"0.320261437908497      .";"1      ."
"blood microparticle";"0.320261437908497      .";"1      ."
"calmodulin-dependent protein kinase activity";"0.320261437908497      .";"1      ."
"cation channel activity";"0.320261437908497      .";"1      ."
"cation transmembrane transport";"0.320261437908497      .";"1      ."
"cell junction";"0.320261437908497      .";"1      ."
"cell recognition";"0.320261437908497      .";"1      ."
"cellular response to estrogen stimulus";"0.320261437908497      .";"1      ."
"cholesterol efflux";"0.320261437908497      .";"1      ."
"cholesterol transporter activity";"0.320261437908497      .";"1      ."
"connexin complex";"0.320261437908497      .";"1      ."
"copper ion binding";"0.320261437908497      .";"1      ."
"cullin-RING ubiquitin ligase complex";"0.320261437908497      .";"1      ."
"cytosol";"0.320261437908497      .";"1      ."
"determination of left/right asymmetry in lateral mesoderm";"0.320261437908497      .";"1      ."
"DNA-dependent ATPase activity";"0.320261437908497      .";"1      ."
"DNA-directed RNA polymerase III complex";"0.320261437908497      .";"1      ."
"double-strand break repair via homologous recombination";"0.320261437908497      .";"1      ."
"early endosome";"0.320261437908497      .";"1      ."
"endodeoxyribonuclease activity";"0.320261437908497      .";"1      ."
"endomembrane system";"0.320261437908497      .";"1      ."
"erythrocyte differentiation";"0.320261437908497      .";"1      ."
"exonuclease activity";"0.320261437908497      .";"1      ."
"extracellular-glutamate-gated ion channel activity";"0.320261437908497      .";"1      ."
"galactosyltransferase activity";"0.320261437908497      .";"1      ."
"gap junction";"0.320261437908497      .";"1      ."
"heme biosynthetic process";"0.320261437908497      .";"1      ."
"inflammatory response";"0.320261437908497      .";"1      ."
"integral component of membrane";"0.320261437908497      .";"1      ."
"ion transport";"0.320261437908497      .";"1      ."
"ionotropic glutamate receptor activity";"0.320261437908497      .";"1      ."
"ionotropic glutamate receptor signaling pathway";"0.320261437908497      .";"1      ."
"isoprenoid biosynthetic process";"0.320261437908497      .";"1      ."
"L-alpha-amino acid transmembrane transport";"0.320261437908497      .";"1      ."
"ligase activity";"0.320261437908497      .";"1      ."
"lyase activity";"0.320261437908497      .";"1      ."
"lysosome organization";"0.320261437908497      .";"1      ."
"macrophage differentiation";"0.320261437908497      .";"1      ."
"melanosome";"0.320261437908497      .";"1      ."
"membrane";"0.320261437908497      .";"1      ."
"membrane fusion";"0.320261437908497      .";"1      ."
"nuclear chromatin";"0.320261437908497      .";"1      ."
"nucleobase-containing compound metabolic process";"0.320261437908497      .";"1      ."
"positive regulation of ERK1 and ERK2 cascade";"0.320261437908497      .";"1      ."
"Rab GTPase binding";"0.320261437908497      .";"1      ."
"recycling endosome";"0.320261437908497      .";"1      ."
"regulation of inflammatory response";"0.320261437908497      .";"1      ."
"regulation of nucleic acid-templated transcription";"0.320261437908497      .";"1      ."
"regulation of synaptic transmission, glutamatergic";"0.320261437908497      .";"1      ."
"sarcolemma";"0.320261437908497      .";"1      ."
"sensory perception of smell";"0.320261437908497      .";"1      ."
"sodium-independent organic anion transmembrane transporter activity";"0.320261437908497      .";"1      ."
"sodium-independent organic anion transport";"0.320261437908497      .";"1      ."
"sulfuric ester hydrolase activity";"0.320261437908497      .";"1      ."
"synaptic vesicle endocytosis";"0.320261437908497      .";"1      ."
"tumor necrosis factor receptor binding";"0.320261437908497      .";"1      ."
"ubiquinone biosynthetic process";"0.320261437908497      .";"1      ."
"vacuolar acidification";"0.320261437908497      .";"1      ."
"vesicle fusion";"0.320261437908497      .";"1      ."
"vesicle organization";"0.320261437908497      .";"1      ."
"adenylate cyclase activity";"0.366013071895425      .";"1      ."
"ATP hydrolysis coupled cation transmembrane transport";"0.366013071895425      .";"1      ."
"calmodulin binding";"0.366013071895425      .";"1      ."
"cell";"0.366013071895425      .";"1      ."
"chaperonin-containing T-complex";"0.366013071895425      .";"1      ."
"chromatin silencing";"0.366013071895425      .";"1      ."
"cytokine receptor activity";"0.366013071895425      .";"1      ."
"cytoplasmic dynein complex";"0.366013071895425      .";"1      ."
"DNA-dependent DNA replication";"0.366013071895425      .";"1      ."
"DNA-directed RNA polymerase II, core complex";"0.366013071895425      .";"1      ."
"double-stranded DNA binding";"0.366013071895425      .";"1      ."
"endopeptidase inhibitor activity";"0.366013071895425      .";"1      ."
"endoplasmic reticulum lumen";"0.366013071895425      .";"1      ."
"fructose metabolic process";"0.366013071895425      .";"1      ."
"gluconeogenesis";"0.366013071895425      .";"1      ."
"head development";"0.366013071895425      .";"1      ."
"heat shock protein binding";"0.366013071895425      .";"1      ."
"immune system process";"0.366013071895425      .";"1      ."
"maturation of LSU-rRNA";"0.366013071895425      .";"1      ."
"membrane attack complex";"0.366013071895425      .";"1      ."
"membrane disruption in other organism";"0.366013071895425      .";"1      ."
"mitochondrial transport";"0.366013071895425      .";"1      ."
"multicellular organismal response to stress";"0.366013071895425      .";"1      ."
"myeloid cell development";"0.366013071895425      .";"1      ."
"NAD biosynthetic process";"0.366013071895425      .";"1      ."
"neuropeptide receptor activity";"0.366013071895425      .";"1      ."
"neurotransmitter secretion";"0.366013071895425      .";"1      ."
"O-acyltransferase activity";"0.366013071895425      .";"1      ."
"peptide cross-linking";"0.366013071895425      .";"1      ."
"phosphatidylinositol-mediated signaling";"0.366013071895425      .";"1      ."
"phosphatidylinositol dephosphorylation";"0.366013071895425      .";"1      ."
"phospholipid biosynthetic process";"0.366013071895425      .";"1      ."
"platelet activation";"0.366013071895425      .";"1      ."
"presynaptic membrane";"0.366013071895425      .";"1      ."
"proteasome assembly";"0.366013071895425      .";"1      ."
"protein-glutamine gamma-glutamyltransferase activity";"0.366013071895425      .";"1      ."
"protein binding, bridging";"0.366013071895425      .";"1      ."
"protein K48-linked deubiquitination";"0.366013071895425      .";"1      ."
"proton-transporting V-type ATPase, V0 domain";"0.366013071895425      .";"1      ."
"regulation of blood pressure";"0.366013071895425      .";"1      ."
"regulation of translational fidelity";"0.366013071895425      .";"1      ."
"response to lipopolysaccharide";"0.366013071895425      .";"1      ."
"response to virus";"0.366013071895425      .";"1      ."
"ribosomal large subunit biogenesis";"0.366013071895425      .";"1      ."
"semicircular canal morphogenesis";"0.366013071895425      .";"1      ."
"trace-amine receptor activity";"0.366013071895425      .";"1      ."
"transferase activity, transferring glycosyl groups";"0.366013071895425      .";"1      ."
"transferase activity, transferring phosphorus-containing groups";"0.366013071895425      .";"1      ."
"transmembrane transporter activity";"0.366013071895425      .";"1      ."
"U4/U6 x U5 tri-snRNP complex";"0.366013071895425      .";"1      ."
"actin cytoskeleton reorganization";"0.418300653594771      .";"1      ."
"activation of GTPase activity";"0.418300653594771      .";"1      ."
"ATP-dependent DNA helicase activity";"0.418300653594771      .";"1      ."
"calcium ion homeostasis";"0.418300653594771      .";"1      ."
"calcium ion import";"0.418300653594771      .";"1      ."
"chemokine-mediated signaling pathway";"0.418300653594771      .";"1      ."
"defense response to Gram-positive bacterium";"0.418300653594771      .";"1      ."
"dephosphorylation";"0.418300653594771      .";"1      ."
"enzyme regulator activity";"0.418300653594771      .";"1      ."
"FAD binding";"0.418300653594771      .";"1      ."
"fatty acid beta-oxidation";"0.418300653594771      .";"1      ."
"feeding behavior";"0.418300653594771      .";"1      ."
"GABA-A receptor complex";"0.418300653594771      .";"1      ."
"glutamate receptor activity";"0.418300653594771      .";"1      ."
"Golgi cisterna membrane";"0.418300653594771      .";"1      ."
"ion transmembrane transport";"0.418300653594771      .";"1      ."
"melanosome organization";"0.418300653594771      .";"1      ."
"myosin complex";"0.418300653594771      .";"1      ."
"N-acetyltransferase activity";"0.418300653594771      .";"1      ."
"negative regulation of endopeptidase activity";"0.418300653594771      .";"1      ."
"neuron projection morphogenesis";"0.418300653594771      .";"1      ."
"neurotransmitter:sodium symporter activity";"0.418300653594771      .";"1      ."
"nuclear pore";"0.418300653594771      .";"1      ."
"phosphatidylinositol-4,5-bisphosphate binding";"0.418300653594771      .";"1      ."
"protein binding involved in protein folding";"0.418300653594771      .";"1      ."
"protein homooligomerization";"0.418300653594771      .";"1      ."
"protein kinase binding";"0.418300653594771      .";"1      ."
"protein secretion";"0.418300653594771      .";"1      ."
"receptor-mediated endocytosis";"0.418300653594771      .";"1      ."
"regulation of cell differentiation";"0.418300653594771      .";"1      ."
"regulation of cell growth";"0.418300653594771      .";"1      ."
"regulation of ion transmembrane transport";"0.418300653594771      .";"1      ."
"regulation of translation";"0.418300653594771      .";"1      ."
"regulation of translational initiation";"0.418300653594771      .";"1      ."
"regulation of vesicle fusion";"0.418300653594771      .";"1      ."
"retinal cone cell development";"0.418300653594771      .";"1      ."
"ribosome biogenesis";"0.418300653594771      .";"1      ."
"RNA phosphodiester bond hydrolysis, endonucleolytic";"0.418300653594771      .";"1      ."
"RNA polymerase III activity";"0.418300653594771      .";"1      ."
"sodium:bicarbonate symporter activity";"0.418300653594771      .";"1      ."
"spliceosomal complex assembly";"0.418300653594771      .";"1      ."
"synapse assembly";"0.418300653594771      .";"1      ."
"syntaxin binding";"0.418300653594771      .";"1      ."
"thiol-dependent ubiquitin-specific protease activity";"0.418300653594771      .";"1      ."
"trans-Golgi network";"0.418300653594771      .";"1      ."
"tRNA binding";"0.418300653594771      .";"1      ."
"voltage-gated ion channel activity";"0.418300653594771      .";"1      ."
"voltage-gated sodium channel activity";"0.418300653594771      .";"1      ."
"zinc II ion transport";"0.418300653594771      .";"1      ."
"'de novo' protein folding";"0.470588235294118      .";"1      ."
"3-oxo-arachidoyl-CoA synthase activity";"0.470588235294118      .";"1      ."
"3-oxo-cerotoyl-CoA synthase activity";"0.470588235294118      .";"1      ."
"3-oxo-lignoceronyl-CoA synthase activity";"0.470588235294118      .";"1      ."
"5'-nucleotidase activity";"0.470588235294118      .";"1      ."
"actin cytoskeleton organization";"0.470588235294118      .";"1      ."
"acyl-CoA dehydrogenase activity";"0.470588235294118      .";"1      ."
"adenylate cyclase-modulating G-protein coupled receptor signaling pathway";"0.470588235294118      .";"1      ."
"B cell receptor signaling pathway";"0.470588235294118      .";"1      ."
"calcium ion-regulated exocytosis of neurotransmitter";"0.470588235294118      .";"1      ."
"cell-cell adherens junction";"0.470588235294118      .";"1      ."
"cell cortex";"0.470588235294118      .";"1      ."
"central nervous system development";"0.470588235294118      .";"1      ."
"chemokine receptor activity";"0.470588235294118      .";"1      ."
"chloride channel complex";"0.470588235294118      .";"1      ."
"cytokine-mediated signaling pathway";"0.470588235294118      .";"1      ."
"DNA repair";"0.470588235294118      .";"1      ."
"dynein intermediate chain binding";"0.470588235294118      .";"1      ."
"endoplasmic reticulum";"0.470588235294118      .";"1      ."
"ER membrane protein complex";"0.470588235294118      .";"1      ."
"fatty acid elongase activity";"0.470588235294118      .";"1      ."
"fatty acid elongation, monounsaturated fatty acid";"0.470588235294118      .";"1      ."
"fatty acid elongation, saturated fatty acid";"0.470588235294118      .";"1      ."
"formation of translation preinitiation complex";"0.470588235294118      .";"1      ."
"fructose 6-phosphate metabolic process";"0.470588235294118      .";"1      ."
"GABA-A receptor activity";"0.470588235294118      .";"1      ."
"Golgi membrane";"0.470588235294118      .";"1      ."
"hematopoietic stem cell differentiation";"0.470588235294118      .";"1      ."
"hormone-mediated signaling pathway";"0.470588235294118      .";"1      ."
"insulin-like growth factor binding";"0.470588235294118      .";"1      ."
"intraciliary transport";"0.470588235294118      .";"1      ."
"iron-sulfur cluster assembly";"0.470588235294118      .";"1      ."
"lipid glycosylation";"0.470588235294118      .";"1      ."
"mitochondrial fission";"0.470588235294118      .";"1      ."
"NAD+ binding";"0.470588235294118      .";"1      ."
"neural crest formation";"0.470588235294118      .";"1      ."
"neuronal action potential";"0.470588235294118      .";"1      ."
"neuronal cell body";"0.470588235294118      .";"1      ."
"neurotransmitter transport";"0.470588235294118      .";"1      ."
"odontogenesis";"0.470588235294118      .";"1      ."
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";"0.470588235294118      .";"1      ."
"peptidyl-prolyl cis-trans isomerase activity";"0.470588235294118      .";"1      ."
"phosphate ion transmembrane transport";"0.470588235294118      .";"1      ."
"proteasome regulatory particle, base subcomplex";"0.470588235294118      .";"1      ."
"protein O-linked mannosylation";"0.470588235294118      .";"1      ."
"protein peptidyl-prolyl isomerization";"0.470588235294118      .";"1      ."
"protein tyrosine/serine/threonine phosphatase activity";"0.470588235294118      .";"1      ."
"regulation of apoptotic process";"0.470588235294118      .";"1      ."
"regulation of ARF protein signal transduction";"0.470588235294118      .";"1      ."
"regulation of cell cycle";"0.470588235294118      .";"1      ."
"regulation of protein kinase activity";"0.470588235294118      .";"1      ."
"response to hypoxia";"0.470588235294118      .";"1      ."
"response to light stimulus";"0.470588235294118      .";"1      ."
"response to xenobiotic stimulus";"0.470588235294118      .";"1      ."
"RNA phosphodiester bond hydrolysis";"0.470588235294118      .";"1      ."
"steroid hydroxylase activity";"0.470588235294118      .";"1      ."
"swimming behavior";"0.470588235294118      .";"1      ."
"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding";"0.470588235294118      .";"1      ."
"tRNA processing";"0.470588235294118      .";"1      ."
"actin filament binding";"0.529411764705882      .";"1      ."
"AMPA glutamate receptor complex";"0.529411764705882      .";"1      ."
"amyloid-beta binding";"0.529411764705882      .";"1      ."
"anion transmembrane transporter activity";"0.529411764705882      .";"1      ."
"apical plasma membrane";"0.529411764705882      .";"1      ."
"ARF guanyl-nucleotide exchange factor activity";"0.529411764705882      .";"1      ."
"axon development";"0.529411764705882      .";"1      ."
"base-excision repair";"0.529411764705882      .";"1      ."
"cation transmembrane transporter activity";"0.529411764705882      .";"1      ."
"cell adhesion molecule binding";"0.529411764705882      .";"1      ."
"cell division";"0.529411764705882      .";"1      ."
"cell fate specification";"0.529411764705882      .";"1      ."
"cellular metabolic process";"0.529411764705882      .";"1      ."
"chaperone-mediated protein folding";"0.529411764705882      .";"1      ."
"chemical synaptic transmission";"0.529411764705882      .";"1      ."
"chondrocyte differentiation";"0.529411764705882      .";"1      ."
"chromosome";"0.529411764705882      .";"1      ."
"cyclin binding";"0.529411764705882      .";"1      ."
"developmental growth";"0.529411764705882      .";"1      ."
"DNA-directed 5'-3' RNA polymerase activity";"0.529411764705882      .";"1      ."
"DNA-templated transcription, initiation";"0.529411764705882      .";"1      ."
"DNA topological change";"0.529411764705882      .";"1      ."
"double-stranded RNA binding";"0.529411764705882      .";"1      ."
"epithelial cilium movement involved in determination of left/right asymmetry";"0.529411764705882      .";"1      ."
"excitatory postsynaptic potential";"0.529411764705882      .";"1      ."
"extracellular matrix structural constituent";"0.529411764705882      .";"1      ."
"fatty acid elongation, polyunsaturated fatty acid";"0.529411764705882      .";"1      ."
"G-protein coupled purinergic nucleotide receptor activity";"0.529411764705882      .";"1      ."
"G-protein coupled purinergic nucleotide receptor signaling pathway";"0.529411764705882      .";"1      ."
"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules";"0.529411764705882      .";"1      ."
"integral component of peroxisomal membrane";"0.529411764705882      .";"1      ."
"ion channel activity";"0.529411764705882      .";"1      ."
"ion channel binding";"0.529411764705882      .";"1      ."
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)";"0.529411764705882      .";"1      ."
"metal ion transport";"0.529411764705882      .";"1      ."
"midbrain development";"0.529411764705882      .";"1      ."
"mitotic spindle assembly";"0.529411764705882      .";"1      ."
"muscle structure development";"0.529411764705882      .";"1      ."
"negative regulation of neuron apoptotic process";"0.529411764705882      .";"1      ."
"negative regulation of nucleic acid-templated transcription";"0.529411764705882      .";"1      ."
"negative regulation of peptidase activity";"0.529411764705882      .";"1      ."
"nucleosomal DNA binding";"0.529411764705882      .";"1      ."
"nucleosome";"0.529411764705882      .";"1      ."
"nucleosome assembly";"0.529411764705882      .";"1      ."
"peptidase inhibitor activity";"0.529411764705882      .";"1      ."
"polysaccharide binding";"0.529411764705882      .";"1      ."
"positive regulation of DNA repair";"0.529411764705882      .";"1      ."
"postsynaptic membrane";"0.529411764705882      .";"1      ."
"preribosome, large subunit precursor";"0.529411764705882      .";"1      ."
"presynapse";"0.529411764705882      .";"1      ."
"presynaptic active zone";"0.529411764705882      .";"1      ."
"protein heterodimerization activity";"0.529411764705882      .";"1      ."
"protein ubiquitination";"0.529411764705882      .";"1      ."
"proteinaceous extracellular matrix";"0.529411764705882      .";"1      ."
"regulation of muscle contraction";"0.529411764705882      .";"1      ."
"response to activity";"0.529411764705882      .";"1      ."
"response to heat";"0.529411764705882      .";"1      ."
"retinal pigment epithelium development";"0.529411764705882      .";"1      ."
"RNA polymerase II transcription factor activity, sequence-specific DNA binding";"0.529411764705882      .";"1      ."
"sarcoplasmic reticulum";"0.529411764705882      .";"1      ."
"single-stranded DNA binding";"0.529411764705882      .";"1      ."
"single-stranded RNA binding";"0.529411764705882      .";"1      ."
"sodium channel activity";"0.529411764705882      .";"1      ."
"sphingolipid biosynthetic process";"0.529411764705882      .";"1      ."
"symporter activity";"0.529411764705882      .";"1      ."
"synapse";"0.529411764705882      .";"1      ."
"troponin complex";"0.529411764705882      .";"1      ."
"U2 snRNP";"0.529411764705882      .";"1      ."
"ubiquitin-dependent protein catabolic process";"0.529411764705882      .";"1      ."
"voltage-gated sodium channel complex";"0.529411764705882      .";"1      ."
"acetylglucosaminyltransferase activity";"0.581699346405229      .";"1      ."
"actin binding";"0.581699346405229      .";"1      ."
"actin polymerization or depolymerization";"0.581699346405229      .";"1      ."
"activation of MAPKKK activity";"0.581699346405229      .";"1      ."
"ADP transport";"0.581699346405229      .";"1      ."
"anatomical structure morphogenesis";"0.581699346405229      .";"1      ."
"anion transport";"0.581699346405229      .";"1      ."
"ATP transport";"0.581699346405229      .";"1      ."
"calcium ion transport";"0.581699346405229      .";"1      ."
"carboxylic ester hydrolase activity";"0.581699346405229      .";"1      ."
"cell cycle arrest";"0.581699346405229      .";"1      ."
"cellular protein modification process";"0.581699346405229      .";"1      ."
"ceramide biosynthetic process";"0.581699346405229      .";"1      ."
"clathrin binding";"0.581699346405229      .";"1      ."
"condensed chromosome kinetochore";"0.581699346405229      .";"1      ."
"determination of heart left/right asymmetry";"0.581699346405229      .";"1      ."
"erythrocyte maturation";"0.581699346405229      .";"1      ."
"guanyl-nucleotide exchange factor activity";"0.581699346405229      .";"1      ."
"heart contraction";"0.581699346405229      .";"1      ."
"heterotrimeric G-protein complex";"0.581699346405229      .";"1      ."
"integral component of plasma membrane";"0.581699346405229      .";"1      ."
"integrin binding";"0.581699346405229      .";"1      ."
"intrinsic apoptotic signaling pathway by p53 class mediator";"0.581699346405229      .";"1      ."
"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity";"0.581699346405229      .";"1      ."
"metal ion binding";"0.581699346405229      .";"1      ."
"microtubule cytoskeleton";"0.581699346405229      .";"1      ."
"mismatch repair";"0.581699346405229      .";"1      ."
"modulation of synaptic transmission";"0.581699346405229      .";"1      ."
"mRNA export from nucleus";"0.581699346405229      .";"1      ."
"mRNA transport";"0.581699346405229      .";"1      ."
"MyD88-dependent toll-like receptor signaling pathway";"0.581699346405229      .";"1      ."
"negative regulation of protein kinase activity";"0.581699346405229      .";"1      ."
"oligosaccharide metabolic process";"0.581699346405229      .";"1      ."
"otolith morphogenesis";"0.581699346405229      .";"1      ."
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen";"0.581699346405229      .";"1      ."
"oxygen binding";"0.581699346405229      .";"1      ."
"oxygen transport";"0.581699346405229      .";"1      ."
"oxygen transporter activity";"0.581699346405229      .";"1      ."
"phagocytosis";"0.581699346405229      .";"1      ."
"precatalytic spliceosome";"0.581699346405229      .";"1      ."
"protein import into mitochondrial matrix";"0.581699346405229      .";"1      ."
"Ran GTPase binding";"0.581699346405229      .";"1      ."
"regulation of blood vessel diameter";"0.581699346405229      .";"1      ."
"regulation of membrane potential";"0.581699346405229      .";"1      ."
"response to mechanical stimulus";"0.581699346405229      .";"1      ."
"RNA phosphodiester bond hydrolysis, exonucleolytic";"0.581699346405229      .";"1      ."
"skeletal muscle contraction";"0.581699346405229      .";"1      ."
"snoRNA binding";"0.581699346405229      .";"1      ."
"spliceosomal snRNP assembly";"0.581699346405229      .";"1      ."
"telomere maintenance";"0.581699346405229      .";"1      ."
"tissue regeneration";"0.581699346405229      .";"1      ."
"transcription from RNA polymerase I promoter";"0.581699346405229      .";"1      ."
"U5 snRNP";"0.581699346405229      .";"1      ."
"very long-chain fatty acid biosynthetic process";"0.581699346405229      .";"1      ."
"zinc ion transmembrane transporter activity";"0.581699346405229      .";"1      ."
"activation of MAPK activity";"0.633986928104575      .";"1      ."
"brain development";"0.633986928104575      .";"1      ."
"calcium ion binding";"0.633986928104575      .";"1      ."
"carbonate dehydratase activity";"0.633986928104575      .";"1      ."
"cell cycle";"0.633986928104575      .";"1      ."
"cell migration";"0.633986928104575      .";"1      ."
"cellular glucose homeostasis";"0.633986928104575      .";"1      ."
"cellular response to hormone stimulus";"0.633986928104575      .";"1      ."
"chromatin";"0.633986928104575      .";"1      ."
"DNA duplex unwinding";"0.633986928104575      .";"1      ."
"DNA helicase activity";"0.633986928104575      .";"1      ."
"dynamin family protein polymerization involved in mitochondrial fission";"0.633986928104575      .";"1      ."
"dynein complex";"0.633986928104575      .";"1      ."
"dynein light intermediate chain binding";"0.633986928104575      .";"1      ."
"extracellular region";"0.633986928104575      .";"1      ."
"eye development";"0.633986928104575      .";"1      ."
"fin regeneration";"0.633986928104575      .";"1      ."
"GPI anchor biosynthetic process";"0.633986928104575      .";"1      ."
"hemoglobin complex";"0.633986928104575      .";"1      ."
"hindbrain development";"0.633986928104575      .";"1      ."
"hyaluronic acid binding";"0.633986928104575      .";"1      ."
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds";"0.633986928104575      .";"1      ."
"integrin-mediated signaling pathway";"0.633986928104575      .";"1      ."
"liver development";"0.633986928104575      .";"1      ."
"metallocarboxypeptidase activity";"0.633986928104575      .";"1      ."
"microtubule associated complex";"0.633986928104575      .";"1      ."
"monocarboxylic acid transmembrane transporter activity";"0.633986928104575      .";"1      ."
"monocarboxylic acid transport";"0.633986928104575      .";"1      ."
"myelination";"0.633986928104575      .";"1      ."
"negative regulation of cell migration";"0.633986928104575      .";"1      ."
"negative regulation of JAK-STAT cascade";"0.633986928104575      .";"1      ."
"neuropeptide hormone activity";"0.633986928104575      .";"1      ."
"neuropeptide signaling pathway";"0.633986928104575      .";"1      ."
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay";"0.633986928104575      .";"1      ."
"nucleolus";"0.633986928104575      .";"1      ."
"organic anion transmembrane transporter activity";"0.633986928104575      .";"1      ."
"PDZ domain binding";"0.633986928104575      .";"1      ."
"phosphotransferase activity, alcohol group as acceptor";"0.633986928104575      .";"1      ."
"plasma membrane";"0.633986928104575      .";"1      ."
"protein import into nucleus";"0.633986928104575      .";"1      ."
"protein phosphatase type 2A complex";"0.633986928104575      .";"1      ."
"protein transporter activity";"0.633986928104575      .";"1      ."
"regulation of calcium ion-dependent exocytosis";"0.633986928104575      .";"1      ."
"regulation of postsynaptic membrane potential";"0.633986928104575      .";"1      ."
"regulation of proteolysis";"0.633986928104575      .";"1      ."
"RNA polymerase II transcription coactivator activity";"0.633986928104575      .";"1      ."
"S-adenosylmethionine-dependent methyltransferase activity";"0.633986928104575      .";"1      ."
"scavenger receptor activity";"0.633986928104575      .";"1      ."
"sensory perception of sound";"0.633986928104575      .";"1      ."
"signal transducer activity, downstream of receptor";"0.633986928104575      .";"1      ."
"small-subunit processome";"0.633986928104575      .";"1      ."
"sodium ion transmembrane transport";"0.633986928104575      .";"1      ."
"spinal cord motor neuron differentiation";"0.633986928104575      .";"1      ."
"spindle organization";"0.633986928104575      .";"1      ."
"synapse organization";"0.633986928104575      .";"1      ."
"synaptic transmission, cholinergic";"0.633986928104575      .";"1      ."
"thiolester hydrolase activity";"0.633986928104575      .";"1      ."
"transcription factor TFIID complex";"0.633986928104575      .";"1      ."
"ubiquitin-protein transferase activity";"0.633986928104575      .";"1      ."
"voltage-gated calcium channel activity";"0.633986928104575      .";"1      ."
"voltage-gated potassium channel complex";"0.633986928104575      .";"1      ."
"zinc II ion transmembrane transport";"0.633986928104575      .";"1      ."
"acrosin binding";"0.679738562091503      .";"1      ."
"actin filament bundle assembly";"0.679738562091503      .";"1      ."
"anchored component of membrane";"0.679738562091503      .";"1      ."
"binding of sperm to zona pellucida";"0.679738562091503      .";"1      ."
"calcium channel activity";"0.679738562091503      .";"1      ."
"cellular calcium ion homeostasis";"0.679738562091503      .";"1      ."
"circadian rhythm";"0.679738562091503      .";"1      ."
"cyclin-dependent protein serine/threonine kinase activity";"0.679738562091503      .";"1      ."
"cytoskeleton";"0.679738562091503      .";"1      ."
"deaminase activity";"0.679738562091503      .";"1      ."
"defense response";"0.679738562091503      .";"1      ."
"digestive tract morphogenesis";"0.679738562091503      .";"1      ."
"DNA recombination";"0.679738562091503      .";"1      ."
"egg coat formation";"0.679738562091503      .";"1      ."
"epiboly";"0.679738562091503      .";"1      ."
"high voltage-gated calcium channel activity";"0.679738562091503      .";"1      ."
"histone acetylation";"0.679738562091503      .";"1      ."
"histone acetyltransferase activity";"0.679738562091503      .";"1      ."
"integral component of endoplasmic reticulum membrane";"0.679738562091503      .";"1      ."
"kinetochore";"0.679738562091503      .";"1      ."
"MAP kinase tyrosine/serine/threonine phosphatase activity";"0.679738562091503      .";"1      ."
"maturation of SSU-rRNA";"0.679738562091503      .";"1      ."
"membrane depolarization during action potential";"0.679738562091503      .";"1      ."
"microtubule organizing center";"0.679738562091503      .";"1      ."
"mitotic cell cycle";"0.679738562091503      .";"1      ."
"mitotic sister chromatid cohesion";"0.679738562091503      .";"1      ."
"mitotic sister chromatid segregation";"0.679738562091503      .";"1      ."
"negative regulation of translation";"0.679738562091503      .";"1      ."
"neuromast development";"0.679738562091503      .";"1      ."
"neuromuscular synaptic transmission";"0.679738562091503      .";"1      ."
"neuron development";"0.679738562091503      .";"1      ."
