"gene set";"p-value";"fdr"
"negative regulation of BMP signaling pathway";"0.277777777777778      .";"1      ."
"negative regulation of cell differentiation";"0.277777777777778      .";"1      ."
"negative regulation of mitotic cell cycle";"0.277777777777778      .";"1      ."
"negative regulation of transcription from RNA polymerase II promoter";"0.277777777777778      .";"1      ."
"negative regulation of translation";"0.277777777777778      .";"1      ."
"nervous system development";"0.277777777777778      .";"1      ."
"neural crest cell development";"0.277777777777778      .";"1      ."
"neural crest formation";"0.277777777777778      .";"1      ."
"neuron development";"0.277777777777778      .";"1      ."
"neuron projection";"0.277777777777778      .";"1      ."
"neuron projection development";"0.277777777777778      .";"1      ."
"neuronal action potential";"0.277777777777778      .";"1      ."
"neurotransmitter secretion";"0.277777777777778      .";"1      ."
"nuclear envelope organization";"0.277777777777778      .";"1      ."
"nuclear pore";"0.277777777777778      .";"1      ."
"nuclear speck";"0.277777777777778      .";"1      ."
"nucleic acid binding";"0.277777777777778      .";"1      ."
"nucleosome";"0.277777777777778      .";"1      ."
"nucleosome assembly";"0.277777777777778      .";"1      ."
"nucleotidyltransferase activity";"0.277777777777778      .";"1      ."
"P-body";"0.277777777777778      .";"1      ."
"pancreas regeneration";"0.277777777777778      .";"1      ."
"peptidyl-tyrosine dephosphorylation";"0.277777777777778      .";"1      ."
"peripheral nervous system neuron axonogenesis";"0.277777777777778      .";"1      ."
"photoreceptor cell outer segment organization";"0.277777777777778      .";"1      ."
"plasma membrane";"0.277777777777778      .";"1      ."
"plasma membrane organization";"0.277777777777778      .";"1      ."
"positive regulation of neuron differentiation";"0.277777777777778      .";"1      ."
"postsynaptic density";"0.277777777777778      .";"1      ."
"presynapse";"0.277777777777778      .";"1      ."
"presynaptic active zone";"0.277777777777778      .";"1      ."
"pronephric glomerulus morphogenesis";"0.277777777777778      .";"1      ."
"protein binding";"0.277777777777778      .";"1      ."
"protein dimerization activity";"0.277777777777778      .";"1      ."
"protein heterodimerization activity";"0.277777777777778      .";"1      ."
"protein homooligomerization";"0.277777777777778      .";"1      ."
"protein import into nucleus";"0.277777777777778      .";"1      ."
"protein kinase activity";"0.277777777777778      .";"1      ."
"protein N-linked glycosylation via asparagine";"0.277777777777778      .";"1      ."
"protein phosphorylation";"0.277777777777778      .";"1      ."
"protein tyrosine kinase activity";"0.277777777777778      .";"1      ."
"protein tyrosine phosphatase activity";"0.277777777777778      .";"1      ."
"Ran GTPase binding";"0.277777777777778      .";"1      ."
"receptor activity";"0.277777777777778      .";"1      ."
"regulation of alternative mRNA splicing, via spliceosome";"0.277777777777778      .";"1      ."
"regulation of calcium ion-dependent exocytosis";"0.277777777777778      .";"1      ."
"regulation of canonical Wnt signaling pathway";"0.277777777777778      .";"1      ."
"regulation of cytoskeleton organization";"0.277777777777778      .";"1      ."
"regulation of cytosolic calcium ion concentration";"0.277777777777778      .";"1      ."
"regulation of exocytosis";"0.277777777777778      .";"1      ."
"regulation of ion transmembrane transport";"0.277777777777778      .";"1      ."
"regulation of microtubule polymerization or depolymerization";"0.277777777777778      .";"1      ."
"regulation of postsynaptic membrane potential";"0.277777777777778      .";"1      ."
"regulation of proteolysis";"0.277777777777778      .";"1      ."
"regulation of synaptic transmission, glutamatergic";"0.277777777777778      .";"1      ."
"regulation of transcription from RNA polymerase II promoter";"0.277777777777778      .";"1      ."
"response to biotic stimulus";"0.277777777777778      .";"1      ."
"retinoic acid receptor signaling pathway";"0.277777777777778      .";"1      ."
"RNA polymerase II core promoter proximal region sequence-specific DNA binding";"0.277777777777778      .";"1      ."
"RNA polymerase II regulatory region sequence-specific DNA binding";"0.277777777777778      .";"1      ."
"RNA polymerase II transcriptional preinitiation complex assembly";"0.277777777777778      .";"1      ."
"RNA processing";"0.277777777777778      .";"1      ."
"semaphorin-plexin signaling pathway";"0.277777777777778      .";"1      ."
"semaphorin receptor activity";"0.277777777777778      .";"1      ."
"sequence-specific DNA binding";"0.277777777777778      .";"1      ."
"signaling";"0.277777777777778      .";"1      ."
"single organismal cell-cell adhesion";"0.277777777777778      .";"1      ."
"skeletal muscle cell differentiation";"0.277777777777778      .";"1      ."
"skeletal muscle tissue development";"0.277777777777778      .";"1      ."
"SMAD binding";"0.277777777777778      .";"1      ."
"smooth muscle contraction";"0.277777777777778      .";"1      ."
"sodium channel activity";"0.277777777777778      .";"1      ."
"sodium ion transmembrane transport";"0.277777777777778      .";"1      ."
"sodium:bicarbonate symporter activity";"0.277777777777778      .";"1      ."
"spectrin binding";"0.277777777777778      .";"1      ."
"spermatogenesis";"0.277777777777778      .";"1      ."
"structural constituent of nuclear pore";"0.277777777777778      .";"1      ."
"synapse assembly";"0.277777777777778      .";"1      ."
"synapse organization";"0.277777777777778      .";"1      ."
"synaptic vesicle endocytosis";"0.277777777777778      .";"1      ."
"telomere maintenance";"0.277777777777778      .";"1      ."
"transcription coactivator activity";"0.277777777777778      .";"1      ."
"transcription elongation from RNA polymerase II promoter";"0.277777777777778      .";"1      ."
"transcription factor activity, RNA polymerase II transcription factor recruiting";"0.277777777777778      .";"1      ."
"transcription from RNA polymerase III promoter";"0.277777777777778      .";"1      ."
"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding";"0.277777777777778      .";"1      ."
"transferase activity";"0.277777777777778      .";"1      ."
"transforming growth factor beta receptor signaling pathway";"0.277777777777778      .";"1      ."
"transmembrane receptor protein tyrosine kinase signaling pathway";"0.277777777777778      .";"1      ."
"tubulin binding";"0.277777777777778      .";"1      ."
"U1 snRNP";"0.277777777777778      .";"1      ."
"U2-type prespliceosome";"0.277777777777778      .";"1      ."
"U5 snRNP";"0.277777777777778      .";"1      ."
"ventricular system development";"0.277777777777778      .";"1      ."
"voltage-gated calcium channel activity";"0.277777777777778      .";"1      ."
"voltage-gated calcium channel complex";"0.277777777777778      .";"1      ."
"voltage-gated ion channel activity";"0.277777777777778      .";"1      ."
"voltage-gated sodium channel activity";"0.277777777777778      .";"1      ."
"voltage-gated sodium channel complex";"0.277777777777778      .";"1      ."
"anterior/posterior pattern specification";"0.333333333333333      .";"1      ."
"ATP-dependent chromatin remodeling";"0.333333333333333      .";"1      ."
"ATP-dependent RNA helicase activity";"0.333333333333333      .";"1      ."
"axon";"0.333333333333333      .";"1      ."
"calcium-dependent cysteine-type endopeptidase activity";"0.333333333333333      .";"1      ."
"calcium channel regulator activity";"0.333333333333333      .";"1      ."
"carbohydrate binding";"0.333333333333333      .";"1      ."
"carboxylic ester hydrolase activity";"0.333333333333333      .";"1      ."
"chemical synaptic transmission";"0.333333333333333      .";"1      ."
"chromosome";"0.333333333333333      .";"1      ."
"cytoskeletal protein binding";"0.333333333333333      .";"1      ."
"cytoskeleton organization";"0.333333333333333      .";"1      ."
"defense response";"0.333333333333333      .";"1      ."
"determination of liver left/right asymmetry";"0.333333333333333      .";"1      ."
"DNA-directed 5'-3' RNA polymerase activity";"0.333333333333333      .";"1      ."
"DNA-directed RNA polymerase II, core complex";"0.333333333333333      .";"1      ."
"DNA-templated transcription, initiation";"0.333333333333333      .";"1      ."
"dopamine receptor signaling pathway";"0.333333333333333      .";"1      ."
"double-strand break repair";"0.333333333333333      .";"1      ."
"embryonic organ development";"0.333333333333333      .";"1      ."
"embryonic pattern specification";"0.333333333333333      .";"1      ."
"endoderm development";"0.333333333333333      .";"1      ."
"endoplasmic reticulum lumen";"0.333333333333333      .";"1      ."
"ephrin receptor activity";"0.333333333333333      .";"1      ."
"ephrin receptor signaling pathway";"0.333333333333333      .";"1      ."
"establishment or maintenance of epithelial cell apical/basal polarity";"0.333333333333333      .";"1      ."
"excitatory postsynaptic potential";"0.333333333333333      .";"1      ."
"exocytic vesicle";"0.333333333333333      .";"1      ."
"extracellular ligand-gated ion channel activity";"0.333333333333333      .";"1      ."
"focal adhesion";"0.333333333333333      .";"1      ."
"G-protein coupled receptor activity";"0.333333333333333      .";"1      ."
"guanyl-nucleotide exchange factor activity";"0.333333333333333      .";"1      ."
"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules";"0.333333333333333      .";"1      ."
"histone lysine methylation";"0.333333333333333      .";"1      ."
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds";"0.333333333333333      .";"1      ."
"insulin receptor binding";"0.333333333333333      .";"1      ."
"integrin binding";"0.333333333333333      .";"1      ."
"kinesin complex";"0.333333333333333      .";"1      ."
"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity";"0.333333333333333      .";"1      ."
"microtubule";"0.333333333333333      .";"1      ."
"microtubule-based movement";"0.333333333333333      .";"1      ."
"microtubule-based process";"0.333333333333333      .";"1      ."
"microtubule motor activity";"0.333333333333333      .";"1      ."
"midbody";"0.333333333333333      .";"1      ."
"miRNA mediated inhibition of translation";"0.333333333333333      .";"1      ."
"mitotic cytokinesis";"0.333333333333333      .";"1      ."
"muscle structure development";"0.333333333333333      .";"1      ."
"negative regulation of endopeptidase activity";"0.333333333333333      .";"1      ."
"neuromuscular junction development";"0.333333333333333      .";"1      ."
"neuromuscular synaptic transmission";"0.333333333333333      .";"1      ."
"neurotransmitter transport";"0.333333333333333      .";"1      ."
"neurotransmitter:sodium symporter activity";"0.333333333333333      .";"1      ."
"NLS-bearing protein import into nucleus";"0.333333333333333      .";"1      ."
"otic vesicle development";"0.333333333333333      .";"1      ."
"phosphoprotein phosphatase activity";"0.333333333333333      .";"1      ."
"phosphorylation";"0.333333333333333      .";"1      ."
"polysaccharide binding";"0.333333333333333      .";"1      ."
"positive regulation of GTPase activity";"0.333333333333333      .";"1      ."
"posterior lateral line neuromast development";"0.333333333333333      .";"1      ."
"postsynapse";"0.333333333333333      .";"1      ."
"postsynaptic membrane";"0.333333333333333      .";"1      ."
"potassium ion transmembrane transport";"0.333333333333333      .";"1      ."
"potassium ion transport";"0.333333333333333      .";"1      ."
"precatalytic spliceosome";"0.333333333333333      .";"1      ."
"primitive hemopoiesis";"0.333333333333333      .";"1      ."
"protein dephosphorylation";"0.333333333333333      .";"1      ."
"protein O-linked mannosylation";"0.333333333333333      .";"1      ."
"protein serine/threonine kinase activity";"0.333333333333333      .";"1      ."
"regulation of molecular function";"0.333333333333333      .";"1      ."
"regulation of nucleic acid-templated transcription";"0.333333333333333      .";"1      ."
"regulation of pH";"0.333333333333333      .";"1      ."
"regulation of transcription, DNA-templated";"0.333333333333333      .";"1      ."
"retina layer formation";"0.333333333333333      .";"1      ."
"RNA binding";"0.333333333333333      .";"1      ."
"RNA export from nucleus";"0.333333333333333      .";"1      ."
"sensory perception of smell";"0.333333333333333      .";"1      ."
"sialylation";"0.333333333333333      .";"1      ."
"sialyltransferase activity";"0.333333333333333      .";"1      ."
"small protein activating enzyme activity";"0.333333333333333      .";"1      ."
"spinal cord motor neuron differentiation";"0.333333333333333      .";"1      ."
"spliceosomal complex";"0.333333333333333      .";"1      ."
"structural constituent of cytoskeleton";"0.333333333333333      .";"1      ."
"synapse";"0.333333333333333      .";"1      ."
"syntaxin binding";"0.333333333333333      .";"1      ."
"trace-amine receptor activity";"0.333333333333333      .";"1      ."
"transcription corepressor activity";"0.333333333333333      .";"1      ."
"transcription regulatory region sequence-specific DNA binding";"0.333333333333333      .";"1      ."
"transcription, DNA-templated";"0.333333333333333      .";"1      ."
"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding";"0.333333333333333      .";"1      ."
"U12-type spliceosomal complex";"0.333333333333333      .";"1      ."
"vasculogenesis";"0.333333333333333      .";"1      ."
"viral nucleocapsid";"0.333333333333333      .";"1      ."
"actin cytoskeleton organization";"0.388888888888889      .";"1      ."
"adenylate cyclase-modulating G-protein coupled receptor signaling pathway";"0.388888888888889      .";"1      ."
"adrenal gland development";"0.388888888888889      .";"1      ."
"ATP hydrolysis coupled cation transmembrane transport";"0.388888888888889      .";"1      ."
"ATPase activity";"0.388888888888889      .";"1      ."
"atrioventricular canal development";"0.388888888888889      .";"1      ."
"axon regeneration";"0.388888888888889      .";"1      ."
"basolateral plasma membrane";"0.388888888888889      .";"1      ."
"bicellular tight junction assembly";"0.388888888888889      .";"1      ."
"catalytic step 2 spliceosome";"0.388888888888889      .";"1      ."
"cell chemotaxis";"0.388888888888889      .";"1      ."
"cell cycle arrest";"0.388888888888889      .";"1      ."
"cell junction";"0.388888888888889      .";"1      ."
"cell recognition";"0.388888888888889      .";"1      ."
"cellular component organization";"0.388888888888889      .";"1      ."
"ceramide biosynthetic process";"0.388888888888889      .";"1      ."
"commitment complex";"0.388888888888889      .";"1      ."
"cytokine activity";"0.388888888888889      .";"1      ."
"defense response to Gram-positive bacterium";"0.388888888888889      .";"1      ."
"determination of heart left/right asymmetry";"0.388888888888889      .";"1      ."
"digestive tract morphogenesis";"0.388888888888889      .";"1      ."
"dopaminergic neuron differentiation";"0.388888888888889      .";"1      ."
"endonuclease activity";"0.388888888888889      .";"1      ."
"gastrulation with mouth forming second";"0.388888888888889      .";"1      ."
"germ cell migration";"0.388888888888889      .";"1      ."
"heart development";"0.388888888888889      .";"1      ."
"heart morphogenesis";"0.388888888888889      .";"1      ."
"ion transport";"0.388888888888889      .";"1      ."
"membrane attack complex";"0.388888888888889      .";"1      ."
"microtubule associated complex";"0.388888888888889      .";"1      ."
"mitotic sister chromatid cohesion";"0.388888888888889      .";"1      ."
"motile cilium";"0.388888888888889      .";"1      ."
"mRNA export from nucleus";"0.388888888888889      .";"1      ."
"negative regulation of transforming growth factor beta receptor signaling pathway";"0.388888888888889      .";"1      ."
"nuclear chromosome, telomeric region";"0.388888888888889      .";"1      ."
"nucleolus";"0.388888888888889      .";"1      ."
"PDZ domain binding";"0.388888888888889      .";"1      ."
"peptide binding";"0.388888888888889      .";"1      ."
"phospholipid-translocating ATPase activity";"0.388888888888889      .";"1      ."
"phospholipid binding";"0.388888888888889      .";"1      ."
"phospholipid translocation";"0.388888888888889      .";"1      ."
"positive regulation of cyclin-dependent protein serine/threonine kinase activity";"0.388888888888889      .";"1      ."
"potassium channel activity";"0.388888888888889      .";"1      ."
"potassium ion import";"0.388888888888889      .";"1      ."
"primitive erythrocyte differentiation";"0.388888888888889      .";"1      ."
"pronephric glomerulus development";"0.388888888888889      .";"1      ."
"protein kinase C activity";"0.388888888888889      .";"1      ."
"protein phosphatase type 2A complex";"0.388888888888889      .";"1      ."
"protein sumoylation";"0.388888888888889      .";"1      ."
"regulation of membrane potential";"0.388888888888889      .";"1      ."
"regulation of protein kinase activity";"0.388888888888889      .";"1      ."
"RNA-dependent DNA biosynthetic process";"0.388888888888889      .";"1      ."
"RNA-directed DNA polymerase activity";"0.388888888888889      .";"1      ."
"RNA methylation";"0.388888888888889      .";"1      ."
"RNA splicing";"0.388888888888889      .";"1      ."
"rRNA processing";"0.388888888888889      .";"1      ."
"scavenger receptor activity";"0.388888888888889      .";"1      ."
"synaptic vesicle";"0.388888888888889      .";"1      ."
"synaptic vesicle membrane";"0.388888888888889      .";"1      ."
"tachykinin receptor signaling pathway";"0.388888888888889      .";"1      ."
"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding";"0.388888888888889      .";"1      ."
"tRNA aminoacylation for protein translation";"0.388888888888889      .";"1      ."
"U2 snRNP";"0.388888888888889      .";"1      ."
"voltage-gated potassium channel activity";"0.388888888888889      .";"1      ."
"voltage-gated potassium channel complex";"0.388888888888889      .";"1      ."
"zinc ion binding";"0.388888888888889      .";"1      ."
"5'-nucleotidase activity";"0.444444444444445      .";"1      ."
"actin polymerization or depolymerization";"0.444444444444445      .";"1      ."
"activation of protein kinase activity";"0.444444444444445      .";"1      ."
"adenosine deaminase activity";"0.444444444444445      .";"1      ."
"adenylate cyclase-inhibiting serotonin receptor signaling pathway";"0.444444444444445      .";"1      ."
"amino acid transport";"0.444444444444445      .";"1      ."
"blood vessel development";"0.444444444444445      .";"1      ."
"calcium-transporting ATPase activity";"0.444444444444445      .";"1      ."
"cAMP biosynthetic process";"0.444444444444445      .";"1      ."
"cation transmembrane transport";"0.444444444444445      .";"1      ."
"cell-cell junction";"0.444444444444445      .";"1      ."
"cell projection organization";"0.444444444444445      .";"1      ."
"chemokine activity";"0.444444444444445      .";"1      ."
"chromatin silencing";"0.444444444444445      .";"1      ."
"cilium movement";"0.444444444444445      .";"1      ."
"DNA-directed RNA polymerase III complex";"0.444444444444445      .";"1      ."
"dynein light intermediate chain binding";"0.444444444444445      .";"1      ."
"endopeptidase inhibitor activity";"0.444444444444445      .";"1      ."
"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger";"0.444444444444445      .";"1      ."
"gastrulation";"0.444444444444445      .";"1      ."
"Golgi membrane";"0.444444444444445      .";"1      ."
"histone H3 deacetylation";"0.444444444444445      .";"1      ."
"integral component of membrane";"0.444444444444445      .";"1      ."
"integrin-mediated signaling pathway";"0.444444444444445      .";"1      ."
"intraciliary transport";"0.444444444444445      .";"1      ."
"left/right pattern formation";"0.444444444444445      .";"1      ."
"MAP kinase kinase kinase activity";"0.444444444444445      .";"1      ."
"membrane disruption in other organism";"0.444444444444445      .";"1      ."
"NAD-dependent histone deacetylase activity (H3-K14 specific)";"0.444444444444445      .";"1      ."
"neuronal cell body";"0.444444444444445      .";"1      ."
"nuclear-transcribed mRNA catabolic process";"0.444444444444445      .";"1      ."
"nucleoplasm";"0.444444444444445      .";"1      ."
"peptide catabolic process";"0.444444444444445      .";"1      ."
"peptidyl-serine phosphorylation";"0.444444444444445      .";"1      ."
"platelet activation";"0.444444444444445      .";"1      ."
"positive regulation of angiogenesis";"0.444444444444445      .";"1      ."
"potassium ion leak channel activity";"0.444444444444445      .";"1      ."
"proteasome-mediated ubiquitin-dependent protein catabolic process";"0.444444444444445      .";"1      ."
"protein binding, bridging";"0.444444444444445      .";"1      ."
"protein glycosylation";"0.444444444444445      .";"1      ."
"protein phosphatase inhibitor activity";"0.444444444444445      .";"1      ."
"receptor-mediated endocytosis";"0.444444444444445      .";"1      ."
"reciprocal meiotic recombination";"0.444444444444445      .";"1      ."
"release of sequestered calcium ion into cytosol";"0.444444444444445      .";"1      ."
"retinol metabolic process";"0.444444444444445      .";"1      ."
"Rho protein signal transduction";"0.444444444444445      .";"1      ."
"RNA polymerase III activity";"0.444444444444445      .";"1      ."
"RNA secondary structure unwinding";"0.444444444444445      .";"1      ."
"serotonin binding";"0.444444444444445      .";"1      ."
"small-subunit processome";"0.444444444444445      .";"1      ."
"spliceosomal complex assembly";"0.444444444444445      .";"1      ."
"spliceosomal snRNP assembly";"0.444444444444445      .";"1      ."
"thiolester hydrolase activity";"0.444444444444445      .";"1      ."
"transcription from RNA polymerase I promoter";"0.444444444444445      .";"1      ."
"transmission of nerve impulse";"0.444444444444445      .";"1      ."
"vascular endothelial growth factor receptor signaling pathway";"0.444444444444445      .";"1      ."
"vasculature development";"0.444444444444445      .";"1      ."
"acetylcholine-gated cation-selective channel activity";"0.5      .";"1      ."
"acetylglucosaminyltransferase activity";"0.5      .";"1      ."
"actin filament binding";"0.5      .";"1      ."
"activation of MAPKK activity";"0.5      .";"1      ."
"aminoacyl-tRNA ligase activity";"0.5      .";"1      ."
"ATP binding";"0.5      .";"1      ."
"blood coagulation";"0.5      .";"1      ."
"calcium-activated potassium channel activity";"0.5      .";"1      ."
"cardiac muscle cell differentiation";"0.5      .";"1      ."
"cellular response to estrogen stimulus";"0.5      .";"1      ."
"cullin-RING ubiquitin ligase complex";"0.5      .";"1      ."
"DNA-directed RNA polymerase I complex";"0.5      .";"1      ."
"DNA integration";"0.5      .";"1      ."
"embryonic heart tube development";"0.5      .";"1      ."
"endodeoxyribonuclease activity";"0.5      .";"1      ."
"endoplasmic reticulum";"0.5      .";"1      ."
"fatty acid elongation, polyunsaturated fatty acid";"0.5      .";"1      ."
"fructose 6-phosphate metabolic process";"0.5      .";"1      ."
"hematopoietic stem cell differentiation";"0.5      .";"1      ."
"membrane";"0.5      .";"1      ."
"membrane fusion";"0.5      .";"1      ."
"mitochondrial fission";"0.5      .";"1      ."
"mRNA 3'-UTR binding";"0.5      .";"1      ."
"muscle contraction";"0.5      .";"1      ."
"N-acetyltransferase activity";"0.5      .";"1      ."
"negative regulation of catalytic activity";"0.5      .";"1      ."
"negative regulation of nucleic acid-templated transcription";"0.5      .";"1      ."
"neuropeptide binding";"0.5      .";"1      ."
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay";"0.5      .";"1      ."
"nucleotide binding";"0.5      .";"1      ."
"oligosaccharide metabolic process";"0.5      .";"1      ."
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";"0.5      .";"1      ."
"phosphatidylinositol 3-kinase complex";"0.5      .";"1      ."
"protein-cysteine S-palmitoyltransferase activity";"0.5      .";"1      ."
"protein folding";"0.5      .";"1      ."
"protein kinase inhibitor activity";"0.5      .";"1      ."
"regulation of ARF protein signal transduction";"0.5      .";"1      ."
"regulation of signal transduction";"0.5      .";"1      ."
"response to ionizing radiation";"0.5      .";"1      ."
"ribosome biogenesis";"0.5      .";"1      ."
"RNA phosphodiester bond hydrolysis";"0.5      .";"1      ."
"RNA polymerase I activity";"0.5      .";"1      ."
"RNA polymerase II transcription factor binding";"0.5      .";"1      ."
"serine-type carboxypeptidase activity";"0.5      .";"1      ."
"snoRNA binding";"0.5      .";"1      ."
"solute:proton antiporter activity";"0.5      .";"1      ."
"stabilization of membrane potential";"0.5      .";"1      ."
"transaminase activity";"0.5      .";"1      ."
"tRNA methylation";"0.5      .";"1      ."
"vesicle fusion";"0.5      .";"1      ."
"acetylcholine-gated channel complex";"0.555555555555555      .";"1      ."
"actin filament organization";"0.555555555555555      .";"1      ."
"ammonium transmembrane transport";"0.555555555555555      .";"1      ."
"anion transmembrane transport";"0.555555555555555      .";"1      ."
"ATPase activity, coupled to transmembrane movement of substances";"0.555555555555555      .";"1      ."
"bicarbonate transport";"0.555555555555555      .";"1      ."
"calcium-dependent phospholipid binding";"0.555555555555555      .";"1      ."
"carboxy-lyase activity";"0.555555555555555      .";"1      ."
"cation transport";"0.555555555555555      .";"1      ."
"cation:chloride symporter activity";"0.555555555555555      .";"1      ."
"cellular lipid metabolic process";"0.555555555555555      .";"1      ."
"chloride transport";"0.555555555555555      .";"1      ."
"clathrin-coated pit";"0.555555555555555      .";"1      ."
"cytoplasmic vesicle membrane";"0.555555555555555      .";"1      ."
"DNA damage checkpoint";"0.555555555555555      .";"1      ."
"double-strand break repair via homologous recombination";"0.555555555555555      .";"1      ."
"enzyme regulator activity";"0.555555555555555      .";"1      ."
"erythrocyte differentiation";"0.555555555555555      .";"1      ."
"FMN binding";"0.555555555555555      .";"1      ."
"fructose metabolic process";"0.555555555555555      .";"1      ."
"G-protein coupled serotonin receptor activity";"0.555555555555555      .";"1      ."
"galactosyltransferase activity";"0.555555555555555      .";"1      ."
"glucuronosyltransferase activity";"0.555555555555555      .";"1      ."
"hemoglobin complex";"0.555555555555555      .";"1      ."
"integral component of mitochondrial outer membrane";"0.555555555555555      .";"1      ."
"intracellular signal transduction";"0.555555555555555      .";"1      ."
"lipid transporter activity";"0.555555555555555      .";"1      ."
"lymph vessel development";"0.555555555555555      .";"1      ."
"mesoderm formation";"0.555555555555555      .";"1      ."
"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";"0.555555555555555      .";"1      ."
"mitochondrion organization";"0.555555555555555      .";"1      ."
"motor activity";"0.555555555555555      .";"1      ."
"neurotransmitter receptor activity";"0.555555555555555      .";"1      ."
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen";"0.555555555555555      .";"1      ."
"oxygen binding";"0.555555555555555      .";"1      ."
"oxygen transport";"0.555555555555555      .";"1      ."
"oxygen transporter activity";"0.555555555555555      .";"1      ."
"peptide cross-linking";"0.555555555555555      .";"1      ."
"positive regulation of signal transduction";"0.555555555555555      .";"1      ."
"presynaptic membrane";"0.555555555555555      .";"1      ."
"proteasome assembly";"0.555555555555555      .";"1      ."
"protein-glutamine gamma-glutamyltransferase activity";"0.555555555555555      .";"1      ."
"protein autophosphorylation";"0.555555555555555      .";"1      ."
"protein domain specific binding";"0.555555555555555      .";"1      ."
"protein import into mitochondrial matrix";"0.555555555555555      .";"1      ."
"protein serine/threonine phosphatase activity";"0.555555555555555      .";"1      ."
"proton-transporting ATP synthase activity, rotational mechanism";"0.555555555555555      .";"1      ."
"response to hypoxia";"0.555555555555555      .";"1      ."
"response to nicotine";"0.555555555555555      .";"1      ."
"response to peptide";"0.555555555555555      .";"1      ."
"ribosomal large subunit biogenesis";"0.555555555555555      .";"1      ."
"RNA polymerase II transcription coactivator activity";"0.555555555555555      .";"1      ."
"stress-activated protein kinase signaling cascade";"0.555555555555555      .";"1      ."
"transferase activity, transferring hexosyl groups";"0.555555555555555      .";"1      ."
"type B pancreatic cell development";"0.555555555555555      .";"1      ."
"ubiquitin protein ligase binding";"0.555555555555555      .";"1      ."
"urea transmembrane transport";"0.555555555555555      .";"1      ."
"urea transmembrane transporter activity";"0.555555555555555      .";"1      ."
"'de novo' protein folding";"0.611111111111111      .";"1      ."
"3-oxo-arachidoyl-CoA synthase activity";"0.611111111111111      .";"1      ."
"3-oxo-cerotoyl-CoA synthase activity";"0.611111111111111      .";"1      ."
"3-oxo-lignoceronyl-CoA synthase activity";"0.611111111111111      .";"1      ."
"acetylcholine binding";"0.611111111111111      .";"1      ."
"actin binding";"0.611111111111111      .";"1      ."
"actin cytoskeleton";"0.611111111111111      .";"1      ."
"acyl-CoA dehydrogenase activity";"0.611111111111111      .";"1      ."
"apoptotic process";"0.611111111111111      .";"1      ."
"ARF guanyl-nucleotide exchange factor activity";"0.611111111111111      .";"1      ."
"aromatic amino acid family metabolic process";"0.611111111111111      .";"1      ."
"ATP-dependent microtubule motor activity, minus-end-directed";"0.611111111111111      .";"1      ."
"ATP synthesis coupled proton transport";"0.611111111111111      .";"1      ."
"calcium ion transport";"0.611111111111111      .";"1      ."
"carbohydrate biosynthetic process";"0.611111111111111      .";"1      ."
"carboxylic acid metabolic process";"0.611111111111111      .";"1      ."
"cellular amino acid biosynthetic process";"0.611111111111111      .";"1      ."
"cellular amino acid metabolic process";"0.611111111111111      .";"1      ."
"cellular response to interleukin-1";"0.611111111111111      .";"1      ."
"cellular response to xenobiotic stimulus";"0.611111111111111      .";"1      ."
"cholesterol transporter activity";"0.611111111111111      .";"1      ."
"chromosome, telomeric region";"0.611111111111111      .";"1      ."
"chylomicron";"0.611111111111111      .";"1      ."
"circadian regulation of gene expression";"0.611111111111111      .";"1      ."
"cysteine-type endopeptidase inhibitor activity";"0.611111111111111      .";"1      ."
"cytoplasmic translation";"0.611111111111111      .";"1      ."
"dephosphorylation";"0.611111111111111      .";"1      ."
"DNA topological change";"0.611111111111111      .";"1      ."
"double-stranded DNA binding";"0.611111111111111      .";"1      ."
"double-stranded RNA binding";"0.611111111111111      .";"1      ."
"epiboly involved in gastrulation with mouth forming second";"0.611111111111111      .";"1      ."
"eukaryotic 48S preinitiation complex";"0.611111111111111      .";"1      ."
"execution phase of apoptosis";"0.611111111111111      .";"1      ."
"fatty acid beta-oxidation";"0.611111111111111      .";"1      ."
"fatty acid elongase activity";"0.611111111111111      .";"1      ."
"fatty acid elongation, monounsaturated fatty acid";"0.611111111111111      .";"1      ."
"fatty acid elongation, saturated fatty acid";"0.611111111111111      .";"1      ."
"G-protein coupled receptor binding";"0.611111111111111      .";"1      ."
"G-protein coupled serotonin receptor signaling pathway";"0.611111111111111      .";"1      ."
"glucose homeostasis";"0.611111111111111      .";"1      ."
"glutathione transferase activity";"0.611111111111111      .";"1      ."
"heat shock protein binding";"0.611111111111111      .";"1      ."
"hemopoiesis";"0.611111111111111      .";"1      ."
"high-density lipoprotein particle";"0.611111111111111      .";"1      ."
