"gene set";"p-value";"fdr"
"lamellipodium";"0.235294117647059      .";"1      ."
"late endosome";"0.235294117647059      .";"1      ."
"late endosome membrane";"0.235294117647059      .";"1      ."
"lipid catabolic process";"0.235294117647059      .";"1      ."
"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity";"0.235294117647059      .";"1      ."
"mitochondrial inner membrane";"0.235294117647059      .";"1      ."
"mitochondrial outer membrane";"0.235294117647059      .";"1      ."
"modulation of synaptic transmission";"0.235294117647059      .";"1      ."
"negative regulation of adenylate cyclase activity";"0.235294117647059      .";"1      ."
"nucleophagy";"0.235294117647059      .";"1      ."
"nucleoside diphosphate kinase activity";"0.235294117647059      .";"1      ."
"nucleoside diphosphate phosphorylation";"0.235294117647059      .";"1      ."
"peptidase activity";"0.235294117647059      .";"1      ."
"peptidyl-tyrosine autophosphorylation";"0.235294117647059      .";"1      ."
"photoreceptor activity";"0.235294117647059      .";"1      ."
"positive regulation of protein ubiquitination";"0.235294117647059      .";"1      ."
"potassium ion import";"0.235294117647059      .";"1      ."
"protein homodimerization activity";"0.235294117647059      .";"1      ."
"protein kinase binding";"0.235294117647059      .";"1      ."
"protein transport";"0.235294117647059      .";"1      ."
"regulation of blood pressure";"0.235294117647059      .";"1      ."
"regulation of pH";"0.235294117647059      .";"1      ."
"respiratory chain";"0.235294117647059      .";"1      ."
"response to cadmium ion";"0.235294117647059      .";"1      ."
"response to stress";"0.235294117647059      .";"1      ."
"response to toxic substance";"0.235294117647059      .";"1      ."
"S-adenosylmethionine-dependent methyltransferase activity";"0.235294117647059      .";"1      ."
"serine-type carboxypeptidase activity";"0.235294117647059      .";"1      ."
"SNAP receptor activity";"0.235294117647059      .";"1      ."
"SNARE complex";"0.235294117647059      .";"1      ."
"sodium channel regulator activity";"0.235294117647059      .";"1      ."
"spermatogenesis";"0.235294117647059      .";"1      ."
"sphingolipid biosynthetic process";"0.235294117647059      .";"1      ."
"striated muscle myosin thick filament assembly";"0.235294117647059      .";"1      ."
"transferase activity, transferring glycosyl groups";"0.235294117647059      .";"1      ."
"ubiquinone biosynthetic process";"0.235294117647059      .";"1      ."
"vacuolar transport";"0.235294117647059      .";"1      ."
"vesicle organization";"0.235294117647059      .";"1      ."
"Z disc";"0.235294117647059      .";"1      ."
"actin cytoskeleton reorganization";"0.274509803921569      .";"1      ."
"adenosine deaminase activity";"0.274509803921569      .";"1      ."
"ARF guanyl-nucleotide exchange factor activity";"0.274509803921569      .";"1      ."
"biological_process";"0.274509803921569      .";"1      ."
"caveola";"0.274509803921569      .";"1      ."
"cell";"0.274509803921569      .";"1      ."
"cellular iron ion homeostasis";"0.274509803921569      .";"1      ."
"cellular protein modification process";"0.274509803921569      .";"1      ."
"cytochrome-c oxidase activity";"0.274509803921569      .";"1      ."
"cytoskeleton-dependent intracellular transport";"0.274509803921569      .";"1      ."
"DNA-directed RNA polymerase II, core complex";"0.274509803921569      .";"1      ."
"DNA damage checkpoint";"0.274509803921569      .";"1      ."
"G-protein beta/gamma-subunit complex binding";"0.274509803921569      .";"1      ."
"G-protein coupled peptide receptor activity";"0.274509803921569      .";"1      ."
"guanyl nucleotide binding";"0.274509803921569      .";"1      ."
"integrin-mediated signaling pathway";"0.274509803921569      .";"1      ."
"lysosomal membrane";"0.274509803921569      .";"1      ."
"MAP kinase kinase kinase kinase activity";"0.274509803921569      .";"1      ."
"melanosome";"0.274509803921569      .";"1      ."
"methylation";"0.274509803921569      .";"1      ."
"mitochondrial electron transport, cytochrome c to oxygen";"0.274509803921569      .";"1      ."
"mitochondrial respiratory chain complex I";"0.274509803921569      .";"1      ."
"mitochondrial respiratory chain complex IV";"0.274509803921569      .";"1      ."
"multicellular organismal response to stress";"0.274509803921569      .";"1      ."
"MyD88-dependent toll-like receptor signaling pathway";"0.274509803921569      .";"1      ."
"NADH dehydrogenase (ubiquinone) activity";"0.274509803921569      .";"1      ."
"neurotransmitter:sodium symporter activity";"0.274509803921569      .";"1      ."
"nuclear chromosome, telomeric region";"0.274509803921569      .";"1      ."
"nucleoside metabolic process";"0.274509803921569      .";"1      ."
"phosphatidylinositol-4,5-bisphosphate binding";"0.274509803921569      .";"1      ."
"proton-transporting V-type ATPase, V1 domain";"0.274509803921569      .";"1      ."
"regulation of autophagy";"0.274509803921569      .";"1      ."
"regulation of catalytic activity";"0.274509803921569      .";"1      ."
"response to xenobiotic stimulus";"0.274509803921569      .";"1      ."
"serine-type endopeptidase activity";"0.274509803921569      .";"1      ."
"store-operated calcium channel activity";"0.274509803921569      .";"1      ."
"striated muscle contraction";"0.274509803921569      .";"1      ."
"symporter activity";"0.274509803921569      .";"1      ."
"transcription from RNA polymerase I promoter";"0.274509803921569      .";"1      ."
"ubiquitin ligase complex";"0.274509803921569      .";"1      ."
"unfolded protein binding";"0.274509803921569      .";"1      ."
"vesicle docking";"0.274509803921569      .";"1      ."
"antioxidant activity";"0.320261437908497      .";"1      ."
"ATP hydrolysis coupled proton transport";"0.320261437908497      .";"1      ."
"bicarbonate transport";"0.320261437908497      .";"1      ."
"carboxylic ester hydrolase activity";"0.320261437908497      .";"1      ."
"cellular response to hormone stimulus";"0.320261437908497      .";"1      ."
"ceramide biosynthetic process";"0.320261437908497      .";"1      ."
"chondrocyte differentiation";"0.320261437908497      .";"1      ."
"dorsal convergence";"0.320261437908497      .";"1      ."
"endosome membrane";"0.320261437908497      .";"1      ."
"execution phase of apoptosis";"0.320261437908497      .";"1      ."
"G-protein coupled acetylcholine receptor activity";"0.320261437908497      .";"1      ."
"G-protein coupled photoreceptor activity";"0.320261437908497      .";"1      ."
"GTPase activity";"0.320261437908497      .";"1      ."
"GTPase regulator activity";"0.320261437908497      .";"1      ."
"hemoglobin biosynthetic process";"0.320261437908497      .";"1      ."
"inactivation of MAPK activity";"0.320261437908497      .";"1      ."
"innate immune response";"0.320261437908497      .";"1      ."
"intrinsic component of the cytoplasmic side of the plasma membrane";"0.320261437908497      .";"1      ."
"iron ion transport";"0.320261437908497      .";"1      ."
"MAPK cascade";"0.320261437908497      .";"1      ."
"melanosome transport";"0.320261437908497      .";"1      ."
"mitochondrial electron transport, NADH to ubiquinone";"0.320261437908497      .";"1      ."
"mitochondrial large ribosomal subunit";"0.320261437908497      .";"1      ."
"molecular_function";"0.320261437908497      .";"1      ."
"mRNA 3'-UTR binding";"0.320261437908497      .";"1      ."
"negative regulation of JAK-STAT cascade";"0.320261437908497      .";"1      ."
"nuclease activity";"0.320261437908497      .";"1      ."
"peptide catabolic process";"0.320261437908497      .";"1      ."
"phosphatase activity";"0.320261437908497      .";"1      ."
"phosphatidylinositol phosphorylation";"0.320261437908497      .";"1      ."
"positive regulation of apoptotic process";"0.320261437908497      .";"1      ."
"positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway";"0.320261437908497      .";"1      ."
"positive regulation of Rho protein signal transduction";"0.320261437908497      .";"1      ."
"presynaptic membrane";"0.320261437908497      .";"1      ."
"protein disulfide oxidoreductase activity";"0.320261437908497      .";"1      ."
"protein kinase inhibitor activity";"0.320261437908497      .";"1      ."
"protein transporter activity";"0.320261437908497      .";"1      ."
"protein ubiquitination";"0.320261437908497      .";"1      ."
"proton-transporting ATPase activity, rotational mechanism";"0.320261437908497      .";"1      ."
"receptor binding";"0.320261437908497      .";"1      ."
"regulation of cell growth";"0.320261437908497      .";"1      ."
"regulation of cytosolic calcium ion concentration";"0.320261437908497      .";"1      ."
"regulation of exocytosis";"0.320261437908497      .";"1      ."
"regulation of intracellular pH";"0.320261437908497      .";"1      ."
"regulation of mitotic nuclear division";"0.320261437908497      .";"1      ."
"response to stimulus";"0.320261437908497      .";"1      ."
"RNA phosphodiester bond hydrolysis, endonucleolytic";"0.320261437908497      .";"1      ."
"sarcomere organization";"0.320261437908497      .";"1      ."
"structural constituent of eye lens";"0.320261437908497      .";"1      ."
"structural constituent of muscle";"0.320261437908497      .";"1      ."
"synapse organization";"0.320261437908497      .";"1      ."
"thiol-dependent ubiquitin-specific protease activity";"0.320261437908497      .";"1      ."
"transcription regulatory region sequence-specific DNA binding";"0.320261437908497      .";"1      ."
"transferase activity";"0.320261437908497      .";"1      ."
"translational elongation";"0.320261437908497      .";"1      ."
"tRNA aminoacylation for protein translation";"0.320261437908497      .";"1      ."
"tRNA methylation";"0.320261437908497      .";"1      ."
"voltage-gated chloride channel activity";"0.320261437908497      .";"1      ."
"2 iron, 2 sulfur cluster binding";"0.366013071895425      .";"1      ."
"actin cytoskeleton organization";"0.366013071895425      .";"1      ."
"activation of MAPKK activity";"0.366013071895425      .";"1      ."
"aminoacyl-tRNA editing activity";"0.366013071895425      .";"1      ."
"calcium-transporting ATPase activity";"0.366013071895425      .";"1      ."
"cAMP biosynthetic process";"0.366013071895425      .";"1      ."
"cellular calcium ion homeostasis";"0.366013071895425      .";"1      ."
"channel regulator activity";"0.366013071895425      .";"1      ."
"cysteine-type endopeptidase activity involved in execution phase of apoptosis";"0.366013071895425      .";"1      ."
"DNA-directed RNA polymerase I complex";"0.366013071895425      .";"1      ."
"endoderm formation";"0.366013071895425      .";"1      ."
"excitatory postsynaptic potential";"0.366013071895425      .";"1      ."
"extrinsic apoptotic signaling pathway in absence of ligand";"0.366013071895425      .";"1      ."
"heart contraction";"0.366013071895425      .";"1      ."
"hormone activity";"0.366013071895425      .";"1      ."
"integral component of Golgi membrane";"0.366013071895425      .";"1      ."
"MAP kinase kinase kinase activity";"0.366013071895425      .";"1      ."
"motor activity";"0.366013071895425      .";"1      ."
"muscle structure development";"0.366013071895425      .";"1      ."
"negative regulation of protein serine/threonine kinase activity";"0.366013071895425      .";"1      ."
"neuronal cell body";"0.366013071895425      .";"1      ."
"neuropeptide Y receptor activity";"0.366013071895425      .";"1      ."
"nucleobase-containing compound metabolic process";"0.366013071895425      .";"1      ."
"nucleoplasm";"0.366013071895425      .";"1      ."
"nucleotide metabolic process";"0.366013071895425      .";"1      ."
"photoreceptor outer segment";"0.366013071895425      .";"1      ."
"positive regulation of GTPase activity";"0.366013071895425      .";"1      ."
"preribosome, large subunit precursor";"0.366013071895425      .";"1      ."
"protein import into mitochondrial matrix";"0.366013071895425      .";"1      ."
"receptor activity";"0.366013071895425      .";"1      ."
"regulation of AMPA receptor activity";"0.366013071895425      .";"1      ."
"regulation of ion transmembrane transport";"0.366013071895425      .";"1      ."
"regulation of synaptic transmission, glutamatergic";"0.366013071895425      .";"1      ."
"ribosomal large subunit biogenesis";"0.366013071895425      .";"1      ."
"RNA polymerase I activity";"0.366013071895425      .";"1      ."
"SH3/SH2 adaptor activity";"0.366013071895425      .";"1      ."
"sulfuric ester hydrolase activity";"0.366013071895425      .";"1      ."
"transmission of nerve impulse";"0.366013071895425      .";"1      ."
"ubiquitin-dependent ERAD pathway";"0.366013071895425      .";"1      ."
"voltage-gated ion channel activity";"0.366013071895425      .";"1      ."
"'de novo' protein folding";"0.418300653594771      .";"1      ."
"3-oxo-arachidoyl-CoA synthase activity";"0.418300653594771      .";"1      ."
"3-oxo-cerotoyl-CoA synthase activity";"0.418300653594771      .";"1      ."
"3-oxo-lignoceronyl-CoA synthase activity";"0.418300653594771      .";"1      ."
"actin cytoskeleton";"0.418300653594771      .";"1      ."
"actin filament";"0.418300653594771      .";"1      ."
"anion transmembrane transport";"0.418300653594771      .";"1      ."
"ATP binding";"0.418300653594771      .";"1      ."
"basolateral plasma membrane";"0.418300653594771      .";"1      ."
"calcium ion transport";"0.418300653594771      .";"1      ."
"carbohydrate biosynthetic process";"0.418300653594771      .";"1      ."
"cellular glucose homeostasis";"0.418300653594771      .";"1      ."
"cellular response to oxidative stress";"0.418300653594771      .";"1      ."
"cGMP biosynthetic process";"0.418300653594771      .";"1      ."
"chaperone binding";"0.418300653594771      .";"1      ."
"cyclic nucleotide biosynthetic process";"0.418300653594771      .";"1      ."
"cytoskeletal protein binding";"0.418300653594771      .";"1      ."
"developmental growth";"0.418300653594771      .";"1      ."
"endonuclease activity";"0.418300653594771      .";"1      ."
"enzyme regulator activity";"0.418300653594771      .";"1      ."
"epiboly";"0.418300653594771      .";"1      ."
"fatty acid elongase activity";"0.418300653594771      .";"1      ."
"fatty acid elongation, monounsaturated fatty acid";"0.418300653594771      .";"1      ."
"fatty acid elongation, saturated fatty acid";"0.418300653594771      .";"1      ."
"focal adhesion";"0.418300653594771      .";"1      ."
"glutamate receptor activity";"0.418300653594771      .";"1      ."
"GPI anchor biosynthetic process";"0.418300653594771      .";"1      ."
"guanylate cyclase activity";"0.418300653594771      .";"1      ."
"guanylate cyclase complex, soluble";"0.418300653594771      .";"1      ."
"heat shock protein binding";"0.418300653594771      .";"1      ."
"hematopoietic stem cell differentiation";"0.418300653594771      .";"1      ."
"inorganic anion exchanger activity";"0.418300653594771      .";"1      ."
"insulin-like growth factor binding";"0.418300653594771      .";"1      ."
"integral component of membrane";"0.418300653594771      .";"1      ."
"ion transmembrane transport";"0.418300653594771      .";"1      ."
"ligand-dependent nuclear receptor transcription coactivator activity";"0.418300653594771      .";"1      ."
"MAP kinase tyrosine/serine/threonine phosphatase activity";"0.418300653594771      .";"1      ."
"membrane";"0.418300653594771      .";"1      ."
"microtubule associated complex";"0.418300653594771      .";"1      ."
"mitochondrial small ribosomal subunit";"0.418300653594771      .";"1      ."
"neurotransmitter transport";"0.418300653594771      .";"1      ."
"nucleic acid phosphodiester bond hydrolysis";"0.418300653594771      .";"1      ."
"PDZ domain binding";"0.418300653594771      .";"1      ."
"phosphorus-oxygen lyase activity";"0.418300653594771      .";"1      ."
"phototransduction";"0.418300653594771      .";"1      ."
"positive regulation of signal transduction";"0.418300653594771      .";"1      ."
"protein-cysteine S-palmitoyltransferase activity";"0.418300653594771      .";"1      ."
"protein binding involved in protein folding";"0.418300653594771      .";"1      ."
"protein O-linked mannosylation";"0.418300653594771      .";"1      ."
"regulation of actin filament polymerization";"0.418300653594771      .";"1      ."
"regulation of heart rate";"0.418300653594771      .";"1      ."
"response to mechanical stimulus";"0.418300653594771      .";"1      ."
"ribosome";"0.418300653594771      .";"1      ."
"ribosome biogenesis";"0.418300653594771      .";"1      ."
"RNA polymerase III activity";"0.418300653594771      .";"1      ."
"signal transduction";"0.418300653594771      .";"1      ."
"structural constituent of ribosome";"0.418300653594771      .";"1      ."
"translation";"0.418300653594771      .";"1      ."
"tRNA processing";"0.418300653594771      .";"1      ."
"actin filament binding";"0.470588235294118      .";"1      ."
"Arp2/3 complex-mediated actin nucleation";"0.470588235294118      .";"1      ."
"Arp2/3 protein complex";"0.470588235294118      .";"1      ."
"ATPase activity";"0.470588235294118      .";"1      ."
"calcium-dependent phospholipid binding";"0.470588235294118      .";"1      ."
"calcium ion homeostasis";"0.470588235294118      .";"1      ."
"chaperone-mediated protein folding";"0.470588235294118      .";"1      ."
"cytosolic small ribosomal subunit";"0.470588235294118      .";"1      ."
"endocytic recycling";"0.470588235294118      .";"1      ."
"erythrocyte maturation";"0.470588235294118      .";"1      ."
"establishment of mitotic spindle orientation";"0.470588235294118      .";"1      ."
"G-protein coupled receptor signaling pathway";"0.470588235294118      .";"1      ."
"glucose homeostasis";"0.470588235294118      .";"1      ."
"integral component of mitochondrial outer membrane";"0.470588235294118      .";"1      ."
"inward rectifier potassium channel activity";"0.470588235294118      .";"1      ."
"ion channel activity";"0.470588235294118      .";"1      ."
"ion channel binding";"0.470588235294118      .";"1      ."
"ion transport";"0.470588235294118      .";"1      ."
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)";"0.470588235294118      .";"1      ."
"methyltransferase activity";"0.470588235294118      .";"1      ."
"mitochondrial fusion";"0.470588235294118      .";"1      ."
"muscle cell development";"0.470588235294118      .";"1      ."
"myofibril assembly";"0.470588235294118      .";"1      ."
"negative regulation of catalytic activity";"0.470588235294118      .";"1      ."
"negative regulation of Ras protein signal transduction";"0.470588235294118      .";"1      ."
"negative regulation of transcription from RNA polymerase II promoter";"0.470588235294118      .";"1      ."
"neuropeptide signaling pathway";"0.470588235294118      .";"1      ."
"nucleotide binding";"0.470588235294118      .";"1      ."
"oligodendrocyte development";"0.470588235294118      .";"1      ."
"ossification";"0.470588235294118      .";"1      ."
"phosphatidate phosphatase activity";"0.470588235294118      .";"1      ."
"phospholipase A2 activity";"0.470588235294118      .";"1      ."
"postsynaptic density";"0.470588235294118      .";"1      ."
"potassium ion transport";"0.470588235294118      .";"1      ."
"presynaptic active zone";"0.470588235294118      .";"1      ."
"protein K63-linked deubiquitination";"0.470588235294118      .";"1      ."
"regulation of anion transmembrane transport";"0.470588235294118      .";"1      ."
"regulation of apoptotic process";"0.470588235294118      .";"1      ."
"regulation of ARF protein signal transduction";"0.470588235294118      .";"1      ."
"regulation of cell shape";"0.470588235294118      .";"1      ."
"regulation of translation";"0.470588235294118      .";"1      ."
"ribosomal small subunit assembly";"0.470588235294118      .";"1      ."
"sensory perception of smell";"0.470588235294118      .";"1      ."
"sodium:bicarbonate symporter activity";"0.470588235294118      .";"1      ."
"sugar:proton symporter activity";"0.470588235294118      .";"1      ."
"thigmotaxis";"0.470588235294118      .";"1      ."
"tubulin binding";"0.470588235294118      .";"1      ."
"vasoconstriction";"0.470588235294118      .";"1      ."
"voltage-gated calcium channel activity";"0.470588235294118      .";"1      ."
"1-phosphatidylinositol-3-kinase activity";"0.529411764705882      .";"1      ."
"3'-5' exonuclease activity";"0.529411764705882      .";"1      ."
"3',5'-cyclic-nucleotide phosphodiesterase activity";"0.529411764705882      .";"1      ."
"anion transport";"0.529411764705882      .";"1      ."
"ATP-dependent RNA helicase activity";"0.529411764705882      .";"1      ."
"calcium ion-regulated exocytosis of neurotransmitter";"0.529411764705882      .";"1      ."
"camera-type eye development";"0.529411764705882      .";"1      ."
"cation:chloride symporter activity";"0.529411764705882      .";"1      ."
"cell adhesion molecule binding";"0.529411764705882      .";"1      ."
"chromosome, telomeric region";"0.529411764705882      .";"1      ."
"CTP biosynthetic process";"0.529411764705882      .";"1      ."
"fatty acid elongation, polyunsaturated fatty acid";"0.529411764705882      .";"1      ."
"guanyl-nucleotide exchange factor activity";"0.529411764705882      .";"1      ."
"helicase activity";"0.529411764705882      .";"1      ."
"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules";"0.529411764705882      .";"1      ."
"heterotrimeric G-protein complex";"0.529411764705882      .";"1      ."
"histone deacetylase complex";"0.529411764705882      .";"1      ."
"histone H3 deacetylation";"0.529411764705882      .";"1      ."
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides";"0.529411764705882      .";"1      ."
"intrahepatic bile duct development";"0.529411764705882      .";"1      ."
"intrinsic apoptotic signaling pathway by p53 class mediator";"0.529411764705882      .";"1      ."
"iron-sulfur cluster assembly";"0.529411764705882      .";"1      ."
"larval locomotory behavior";"0.529411764705882      .";"1      ."
"maturation of SSU-rRNA";"0.529411764705882      .";"1      ."
"mitochondrial translation";"0.529411764705882      .";"1      ."
"myeloid cell differentiation";"0.529411764705882      .";"1      ."
"NAD-dependent histone deacetylase activity (H3-K14 specific)";"0.529411764705882      .";"1      ."
"negative regulation of Notch signaling pathway";"0.529411764705882      .";"1      ."
"P granule";"0.529411764705882      .";"1      ."
"peptide metabolic process";"0.529411764705882      .";"1      ."
"peptidyl-tyrosine dephosphorylation";"0.529411764705882      .";"1      ."
"peripheral nervous system development";"0.529411764705882      .";"1      ."
"phospholipid metabolic process";"0.529411764705882      .";"1      ."
"positive regulation of transcription, DNA-templated";"0.529411764705882      .";"1      ."
"presynapse";"0.529411764705882      .";"1      ."
"protein ADP-ribosylation";"0.529411764705882      .";"1      ."
"protein homooligomerization";"0.529411764705882      .";"1      ."
"protein N-linked glycosylation";"0.529411764705882      .";"1      ."
"protein tyrosine phosphatase activity";"0.529411764705882      .";"1      ."
"regeneration";"0.529411764705882      .";"1      ."
"regulation of gene expression";"0.529411764705882      .";"1      ."
"regulation of mitotic cell cycle";"0.529411764705882      .";"1      ."
"response to heat";"0.529411764705882      .";"1      ."
"retrograde vesicle-mediated transport, Golgi to ER";"0.529411764705882      .";"1      ."
"ribosome binding";"0.529411764705882      .";"1      ."
"rRNA processing";"0.529411764705882      .";"1      ."
"SH3 domain binding";"0.529411764705882      .";"1      ."
"synapse";"0.529411764705882      .";"1      ."
"syntaxin binding";"0.529411764705882      .";"1      ."
"thiolester hydrolase activity";"0.529411764705882      .";"1      ."
"translational initiation";"0.529411764705882      .";"1      ."
"tRNA aminoacylation";"0.529411764705882      .";"1      ."
"tRNA binding";"0.529411764705882      .";"1      ."
"ubiquitin protein ligase activity";"0.529411764705882      .";"1      ."
"visual perception";"0.529411764705882      .";"1      ."
"acrosin binding";"0.581699346405229      .";"1      ."
"adenylate cyclase-modulating G-protein coupled receptor signaling pathway";"0.581699346405229      .";"1      ."
"AMPA glutamate receptor complex";"0.581699346405229      .";"1      ."
"binding of sperm to zona pellucida";"0.581699346405229      .";"1      ."
"calcium channel activity";"0.581699346405229      .";"1      ."
"calcium channel regulator activity";"0.581699346405229      .";"1      ."
"clathrin-coated vesicle";"0.581699346405229      .";"1      ."
"deaminase activity";"0.581699346405229      .";"1      ."
"DNA metabolic process";"0.581699346405229      .";"1      ."
"egg coat formation";"0.581699346405229      .";"1      ."
"ER membrane protein complex";"0.581699346405229      .";"1      ."
"ferric iron binding";"0.581699346405229      .";"1      ."
"GTP biosynthetic process";"0.581699346405229      .";"1      ."
"hypothalamus development";"0.581699346405229      .";"1      ."
"insulin receptor signaling pathway";"0.581699346405229      .";"1      ."
"integral component of plasma membrane";"0.581699346405229      .";"1      ."
"integrin binding";"0.581699346405229      .";"1      ."
"intracellular signal transduction";"0.581699346405229      .";"1      ."
"microtubule cytoskeleton organization";"0.581699346405229      .";"1      ."
"NAD+ kinase activity";"0.581699346405229      .";"1      ."
"neuron projection";"0.581699346405229      .";"1      ."
"neurotransmitter secretion";"0.581699346405229      .";"1      ."
"neutrophil differentiation";"0.581699346405229      .";"1      ."
"nucleolus";"0.581699346405229      .";"1      ."
"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor";"0.581699346405229      .";"1      ."
"peptide binding";"0.581699346405229      .";"1      ."
"phosphatidylinositol 3-kinase binding";"0.581699346405229      .";"1      ."
"phospholipid-translocating ATPase activity";"0.581699346405229      .";"1      ."
"phospholipid translocation";"0.581699346405229      .";"1      ."
"positive regulation of acrosome reaction";"0.581699346405229      .";"1      ."
"positive regulation of cysteine-type endopeptidase activity involved in apoptotic process";"0.581699346405229      .";"1      ."
"protein domain specific binding";"0.581699346405229      .";"1      ."
"protein folding";"0.581699346405229      .";"1      ."
"protein serine/threonine kinase activity";"0.581699346405229      .";"1      ."
"protein ubiquitination involved in ubiquitin-dependent protein catabolic process";"0.581699346405229      .";"1      ."
"recycling endosome";"0.581699346405229      .";"1      ."
"regulation of translational fidelity";"0.581699346405229      .";"1      ."
"release of sequestered calcium ion into cytosol";"0.581699346405229      .";"1      ."
"retina layer formation";"0.581699346405229      .";"1      ."
"Rho GTPase binding";"0.581699346405229      .";"1      ."
"sodium channel activity";"0.581699346405229      .";"1      ."
"sodium ion transport";"0.581699346405229      .";"1      ."
"solute:proton antiporter activity";"0.581699346405229      .";"1      ."
"threonine-type endopeptidase activity";"0.581699346405229      .";"1      ."
"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding";"0.581699346405229      .";"1      ."
"transition metal ion binding";"0.581699346405229      .";"1      ."
"translation initiation factor activity";"0.581699346405229      .";"1      ."
"tRNA modification";"0.581699346405229      .";"1      ."
"vesicle fusion";"0.581699346405229      .";"1      ."
"voltage-gated calcium channel complex";"0.581699346405229      .";"1      ."
"voltage-gated potassium channel complex";"0.581699346405229      .";"1      ."
"adenylate cyclase-activating adrenergic receptor signaling pathway";"0.633986928104575      .";"1      ."
"ammonium transmembrane transporter activity";"0.633986928104575      .";"1      ."
"calcium-dependent cysteine-type endopeptidase activity";"0.633986928104575      .";"1      ."
"calcium ion transmembrane transport";"0.633986928104575      .";"1      ."
"calmodulin-dependent protein kinase activity";"0.633986928104575      .";"1      ."
"carbohydrate transport";"0.633986928104575      .";"1      ."
"cardiac muscle tissue development";"0.633986928104575      .";"1      ."
"cation binding";"0.633986928104575      .";"1      ."
"cell-cell adherens junction";"0.633986928104575      .";"1      ."
"chaperonin-containing T-complex";"0.633986928104575      .";"1      ."
"chemical synaptic transmission";"0.633986928104575      .";"1      ."
"clathrin binding";"0.633986928104575      .";"1      ."
"cyclin-dependent protein serine/threonine kinase activity";"0.633986928104575      .";"1      ."
"cytoplasmic translation";"0.633986928104575      .";"1      ."
"cytosolic large ribosomal subunit";"0.633986928104575      .";"1      ."
"eukaryotic translation initiation factor 3 complex";"0.633986928104575      .";"1      ."
"exonuclease activity";"0.633986928104575      .";"1      ."
"extracellular-glutamate-gated ion channel activity";"0.633986928104575      .";"1      ."
"G-protein coupled receptor activity";"0.633986928104575      .";"1      ."
"glomerular filtration";"0.633986928104575      .";"1      ."
"habenula development";"0.633986928104575      .";"1      ."
"heme biosynthetic process";"0.633986928104575      .";"1      ."
"heparin binding";"0.633986928104575      .";"1      ."
"ionotropic glutamate receptor activity";"0.633986928104575      .";"1      ."
"ionotropic glutamate receptor signaling pathway";"0.633986928104575      .";"1      ."
"meiotic cell cycle";"0.633986928104575      .";"1      ."
"membrane depolarization during action potential";"0.633986928104575      .";"1      ."
"microtubule cytoskeleton";"0.633986928104575      .";"1      ."
"mitochondrial intermembrane space";"0.633986928104575      .";"1      ."
"neural crest cell development";"0.633986928104575      .";"1      ."
"nucleotide-excision repair";"0.633986928104575      .";"1      ."
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen";"0.633986928104575      .";"1      ."
"phosphatidylinositol metabolic process";"0.633986928104575      .";"1      ."
"phosphatidylinositol phosphate kinase activity";"0.633986928104575      .";"1      ."
"phospholipid transport";"0.633986928104575      .";"1      ."
"plasma membrane";"0.633986928104575      .";"1      ."
"postsynaptic membrane";"0.633986928104575      .";"1      ."
"proteasome core complex";"0.633986928104575      .";"1      ."
"proteasome core complex, alpha-subunit complex";"0.633986928104575      .";"1      ."
"protein kinase C-activating G-protein coupled receptor signaling pathway";"0.633986928104575      .";"1      ."
"protein processing";"0.633986928104575      .";"1      ."
"receptor clustering";"0.633986928104575      .";"1      ."
"regulation of microtubule polymerization or depolymerization";"0.633986928104575      .";"1      ."
"response to drug";"0.633986928104575      .";"1      ."
"signal transducer activity";"0.633986928104575      .";"1      ."
"SMAD binding";"0.633986928104575      .";"1      ."
"small-subunit processome";"0.633986928104575      .";"1      ."
"synaptic transmission, cholinergic";"0.633986928104575      .";"1      ."
"synaptic vesicle";"0.633986928104575      .";"1      ."
"synaptic vesicle endocytosis";"0.633986928104575      .";"1      ."
"synaptic vesicle fusion to presynaptic active zone membrane";"0.633986928104575      .";"1      ."
"transcription coactivator activity";"0.633986928104575      .";"1      ."
"voltage-gated sodium channel complex";"0.633986928104575      .";"1      ."
"acetylgalactosaminyltransferase activity";"0.679738562091503      .";"1      ."
"actin filament organization";"0.679738562091503      .";"1      ."
"activation of protein kinase activity";"0.679738562091503      .";"1      ."
"alpha-(1->3)-fucosyltransferase activity";"0.679738562091503      .";"1      ."
"calcium-activated potassium channel activity";"0.679738562091503      .";"1      ."
"cell-cell signaling";"0.679738562091503      .";"1      ."
"clathrin coat assembly";"0.679738562091503      .";"1      ."
"coenzyme binding";"0.679738562091503      .";"1      ."
"diacylglycerol kinase activity";"0.679738562091503      .";"1      ."
"digestive tract development";"0.679738562091503      .";"1      ."
"DNA-directed 5'-3' RNA polymerase activity";"0.679738562091503      .";"1      ."
"DNA topological change";"0.679738562091503      .";"1      ."
