"gene set";"p-value";"fdr"
"mitochondrial small ribosomal subunit";"0.196078431372549      .";"1      ."
"MyD88-dependent toll-like receptor signaling pathway";"0.196078431372549      .";"1      ."
"pancreas development";"0.196078431372549      .";"1      ."
"positive regulation of catalytic activity";"0.196078431372549      .";"1      ."
"positive regulation of DNA repair";"0.196078431372549      .";"1      ."
"regulation of vascular endothelial growth factor receptor signaling pathway";"0.196078431372549      .";"1      ."
"retinol metabolic process";"0.196078431372549      .";"1      ."
"S-adenosylmethionine-dependent methyltransferase activity";"0.196078431372549      .";"1      ."
"somite development";"0.196078431372549      .";"1      ."
"translation";"0.196078431372549      .";"1      ."
"zinc II ion transmembrane transport";"0.196078431372549      .";"1      ."
"5'-nucleotidase activity";"0.235294117647059      .";"1      ."
"acyl-CoA metabolic process";"0.235294117647059      .";"1      ."
"ATPase activity, coupled to transmembrane movement of substances";"0.235294117647059      .";"1      ."
"axoneme";"0.235294117647059      .";"1      ."
"chromatin";"0.235294117647059      .";"1      ."
"chromatin remodeling";"0.235294117647059      .";"1      ."
"cilium assembly";"0.235294117647059      .";"1      ."
"cysteine-type endopeptidase activity involved in execution phase of apoptosis";"0.235294117647059      .";"1      ."
"embryonic neurocranium morphogenesis";"0.235294117647059      .";"1      ."
"execution phase of apoptosis";"0.235294117647059      .";"1      ."
"fucosylation";"0.235294117647059      .";"1      ."
"fucosyltransferase activity";"0.235294117647059      .";"1      ."
"histone-lysine N-methyltransferase activity";"0.235294117647059      .";"1      ."
"histone acetylation";"0.235294117647059      .";"1      ."
"histone acetyltransferase complex";"0.235294117647059      .";"1      ."
"hydrolase activity, acting on glycosyl bonds";"0.235294117647059      .";"1      ."
"iron ion binding";"0.235294117647059      .";"1      ."
"mitochondrial inner membrane";"0.235294117647059      .";"1      ."
"monocarboxylic acid transmembrane transporter activity";"0.235294117647059      .";"1      ."
"monocarboxylic acid transport";"0.235294117647059      .";"1      ."
"neuron migration";"0.235294117647059      .";"1      ."
"nucleotide binding";"0.235294117647059      .";"1      ."
"P granule";"0.235294117647059      .";"1      ."
"positive regulation of cell proliferation";"0.235294117647059      .";"1      ."
"posterior lateral line neuromast primordium migration";"0.235294117647059      .";"1      ."
"proteasome complex";"0.235294117647059      .";"1      ."
"protein complex scaffold";"0.235294117647059      .";"1      ."
"protein tyrosine/serine/threonine phosphatase activity";"0.235294117647059      .";"1      ."
"regulation of heart contraction";"0.235294117647059      .";"1      ."
"RNA polymerase II transcriptional preinitiation complex assembly";"0.235294117647059      .";"1      ."
"sensory perception of sound";"0.235294117647059      .";"1      ."
"store-operated calcium channel activity";"0.235294117647059      .";"1      ."
"superoxide metabolic process";"0.235294117647059      .";"1      ."
"trace-amine receptor activity";"0.235294117647059      .";"1      ."
"ubiquinone biosynthetic process";"0.235294117647059      .";"1      ."
"acetylcholine-gated channel complex";"0.274509803921569      .";"1      ."
"cell morphogenesis";"0.274509803921569      .";"1      ."
"cell projection organization";"0.274509803921569      .";"1      ."
"endopeptidase activity";"0.274509803921569      .";"1      ."
"feeding behavior";"0.274509803921569      .";"1      ."
"galanin receptor activity";"0.274509803921569      .";"1      ."
"heart looping";"0.274509803921569      .";"1      ."
"immunoglobulin production";"0.274509803921569      .";"1      ."
"integral component of endoplasmic reticulum membrane";"0.274509803921569      .";"1      ."
"integral component of peroxisomal membrane";"0.274509803921569      .";"1      ."
"metalloaminopeptidase activity";"0.274509803921569      .";"1      ."
"mitochondrial large ribosomal subunit";"0.274509803921569      .";"1      ."
"mitochondrial matrix";"0.274509803921569      .";"1      ."
"otolith development";"0.274509803921569      .";"1      ."
"peptidyl-tyrosine autophosphorylation";"0.274509803921569      .";"1      ."
"positive regulation of ERK1 and ERK2 cascade";"0.274509803921569      .";"1      ."
"positive regulation of Wnt signaling pathway";"0.274509803921569      .";"1      ."
"protein kinase activity";"0.274509803921569      .";"1      ."
"protein N-linked glycosylation";"0.274509803921569      .";"1      ."
"release of sequestered calcium ion into cytosol";"0.274509803921569      .";"1      ."
"response to nicotine";"0.274509803921569      .";"1      ."
"SCF ubiquitin ligase complex";"0.274509803921569      .";"1      ."
"signal transducer, downstream of receptor, with serine/threonine kinase activity";"0.274509803921569      .";"1      ."
"smooth muscle contraction";"0.274509803921569      .";"1      ."
"solute:proton antiporter activity";"0.274509803921569      .";"1      ."
"transcriptional repressor complex";"0.274509803921569      .";"1      ."
"transferase activity, transferring hexosyl groups";"0.274509803921569      .";"1      ."
"translational elongation";"0.274509803921569      .";"1      ."
"urea transmembrane transport";"0.274509803921569      .";"1      ."
"urea transmembrane transporter activity";"0.274509803921569      .";"1      ."
"1-phosphatidylinositol-3-kinase activity";"0.320261437908497      .";"1      ."
"acetylcholine-gated cation-selective channel activity";"0.320261437908497      .";"1      ."
"adenohypophysis development";"0.320261437908497      .";"1      ."
"amino acid transport";"0.320261437908497      .";"1      ."
"animal organ morphogenesis";"0.320261437908497      .";"1      ."
"carbonate dehydratase activity";"0.320261437908497      .";"1      ."
"cell proliferation";"0.320261437908497      .";"1      ."
"chemokine-mediated signaling pathway";"0.320261437908497      .";"1      ."
"cilium";"0.320261437908497      .";"1      ."
"cilium organization";"0.320261437908497      .";"1      ."
"cyclin binding";"0.320261437908497      .";"1      ."
"cytokine receptor activity";"0.320261437908497      .";"1      ."
"DNA binding";"0.320261437908497      .";"1      ."
"ephrin receptor binding";"0.320261437908497      .";"1      ."
"hyaluronic acid binding";"0.320261437908497      .";"1      ."
"hydrolase activity, acting on ester bonds";"0.320261437908497      .";"1      ."
"immune system process";"0.320261437908497      .";"1      ."
"inflammatory response";"0.320261437908497      .";"1      ."
"intracellular transport";"0.320261437908497      .";"1      ."
"NAD+ binding";"0.320261437908497      .";"1      ."
"negative regulation of BMP signaling pathway";"0.320261437908497      .";"1      ."
"Notch signaling pathway";"0.320261437908497      .";"1      ."
"nucleus";"0.320261437908497      .";"1      ."
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";"0.320261437908497      .";"1      ."
"p53 binding";"0.320261437908497      .";"1      ."
"pancreas regeneration";"0.320261437908497      .";"1      ."
"peroxisomal membrane";"0.320261437908497      .";"1      ."
"pharyngeal system development";"0.320261437908497      .";"1      ."
"positive regulation of apoptotic process";"0.320261437908497      .";"1      ."
"posterior lateral line neuromast development";"0.320261437908497      .";"1      ."
"protein binding";"0.320261437908497      .";"1      ."
"protein O-linked mannosylation";"0.320261437908497      .";"1      ."
"protein phosphorylation";"0.320261437908497      .";"1      ."
"protein tyrosine kinase activity";"0.320261437908497      .";"1      ."
"regulation of canonical Wnt signaling pathway";"0.320261437908497      .";"1      ."
"regulation of cell morphogenesis";"0.320261437908497      .";"1      ."
"regulation of Notch signaling pathway";"0.320261437908497      .";"1      ."
"regulation of small GTPase mediated signal transduction";"0.320261437908497      .";"1      ."
"regulation of transcription from RNA polymerase II promoter";"0.320261437908497      .";"1      ."
"retinal ganglion cell axon guidance";"0.320261437908497      .";"1      ."
"ribosomal small subunit assembly";"0.320261437908497      .";"1      ."
"ribosome";"0.320261437908497      .";"1      ."
"single-stranded RNA binding";"0.320261437908497      .";"1      ."
"smoothened signaling pathway";"0.320261437908497      .";"1      ."
"transcription cofactor activity";"0.320261437908497      .";"1      ."
"transcription corepressor activity";"0.320261437908497      .";"1      ."
"transmembrane receptor protein serine/threonine kinase activity";"0.320261437908497      .";"1      ."
"transmembrane receptor protein serine/threonine kinase signaling pathway";"0.320261437908497      .";"1      ."
"transmembrane signaling receptor activity";"0.320261437908497      .";"1      ."
"Wnt signaling pathway";"0.320261437908497      .";"1      ."
"acid phosphatase activity";"0.366013071895425      .";"1      ."
"cation binding";"0.366013071895425      .";"1      ."
"chromatin organization";"0.366013071895425      .";"1      ."
"Cul4-RING E3 ubiquitin ligase complex";"0.366013071895425      .";"1      ."
"deaminase activity";"0.366013071895425      .";"1      ."
"ephrin receptor signaling pathway";"0.366013071895425      .";"1      ."
"floor plate formation";"0.366013071895425      .";"1      ."
"glucuronosyltransferase activity";"0.366013071895425      .";"1      ."
"Golgi organization";"0.366013071895425      .";"1      ."
"intraciliary transport";"0.366013071895425      .";"1      ."
"MAP kinase tyrosine/serine/threonine phosphatase activity";"0.366013071895425      .";"1      ."
"peptidyl-tyrosine phosphorylation";"0.366013071895425      .";"1      ."
"phosphatidylinositol phosphate kinase activity";"0.366013071895425      .";"1      ."
"RNA phosphodiester bond hydrolysis, exonucleolytic";"0.366013071895425      .";"1      ."
"signal transduction by protein phosphorylation";"0.366013071895425      .";"1      ."
"striated muscle cell development";"0.366013071895425      .";"1      ."
"transcription factor complex";"0.366013071895425      .";"1      ."
"transmembrane receptor protein tyrosine kinase signaling pathway";"0.366013071895425      .";"1      ."
"ubiquitin-dependent ERAD pathway";"0.366013071895425      .";"1      ."
"acetylcholine binding";"0.418300653594771      .";"1      ."
"activation of MAPK activity";"0.418300653594771      .";"1      ."
"acyl-CoA hydrolase activity";"0.418300653594771      .";"1      ."
"basement membrane";"0.418300653594771      .";"1      ."
"bone mineralization";"0.418300653594771      .";"1      ."
"calcium-activated potassium channel activity";"0.418300653594771      .";"1      ."
"cell fate commitment";"0.418300653594771      .";"1      ."
"cellular iron ion homeostasis";"0.418300653594771      .";"1      ."
"ceramide biosynthetic process";"0.418300653594771      .";"1      ."
"convergent extension involved in axis elongation";"0.418300653594771      .";"1      ."
"CTP biosynthetic process";"0.418300653594771      .";"1      ."
"cytoskeletal anchoring at nuclear membrane";"0.418300653594771      .";"1      ."
"cytosolic large ribosomal subunit";"0.418300653594771      .";"1      ."
"determination of left/right symmetry";"0.418300653594771      .";"1      ."
"dynein light chain binding";"0.418300653594771      .";"1      ."
"embryonic organ development";"0.418300653594771      .";"1      ."
"embryonic pectoral fin morphogenesis";"0.418300653594771      .";"1      ."
"endocytosis";"0.418300653594771      .";"1      ."
"extrinsic component of cytoplasmic side of plasma membrane";"0.418300653594771      .";"1      ."
"fin morphogenesis";"0.418300653594771      .";"1      ."
"frizzled binding";"0.418300653594771      .";"1      ."
"histone deacetylase activity";"0.418300653594771      .";"1      ."
"integrin-mediated signaling pathway";"0.418300653594771      .";"1      ."
"M band";"0.418300653594771      .";"1      ."
"metal ion transport";"0.418300653594771      .";"1      ."
"mitochondrial intermembrane space";"0.418300653594771      .";"1      ."
"mitochondrion";"0.418300653594771      .";"1      ."
"muscle cell development";"0.418300653594771      .";"1      ."
"negative regulation of neurogenesis";"0.418300653594771      .";"1      ."
"negative regulation of Wnt signaling pathway";"0.418300653594771      .";"1      ."
"notochord morphogenesis";"0.418300653594771      .";"1      ."
"one-carbon metabolic process";"0.418300653594771      .";"1      ."
"phosphatidylinositol metabolic process";"0.418300653594771      .";"1      ."
"positive regulation of canonical Wnt signaling pathway";"0.418300653594771      .";"1      ."
"positive regulation of gene expression";"0.418300653594771      .";"1      ."
"regulatory region DNA binding";"0.418300653594771      .";"1      ."
"response to bacterium";"0.418300653594771      .";"1      ."
"response to copper ion";"0.418300653594771      .";"1      ."
"response to yeast";"0.418300653594771      .";"1      ."
"small ribosomal subunit";"0.418300653594771      .";"1      ."
"structural constituent of cytoskeleton";"0.418300653594771      .";"1      ."
"transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding";"0.418300653594771      .";"1      ."
"transcription regulatory region DNA binding";"0.418300653594771      .";"1      ."
"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding";"0.418300653594771      .";"1      ."
"ventricular system development";"0.418300653594771      .";"1      ."
"vesicle organization";"0.418300653594771      .";"1      ."
"Wnt-activated receptor activity";"0.418300653594771      .";"1      ."
"zinc II ion transport";"0.418300653594771      .";"1      ."
"ammonium transmembrane transport";"0.470588235294118      .";"1      ."
"atrioventricular canal development";"0.470588235294118      .";"1      ."
"biological_process";"0.470588235294118      .";"1      ."
"brain morphogenesis";"0.470588235294118      .";"1      ."
"carbohydrate biosynthetic process";"0.470588235294118      .";"1      ."
"cell chemotaxis";"0.470588235294118      .";"1      ."
"cell differentiation";"0.470588235294118      .";"1      ."
"cell redox homeostasis";"0.470588235294118      .";"1      ."
"cellular response to oxidative stress";"0.470588235294118      .";"1      ."
"coenzyme binding";"0.470588235294118      .";"1      ."
"cytoplasmic translation";"0.470588235294118      .";"1      ."
"cytosolic small ribosomal subunit";"0.470588235294118      .";"1      ."
"defense response to bacterium";"0.470588235294118      .";"1      ."
"endothelial cell proliferation";"0.470588235294118      .";"1      ."
"ephrin receptor activity";"0.470588235294118      .";"1      ."
"establishment or maintenance of cell polarity";"0.470588235294118      .";"1      ."
"extracellular matrix organization";"0.470588235294118      .";"1      ."
"eye photoreceptor cell development";"0.470588235294118      .";"1      ."
"fatty acid elongation, polyunsaturated fatty acid";"0.470588235294118      .";"1      ."
"generation of neurons";"0.470588235294118      .";"1      ."
"GTPase regulator activity";"0.470588235294118      .";"1      ."
"immune response";"0.470588235294118      .";"1      ."
"integral component of mitochondrial inner membrane";"0.470588235294118      .";"1      ."
"metallopeptidase activity";"0.470588235294118      .";"1      ."
"neuropeptide signaling pathway";"0.470588235294118      .";"1      ."
"neutrophil chemotaxis";"0.470588235294118      .";"1      ."
"nucleophagy";"0.470588235294118      .";"1      ."
"nucleotide phosphorylation";"0.470588235294118      .";"1      ."
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen";"0.470588235294118      .";"1      ."
"phosphatidylinositol phospholipase C activity";"0.470588235294118      .";"1      ."
"phospholipid biosynthetic process";"0.470588235294118      .";"1      ."
"regulation of transcription, DNA-templated";"0.470588235294118      .";"1      ."
"retinoic acid receptor signaling pathway";"0.470588235294118      .";"1      ."
"structural constituent of ribosome";"0.470588235294118      .";"1      ."
"transferase activity, transferring glycosyl groups";"0.470588235294118      .";"1      ."
"ventral spinal cord interneuron differentiation";"0.470588235294118      .";"1      ."
"water transmembrane transporter activity";"0.470588235294118      .";"1      ."
"water transport";"0.470588235294118      .";"1      ."
"Wnt-protein binding";"0.470588235294118      .";"1      ."
"adenylate cyclase activity";"0.529411764705882      .";"1      ."
"axonal fasciculation";"0.529411764705882      .";"1      ."
"blood circulation";"0.529411764705882      .";"1      ."
"camera-type eye development";"0.529411764705882      .";"1      ."
"canonical Wnt signaling pathway";"0.529411764705882      .";"1      ."
"cerebellum development";"0.529411764705882      .";"1      ."
"chaperone-mediated protein folding";"0.529411764705882      .";"1      ."
"chemokine receptor activity";"0.529411764705882      .";"1      ."
"Cul3-RING ubiquitin ligase complex";"0.529411764705882      .";"1      ."
"cyclic nucleotide biosynthetic process";"0.529411764705882      .";"1      ."
"determination of dorsal identity";"0.529411764705882      .";"1      ."
"digestive tract morphogenesis";"0.529411764705882      .";"1      ."
"embryonic camera-type eye development";"0.529411764705882      .";"1      ."
"epiboly";"0.529411764705882      .";"1      ."
"establishment of cell polarity";"0.529411764705882      .";"1      ."
"extracellular matrix";"0.529411764705882      .";"1      ."
"inactivation of MAPK activity";"0.529411764705882      .";"1      ."
"integral component of Golgi membrane";"0.529411764705882      .";"1      ."
"integrin complex";"0.529411764705882      .";"1      ."
"ligand-dependent nuclear receptor transcription coactivator activity";"0.529411764705882      .";"1      ."
"lipid phosphatase activity";"0.529411764705882      .";"1      ."
"manganese ion binding";"0.529411764705882      .";"1      ."
"muscle contraction";"0.529411764705882      .";"1      ."
"negative regulation of canonical Wnt signaling pathway";"0.529411764705882      .";"1      ."
"non-canonical Wnt signaling pathway";"0.529411764705882      .";"1      ."
"notochord development";"0.529411764705882      .";"1      ."
"phosphatidylinositol-3-phosphate biosynthetic process";"0.529411764705882      .";"1      ."
"phosphorus-oxygen lyase activity";"0.529411764705882      .";"1      ."
"photoreceptor cell outer segment organization";"0.529411764705882      .";"1      ."
"positive regulation of guanylate cyclase activity";"0.529411764705882      .";"1      ."
"pronephric glomerulus development";"0.529411764705882      .";"1      ."
"protease binding";"0.529411764705882      .";"1      ."
"protein ADP-ribosylation";"0.529411764705882      .";"1      ."
"protein disulfide oxidoreductase activity";"0.529411764705882      .";"1      ."
"protein ubiquitination involved in ubiquitin-dependent protein catabolic process";"0.529411764705882      .";"1      ."
"regulation of alternative mRNA splicing, via spliceosome";"0.529411764705882      .";"1      ."
"response to virus";"0.529411764705882      .";"1      ."
"semaphorin-plexin signaling pathway";"0.529411764705882      .";"1      ."
"semaphorin receptor activity";"0.529411764705882      .";"1      ."
"sialylation";"0.529411764705882      .";"1      ."
"sialyltransferase activity";"0.529411764705882      .";"1      ."
"spermatid development";"0.529411764705882      .";"1      ."
"striated muscle contraction";"0.529411764705882      .";"1      ."
"swim bladder development";"0.529411764705882      .";"1      ."
"transmembrane receptor protein tyrosine kinase activity";"0.529411764705882      .";"1      ."
"ubiquitin conjugating enzyme binding";"0.529411764705882      .";"1      ."
"3-oxo-arachidoyl-CoA synthase activity";"0.581699346405229      .";"1      ."
"3-oxo-cerotoyl-CoA synthase activity";"0.581699346405229      .";"1      ."
"3-oxo-lignoceronyl-CoA synthase activity";"0.581699346405229      .";"1      ."
"alpha-(1->3)-fucosyltransferase activity";"0.581699346405229      .";"1      ."
"anion transmembrane transporter activity";"0.581699346405229      .";"1      ."
"antiporter activity";"0.581699346405229      .";"1      ."
"camera-type eye morphogenesis";"0.581699346405229      .";"1      ."
"carbohydrate phosphorylation";"0.581699346405229      .";"1      ."
"cell migration involved in gastrulation";"0.581699346405229      .";"1      ."
"cell surface receptor signaling pathway";"0.581699346405229      .";"1      ."
"cGMP biosynthetic process";"0.581699346405229      .";"1      ."
"diacylglycerol kinase activity";"0.581699346405229      .";"1      ."
"dynein heavy chain binding";"0.581699346405229      .";"1      ."
"fatty acid elongase activity";"0.581699346405229      .";"1      ."
"fatty acid elongation, saturated fatty acid";"0.581699346405229      .";"1      ."
"Golgi cisterna membrane";"0.581699346405229      .";"1      ."
"GTP-Rho binding";"0.581699346405229      .";"1      ."
"guanylate cyclase activity";"0.581699346405229      .";"1      ."
"guanylate cyclase complex, soluble";"0.581699346405229      .";"1      ."
"intracellular signal transduction";"0.581699346405229      .";"1      ."
"molecular_function";"0.581699346405229      .";"1      ."
"multicellular organism development";"0.581699346405229      .";"1      ."
"negative regulation of Notch signaling pathway";"0.581699346405229      .";"1      ."
"negative regulation of Ras protein signal transduction";"0.581699346405229      .";"1      ."
"nitrogen compound metabolic process";"0.581699346405229      .";"1      ."
"pectoral fin development";"0.581699346405229      .";"1      ."
"phosphatidylinositol phosphorylation";"0.581699346405229      .";"1      ."
"phospholipid-translocating ATPase activity";"0.581699346405229      .";"1      ."
"phospholipid metabolic process";"0.581699346405229      .";"1      ."
"phospholipid translocation";"0.581699346405229      .";"1      ."
"phosphoric diester hydrolase activity";"0.581699346405229      .";"1      ."
"proteasome core complex";"0.581699346405229      .";"1      ."
"protein kinase binding";"0.581699346405229      .";"1      ."
"receptor binding";"0.581699346405229      .";"1      ."
"regulation of calcium ion-dependent exocytosis";"0.581699346405229      .";"1      ."
"regulation of heart rate";"0.581699346405229      .";"1      ."
"response to lipopolysaccharide";"0.581699346405229      .";"1      ."
"sarcomere organization";"0.581699346405229      .";"1      ."
"somitogenesis";"0.581699346405229      .";"1      ."
"steroid biosynthetic process";"0.581699346405229      .";"1      ."
"threonine-type endopeptidase activity";"0.581699346405229      .";"1      ."
"type B pancreatic cell development";"0.581699346405229      .";"1      ."
"3',5'-cyclic-nucleotide phosphodiesterase activity";"0.633986928104575      .";"1      ."
"amino acid transmembrane transport";"0.633986928104575      .";"1      ."
"B cell receptor signaling pathway";"0.633986928104575      .";"1      ."
"cell projection";"0.633986928104575      .";"1      ."
"convergent extension involved in gastrulation";"0.633986928104575      .";"1      ."
"cysteine-type endopeptidase activity";"0.633986928104575      .";"1      ."
"cytochrome-c oxidase activity";"0.633986928104575      .";"1      ."
"enzyme activator activity";"0.633986928104575      .";"1      ."
"extrinsic component of membrane";"0.633986928104575      .";"1      ."
"glucose transmembrane transport";"0.633986928104575      .";"1      ."
"heart contraction";"0.633986928104575      .";"1      ."
"intrinsic apoptotic signaling pathway by p53 class mediator";"0.633986928104575      .";"1      ."
"iron ion homeostasis";"0.633986928104575      .";"1      ."
"kinase activity";"0.633986928104575      .";"1      ."
"L-alpha-amino acid transmembrane transport";"0.633986928104575      .";"1      ."
"lens development in camera-type eye";"0.633986928104575      .";"1      ."
"membrane raft";"0.633986928104575      .";"1      ."
"microtubule-based movement";"0.633986928104575      .";"1      ."
"microtubule motor activity";"0.633986928104575      .";"1      ."
"mitochondrial electron transport, cytochrome c to oxygen";"0.633986928104575      .";"1      ."
"mitochondrial electron transport, ubiquinol to cytochrome c";"0.633986928104575      .";"1      ."
"motor neuron axon guidance";"0.633986928104575      .";"1      ."
"neural tube formation";"0.633986928104575      .";"1      ."
"neuropeptide Y receptor activity";"0.633986928104575      .";"1      ."
"nucleotide metabolic process";"0.633986928104575      .";"1      ."
"optic nerve development";"0.633986928104575      .";"1      ."
"phosphorylation";"0.633986928104575      .";"1      ."
"pronephric glomerulus morphogenesis";"0.633986928104575      .";"1      ."
"protein complex assembly";"0.633986928104575      .";"1      ."
"protein K48-linked deubiquitination";"0.633986928104575      .";"1      ."
"protein kinase C-activating G-protein coupled receptor signaling pathway";"0.633986928104575      .";"1      ."
"protein secretion";"0.633986928104575      .";"1      ."
"protein transport";"0.633986928104575      .";"1      ."
"recycling endosome";"0.633986928104575      .";"1      ."
"regulation of angiogenesis";"0.633986928104575      .";"1      ."
"regulation of cell migration";"0.633986928104575      .";"1      ."
"regulation of pH";"0.633986928104575      .";"1      ."
"regulation of RNA splicing";"0.633986928104575      .";"1      ."
"response to biotic stimulus";"0.633986928104575      .";"1      ."
"retina development in camera-type eye";"0.633986928104575      .";"1      ."
"sequence-specific DNA binding";"0.633986928104575      .";"1      ."
"serine-type endopeptidase activity";"0.633986928104575      .";"1      ."
"sulfuric ester hydrolase activity";"0.633986928104575      .";"1      ."
"transcription regulatory region sequence-specific DNA binding";"0.633986928104575      .";"1      ."
"transcription, DNA-templated";"0.633986928104575      .";"1      ."
"tumor necrosis factor-activated receptor activity";"0.633986928104575      .";"1      ."
"tumor necrosis factor-mediated signaling pathway";"0.633986928104575      .";"1      ."
"Z disc";"0.633986928104575      .";"1      ."
"amino acid transmembrane transporter activity";"0.679738562091503      .";"1      ."
"aminopeptidase activity";"0.679738562091503      .";"1      ."
"anion transport";"0.679738562091503      .";"1      ."
"antigen processing and presentation";"0.679738562091503      .";"1      ."
"antioxidant activity";"0.679738562091503      .";"1      ."
"autophagosome assembly";"0.679738562091503      .";"1      ."
"axon guidance";"0.679738562091503      .";"1      ."
"cation transmembrane transporter activity";"0.679738562091503      .";"1      ."
"caveola";"0.679738562091503      .";"1      ."
"cell cycle arrest";"0.679738562091503      .";"1      ."
"cytoplasm";"0.679738562091503      .";"1      ."
"dynein complex";"0.679738562091503      .";"1      ."
"early endosome";"0.679738562091503      .";"1      ."
"endosome membrane";"0.679738562091503      .";"1      ."
"ER to Golgi vesicle-mediated transport";"0.679738562091503      .";"1      ."
"fatty acid elongation, monounsaturated fatty acid";"0.679738562091503      .";"1      ."
"GTP biosynthetic process";"0.679738562091503      .";"1      ."
"intrinsic apoptotic signaling pathway in response to DNA damage";"0.679738562091503      .";"1      ."
"iron-sulfur cluster binding";"0.679738562091503      .";"1      ."
"iron ion transport";"0.679738562091503      .";"1      ."
"isomerase activity";"0.679738562091503      .";"1      ."
"kinesin complex";"0.679738562091503      .";"1      ."
"mitochondrial fusion";"0.679738562091503      .";"1      ."
"monooxygenase activity";"0.679738562091503      .";"1      ."
"negative regulation of nucleic acid-templated transcription";"0.679738562091503      .";"1      ."
"neuropilin binding";"0.679738562091503      .";"1      ."
"nucleotide biosynthetic process";"0.679738562091503      .";"1      ."
"phospholipid dephosphorylation";"0.679738562091503      .";"1      ."
"phosphoprotein phosphatase activity";"0.679738562091503      .";"1      ."
"pronephros development";"0.679738562091503      .";"1      ."
"proteasome core complex, alpha-subunit complex";"0.679738562091503      .";"1      ."
"protein dephosphorylation";"0.679738562091503      .";"1      ."
"regulation of inflammatory response";"0.679738562091503      .";"1      ."
"regulation of neurogenesis";"0.679738562091503      .";"1      ."
"response to heat";"0.679738562091503      .";"1      ."
"response to oxidative stress";"0.679738562091503      .";"1      ."
"retina layer formation";"0.679738562091503      .";"1      ."
"sphingolipid metabolic process";"0.679738562091503      .";"1      ."
"transcription factor activity, sequence-specific DNA binding";"0.679738562091503      .";"1      ."
"2 iron, 2 sulfur cluster binding";"0.725490196078431      .";"1      ."
"actin cytoskeleton reorganization";"0.725490196078431      .";"1      ."
"actin filament polymerization";"0.725490196078431      .";"1      ."
"adherens junction";"0.725490196078431      .";"1      ."
"anatomical structure morphogenesis";"0.725490196078431      .";"1      ."
"anion:anion antiporter activity";"0.725490196078431      .";"1      ."
"autophagy";"0.725490196078431      .";"1      ."
"biosynthetic process";"0.725490196078431      .";"1      ."
"cadherin binding";"0.725490196078431      .";"1      ."
"calcium channel regulator activity";"0.725490196078431      .";"1      ."
"calmodulin-dependent protein kinase activity";"0.725490196078431      .";"1      ."
"carbohydrate metabolic process";"0.725490196078431      .";"1      ."
"carboxypeptidase activity";"0.725490196078431      .";"1      ."
"cardiac muscle contraction";"0.725490196078431      .";"1      ."
"catalytic activity";"0.725490196078431      .";"1      ."
"cell";"0.725490196078431      .";"1      ."
"cellular oxidant detoxification";"0.725490196078431      .";"1      ."
"cellular_component";"0.725490196078431      .";"1      ."
"chordate embryonic development";"0.725490196078431      .";"1      ."
"closure of optic fissure";"0.725490196078431      .";"1      ."
"collagen binding";"0.725490196078431      .";"1      ."
"connexin complex";"0.725490196078431      .";"1      ."
"cytosol";"0.725490196078431      .";"1      ."
"detection of mechanical stimulus";"0.725490196078431      .";"1      ."
"electron carrier activity";"0.725490196078431      .";"1      ."
"endomembrane system";"0.725490196078431      .";"1      ."
"endoplasmic reticulum";"0.725490196078431      .";"1      ."
"endosome";"0.725490196078431      .";"1      ."
"endosome organization";"0.725490196078431      .";"1      ."
"fatty acid metabolic process";"0.725490196078431      .";"1      ."
"flavin adenine dinucleotide binding";"0.725490196078431      .";"1      ."
"forebrain development";"0.725490196078431      .";"1      ."
"G-protein coupled receptor signaling pathway";"0.725490196078431      .";"1      ."
"gap junction";"0.725490196078431      .";"1      ."
"GTP binding";"0.725490196078431      .";"1      ."
"hydrogen ion transmembrane transport";"0.725490196078431      .";"1      ."
"hydrolase activity";"0.725490196078431      .";"1      ."
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides";"0.725490196078431      .";"1      ."
"hydrolase activity, hydrolyzing O-glycosyl compounds";"0.725490196078431      .";"1      ."
"insulin receptor signaling pathway";"0.725490196078431      .";"1      ."
"intracellular protein transport";"0.725490196078431      .";"1      ."
"late endosome";"0.725490196078431      .";"1      ."
"late endosome membrane";"0.725490196078431      .";"1      ."
"lysosomal membrane";"0.725490196078431      .";"1      ."
"lysosome";"0.725490196078431      .";"1      ."
"MAP kinase kinase kinase kinase activity";"0.725490196078431      .";"1      ."
"metabolic process";"0.725490196078431      .";"1      ."
"metal ion binding";"0.725490196078431      .";"1      ."
"mitochondrial envelope";"0.725490196078431      .";"1      ."
"mitochondrial outer membrane";"0.725490196078431      .";"1      ."
"mitochondrial respiratory chain complex IV";"0.725490196078431      .";"1      ."
"NADP binding";"0.725490196078431      .";"1      ."
"neural crest cell migration";"0.725490196078431      .";"1      ."
"nucleoside metabolic process";"0.725490196078431      .";"1      ."
"O-acyltransferase activity";"0.725490196078431      .";"1      ."
"oxidation-reduction process";"0.725490196078431      .";"1      ."
"oxidoreductase activity";"0.725490196078431      .";"1      ."
"oxidoreductase activity, acting on the CH-CH group of donors";"0.725490196078431      .";"1      ."
